Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,1200,1200,1200,1200,,,100
14/11/2025,1400,1400,1200,1200,-200,-0.1429,600
31/10/2025,1600,1600,1300,1300,-100,-0.07139999999999999,900
17/10/2025,1200,1400,1200,1400,+100,0.07690000000000001,3900
10/10/2025,1300,1300,1300,1300,-200,-0.1333,1000
03/10/2025,1500,1500,1500,1500,,,15200
26/09/2025,1500,1500,1500,1500,,,11500
19/09/2025,1500,1500,1500,1500,,,20000
12/09/2025,1300,1500,1300,1500,,,22200
05/09/2025,1600,1600,1500,1500,+100,0.07139999999999999,700
29/08/2025,1400,1400,1400,1400,,,1400
22/08/2025,1400,1500,1400,1500,-100,-0.0625,1000
15/08/2025,1500,1600,1500,1600,,,2100
25/07/2025,1600,1600,1600,1600,-200,-0.11109999999999999,1500
23/05/2025,1800,1800,1800,1800,+200,0.125,1300
16/05/2025,1600,1600,1600,1600,,,200
18/04/2025,1600,1600,1600,1600,,,2500
04/04/2025,1600,1600,1600,1600,-200,-0.11109999999999999,7000
28/03/2025,1900,1900,1700,1700,-200,-0.10529999999999999,1900
21/03/2025,2000,2000,1900,1900,-100,-0.05,500
14/03/2025,2000,2000,2000,2000,,,900
21/02/2025,2000,2000,2000,2000,+200,0.11109999999999999,31900
07/02/2025,1800,1800,1800,1800,-100,-0.0526,200
10/01/2025,1900,1900,1900,1900,,,200
03/01/2025,1700,1900,1700,1900,+200,0.1176,1300
27/12/2024,1800,1800,1700,1700,,,1700
20/12/2024,1900,1900,1700,1700,-300,-0.15,219900
06/12/2024,2000,2000,2000,2000,+100,0.0526,2100
29/11/2024,1800,1900,1800,1900,,,1300
22/11/2024,1900,1900,1900,1900,+200,0.1176,1300
15/11/2024,1700,1700,1700,1700,-300,-0.15,100
08/11/2024,2000,2000,2000,2000,-200,-0.0909,1400
18/10/2024,2400,2400,2200,2200,-100,-0.0435,1100
11/10/2024,2500,2500,2200,2200,,,1300
27/09/2024,2200,2200,2200,2200,+200,0.1,500
20/09/2024,2000,2000,2000,2000,+200,0.11109999999999999,3100
13/09/2024,1800,1800,1800,1800,+200,0.125,100
06/09/2024,1600,1600,1600,1600,,,3200
30/08/2024,1600,1700,1500,1600,,,4400
23/08/2024,1500,1700,1500,1700,+200,0.1333,7900
16/08/2024,1600,1600,1400,1400,-200,-0.125,5200
09/08/2024,1600,1700,1600,1700,+100,0.0625,7900
02/08/2024,1600,1600,1600,1600,,,600
26/07/2024,1600,1600,1600,1600,+200,0.1429,9500
05/07/2024,1500,1500,1300,1300,-200,-0.1333,1100
28/06/2024,1500,1500,1500,1500,,,100
21/06/2024,1600,1600,1400,1600,,,2200
14/06/2024,1600,1600,1500,1500,+100,0.07139999999999999,2400
07/06/2024,1200,1600,1200,1600,+200,0.1429,14100
31/05/2024,1400,1400,1400,1400,-200,-0.125,8200
24/05/2024,1700,1800,1500,1500,-200,-0.1176,3300
17/05/2024,1700,1700,1700,1700,,,200
10/05/2024,1800,1800,1700,1700,-200,-0.10529999999999999,1200
05/04/2024,1800,1900,1800,1900,,,3300
22/03/2024,1900,1900,1900,1900,-300,-0.1364,100
01/03/2024,2200,2200,2200,2200,+200,0.1,100
23/02/2024,2000,2000,2000,2000,+200,0.11109999999999999,200
16/02/2024,1800,1800,1800,1800,+100,0.0588,100
19/01/2024,1700,1700,1700,1700,+100,0.0625,1200
12/01/2024,1300,1600,1300,1600,+100,0.0667,600
05/01/2024,1500,1900,1500,1900,+200,0.1176,2300
10/11/2023,1700,1700,1700,1700,-300,-0.15,100
13/10/2023,1700,2300,1700,2300,+300,0.15,400
11/08/2023,2000,2000,2000,2000,-100,-0.047599999999999996,100
04/08/2023,2000,2500,2000,2500,+200,0.087,400
28/07/2023,2300,2300,2300,2300,,,300
21/07/2023,2500,2500,2100,2100,-300,-0.125,600
10/07/2023,2400,2400,2400,2400,,,0
07/07/2023,2400,2400,2400,2400,,,0
06/07/2023,2400,2400,2400,2400,,,0
05/07/2023,2400,2400,2400,2400,,,0
04/07/2023,2400,2400,2400,2400,,,0
03/07/2023,2400,2400,2400,2400,,,0
30/06/2023,2400,2400,2400,2400,,,0
29/06/2023,2400,2400,2400,2400,,,0
28/06/2023,2400,2400,2400,2400,,,0
27/06/2023,2400,2400,2400,2400,,,0
26/06/2023,2400,2400,2400,2400,,,0
23/06/2023,2400,2400,2400,2400,+300,0.1429,921241
22/06/2023,2100,2100,2100,2100,,,0
21/06/2023,2100,2100,2100,2100,,,0
20/06/2023,2100,2100,2100,2100,,,0
19/06/2023,2100,2100,2100,2100,,,0
16/06/2023,2100,2100,2100,2100,,,0
15/06/2023,2100,2100,2100,2100,,,0
14/06/2023,2100,2100,2100,2100,,,0
13/06/2023,2100,2100,2100,2100,,,0
12/06/2023,2100,2100,2100,2100,,,0
09/06/2023,2100,2100,2100,2100,,,0
08/06/2023,2100,2100,2100,2100,,,0
07/06/2023,2100,2100,2100,2100,,,0
06/06/2023,2100,2100,2100,2100,,,0
05/06/2023,2100,2100,2100,2100,,,0
02/06/2023,2100,2100,2100,2100,+200,0.10529999999999999,3100
01/06/2023,1900,1900,1900,1900,,,0
31/05/2023,1900,1900,1900,1900,,,0
30/05/2023,1900,1900,1900,1900,,,0
29/05/2023,1900,1900,1900,1900,,,0
26/05/2023,1900,1900,1900,1900,,,0
25/05/2023,1900,1900,1900,1900,,,0
24/05/2023,1900,1900,1900,1900,,,0
23/05/2023,1900,1900,1900,1900,,,0
22/05/2023,1900,1900,1900,1900,,,0
19/05/2023,1900,1900,1900,1900,-300,-0.1364,2800
18/05/2023,2200,2200,2200,2200,,,0
17/05/2023,2200,2200,2200,2200,,,0
16/05/2023,2200,2200,2200,2200,,,0
15/05/2023,2200,2200,2200,2200,,,0
12/05/2023,2200,2200,2200,2200,,,0
11/05/2023,2200,2200,2200,2200,,,0
10/05/2023,2200,2200,2200,2200,,,0
09/05/2023,2200,2200,2200,2200,,,0
08/05/2023,2200,2200,2200,2200,,,0
05/05/2023,2200,2200,2200,2200,,,0
04/05/2023,2200,2200,2200,2200,,,0
28/04/2023,2200,2200,2200,2200,,,600
27/04/2023,2200,2200,2200,2200,,,0
26/04/2023,2200,2200,2200,2200,,,0
25/04/2023,2200,2200,2200,2200,,,0
24/04/2023,2200,2200,2200,2200,,,0
21/04/2023,2200,2200,2200,2200,,,0
20/04/2023,2200,2200,2200,2200,,,0
19/04/2023,2200,2200,2200,2200,,,0
18/04/2023,2200,2200,2200,2200,,,0
17/04/2023,2200,2200,2200,2200,,,0
14/04/2023,2200,2200,2200,2200,,,0
13/04/2023,2200,2200,2200,2200,,,0
12/04/2023,2200,2200,2200,2200,,,0
11/04/2023,2200,2200,2200,2200,,,0
10/04/2023,2200,2200,2200,2200,,,0
07/04/2023,2200,2200,2200,2200,,,700
06/04/2023,2200,2200,2200,2200,,,0
05/04/2023,2200,2200,2200,2200,,,0
04/04/2023,2200,2200,2200,2200,,,0
03/04/2023,2200,2200,2200,2200,,,0
31/03/2023,2300,2300,2200,2200,-200,-0.0833,6000
30/03/2023,2400,2400,2400,2400,,,0
29/03/2023,2400,2400,2400,2400,,,0
28/03/2023,2400,2400,2400,2400,,,0
27/03/2023,2400,2400,2400,2400,,,0
24/03/2023,2400,2400,2400,2400,,,0
23/03/2023,2400,2400,2400,2400,,,0
22/03/2023,2400,2400,2400,2400,,,0
