Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,37900,37900,37400,37600,-350,-0.0092,1247000
20/11/2025,38200,38200,37900,37950,-150,-0.0039000000000000003,1467900
19/11/2025,38300,38450,38100,38100,-300,-0.0078000000000000005,1302400
18/11/2025,38500,38500,38250,38400,,,1451400
17/11/2025,38350,38550,38300,38400,+50,0.0013,1422700
14/11/2025,38200,38500,38200,38350,+50,0.0013,2234600
13/11/2025,38250,38450,38000,38300,+50,0.0013,1942700
12/11/2025,38200,38400,37800,38250,+250,0.0066,2029800
11/11/2025,37600,38150,37600,38000,+600,0.016,2393800
10/11/2025,37500,38000,37300,37400,-100,-0.0027,2337400
07/11/2025,38350,38650,37450,37500,"-1,000",-0.026000000000000002,3220900
06/11/2025,38700,38900,38350,38500,-150,-0.0039000000000000003,2392700
05/11/2025,37600,38800,37600,38650,+750,0.019799999999999998,3945700
04/11/2025,37100,38000,36900,37900,+800,0.0216,3482600
03/11/2025,37600,37800,37100,37100,-300,-0.008,2453800
31/10/2025,38000,38000,37400,37400,-500,-0.0132,2380000
30/10/2025,37950,38250,37600,37900,+100,0.0026,2599600
29/10/2025,37500,37900,37300,37800,+700,0.0189,3204200
28/10/2025,36600,37150,36600,37100,+600,0.016399999999999998,2793500
27/10/2025,36950,37200,36500,36500,-400,-0.0108,2062600
24/10/2025,37000,37100,36200,36900,,,3489900
23/10/2025,37000,37450,36850,36900,-300,-0.008100000000000001,2708600
22/10/2025,37500,37500,36500,37200,+150,0.004,3971100
21/10/2025,36550,37500,36550,37050,+550,0.0151,4500300
20/10/2025,38950,39050,36500,36500,"-2,550",-0.0653,7393700
17/10/2025,39750,39800,39050,39050,-700,-0.0176,4176200
16/10/2025,39350,39750,39200,39750,+400,0.0102,3801100
15/10/2025,39700,40150,39350,39350,-250,-0.0063,4329400
14/10/2025,40600,40750,39600,39600,-850,-0.021,7724500
13/10/2025,40548,40697,40301,40449,-300,-0.0073,4558600
10/10/2025,40449,41043,40449,40746,+400,0.0098,6794000
09/10/2025,40103,40499,39955,40351,+350,0.0087,4346900
08/10/2025,40449,40449,39807,40004,-50,-0.0012,4602600
07/10/2025,40548,40548,40004,40054,-250,-0.0060999999999999995,2418400
06/10/2025,39856,40449,39609,40301,+950,0.0239,3058100
03/10/2025,39559,39708,39362,39362,-300,-0.0075,2515700
02/10/2025,39708,40252,39559,39658,+50,0.0012,2995400
01/10/2025,39559,40202,39362,39609,+50,0.0012,2219300
30/09/2025,39757,40103,39164,39559,-300,-0.0074,3683900
29/09/2025,39807,40103,39658,39856,-250,-0.0062,2110500
26/09/2025,40351,40697,40103,40103,-350,-0.0086,2295100
25/09/2025,40697,40697,40351,40449,-300,-0.0073,2009200
24/09/2025,40400,40746,39757,40746,+350,0.0086,4714500
23/09/2025,40252,40449,40054,40400,-150,-0.0037,3466500
22/09/2025,39757,40548,39164,40548,"+1,200",0.0302,7994300
19/09/2025,40647,40746,39362,39362,"-1,000",-0.0245,6161400
18/09/2025,40548,40993,40103,40351,-200,-0.0049,4684500
17/09/2025,41537,41933,40548,40548,"-1,050",-0.025,3700300
16/09/2025,42032,42230,41537,41587,-150,-0.0036,7340200
15/09/2025,40598,41735,40598,41735,"+1,250",0.0305,7330300
12/09/2025,40351,40796,40351,40499,+300,0.0074,3319500
11/09/2025,40351,40351,39411,40202,-50,-0.0012,5782600
10/09/2025,40252,40895,40103,40252,+50,0.0012,5472700
09/09/2025,40202,40548,39906,40202,,,4248700
