Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,48600,49200,48300,49100,,,6520900
20/11/2025,49300,49300,48650,49100,-250,-0.0051,4543200
19/11/2025,49400,49400,48750,49350,-50,-0.001,5019700
18/11/2025,48900,49550,48850,49400,+550,0.0113,5458400
17/11/2025,48750,48950,48350,48850,+300,0.0062,5014800
14/11/2025,48500,48600,48050,48550,-300,-0.0060999999999999995,6523600
13/11/2025,49150,49150,48400,48850,-350,-0.0070999999999999995,5628500
12/11/2025,48500,49500,48100,49200,+700,0.0144,6635000
11/11/2025,48150,48500,47000,48500,+500,0.0104,8811100
10/11/2025,48700,49000,47650,48000,"-1,000",-0.0204,7671700
07/11/2025,50500,51200,48450,49000,"-2,100",-0.041100000000000005,13056800
06/11/2025,51200,51200,50100,51100,-200,-0.0039000000000000003,7255500
05/11/2025,49800,51600,49500,51300,"+1,350",0.027000000000000003,10623400
04/11/2025,48250,50000,47850,49950,"+1,450",0.029900000000000003,7379300
03/11/2025,49300,49600,48500,48500,-500,-0.0102,5620800
31/10/2025,49850,50500,49000,49000,-200,-0.0040999999999999995,8858400
30/10/2025,49800,49850,49100,49200,-450,-0.0091,4840500
29/10/2025,49200,50300,49050,49650,+650,0.013300000000000001,6411600
28/10/2025,48550,49000,47750,49000,+400,0.008199999999999999,6253500
27/10/2025,49800,49850,48600,48600,"-1,200",-0.0241,5362100
24/10/2025,49350,49900,48000,49800,+100,0.002,11649500
23/10/2025,50000,50400,49600,49700,-800,-0.0158,8497000
22/10/2025,50500,50500,48500,50500,+550,0.011000000000000001,11664700
21/10/2025,49000,50400,48900,49950,"+1,050",0.0215,13428900
20/10/2025,52800,53400,48800,48900,"-3,300",-0.0632,25108500
17/10/2025,53700,54200,52200,52200,"-1,600",-0.0297,17820200
16/10/2025,54900,55000,53500,53800,"-1,000",-0.0182,10973700
15/10/2025,54500,55200,54100,54800,+400,0.0074,8091900
14/10/2025,55900,55900,54400,54400,"-1,200",-0.0216,13689600
13/10/2025,54260,55847,54161,55549,+800,0.014499999999999999,13279600
10/10/2025,55252,56045,54458,54756,+200,0.0036,13574400
09/10/2025,52474,54558,52177,54558,"+2,100",0.0397,23979800
08/10/2025,51780,52970,51582,52474,"+1,300",0.0252,12086900
07/10/2025,52375,52375,51185,51185,-800,-0.015300000000000001,7660100
06/10/2025,50887,52276,50590,51978,"+1,600",0.0315,9679400
03/10/2025,50887,50986,49895,50391,-700,-0.013600000000000001,7630900
02/10/2025,51383,51978,50788,51086,,,8530200
01/10/2025,50590,51482,49994,51086,+700,0.0138,7803100
30/09/2025,50391,50590,49598,50391,-200,-0.0039000000000000003,6642300
29/09/2025,50292,50788,49994,50590,+300,0.0059,4416900
26/09/2025,49895,51185,49548,50292,+400,0.008,10397000
25/09/2025,50094,50391,49697,49895,-200,-0.004,4716600
24/09/2025,49300,50094,48903,50094,+500,0.01,5260700
23/09/2025,49102,49598,49003,49598,+700,0.014199999999999999,4323500
22/09/2025,50292,50490,48655,48903,"-1,900",-0.0371,11784200
19/09/2025,50689,50986,49895,50788,,,8158800
18/09/2025,51086,51185,50193,50788,-200,-0.0039000000000000003,8307900
17/09/2025,52078,52078,50986,50986,"-1,100",-0.021,7878000
16/09/2025,51582,52673,51383,52078,+900,0.0174,18832800
15/09/2025,50193,51185,49548,51185,"+1,200",0.023799999999999998,12899800
12/09/2025,50292,50986,49994,49994,-200,-0.004,8156000
11/09/2025,49796,50193,48457,50193,+100,0.002,6966500
10/09/2025,49201,50986,49201,50094,+900,0.0181,12058700
09/09/2025,49102,49399,48457,49201,+100,0.002,7640900
08/09/2025,49598,49697,48655,49102,-800,-0.0159,14834400
05/09/2025,50788,51185,49895,49895,-700,-0.0137,11266800
04/09/2025,50193,51383,49994,50590,+400,0.0079,9145200
03/09/2025,50689,50788,49994,50193,-700,-0.013600000000000001,10235900
29/08/2025,51482,51482,50490,50887,-300,-0.0058,12327700
28/08/2025,50788,51383,49994,51185,+500,0.0098,11396700
27/08/2025,51582,52772,50391,50689,-100,-0.002,18567600
26/08/2025,48159,50788,48110,50788,"+2,100",0.042800000000000005,10162500
25/08/2025,51086,51185,48407,48705,"-1,800",-0.0354,15832700
22/08/2025,51086,52970,49499,50490,-900,-0.0174,24410800
21/08/2025,50887,52276,50590,51383,"+1,200",0.023700000000000002,17887200
20/08/2025,49251,51582,48705,50193,"+1,000",0.0202,15990000
19/08/2025,48507,49399,48457,49201,"+1,100",0.0227,11749300
18/08/2025,48655,49003,47812,48110,-500,-0.0102,12702300
15/08/2025,50391,50490,48407,48606,"-1,200",-0.0239,15853500
14/08/2025,49796,50689,49201,49796,+600,0.0121,18777000
13/08/2025,47713,49201,46771,49201,"+1,600",0.0333,17933600
12/08/2025,47118,48060,46622,47614,+500,0.0105,14447400
11/08/2025,47415,47465,46771,47118,-200,-0.0042,9037900
08/08/2025,47564,47614,46423,47316,-150,-0.0031,12538000
07/08/2025,47614,47614,46572,47465,+350,0.0074,9351600
06/08/2025,46820,47366,46175,47118,"+1,000",0.0215,10501100
05/08/2025,45580,48358,45233,46126,+850,0.018600000000000002,24346700
04/08/2025,43646,45382,43249,45283,"+1,350",0.0305,9917000
01/08/2025,45630,45630,43795,43944,"-1,600",-0.0349,16339400
31/07/2025,47118,47118,44687,45531,-300,-0.006500000000000001,20410700
30/07/2025,43646,46473,43497,45828,"+2,400",0.0548,22513200
29/07/2025,45431,45679,43448,43448,"-1,800",-0.0395,14822900
28/07/2025,45134,45630,45035,45233,,,11052000
25/07/2025,45431,45828,45084,45233,-100,-0.0022,6007900
24/07/2025,45283,45580,44836,45332,+50,0.0011,5115900
23/07/2025,45332,45481,44439,45283,+50,0.0011,6424800
22/07/2025,44836,45233,44340,45233,+400,0.0088,4912800
21/07/2025,45233,45382,44340,44836,+150,0.0033,6648900
18/07/2025,44638,45183,44192,44687,+50,0.0011,8336000
17/07/2025,44539,44787,44241,44638,+50,0.0011,7610100
16/07/2025,43795,44588,43547,44588,+800,0.0181,2865200
15/07/2025,43944,44489,43745,43795,-150,-0.0034000000000000002,7356000
14/07/2025,44142,44192,43348,43944,-300,-0.0067,12187300
11/07/2025,44588,44588,44192,44241,-400,-0.0089,5825700
10/07/2025,44539,44638,43944,44638,,,6592000
09/07/2025,44043,44836,43944,44638,+600,0.013500000000000002,7957100
08/07/2025,44142,44241,43696,44043,,,5127800
07/07/2025,42654,44043,42604,44043,"+1,700",0.0398,12486400
