Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,98000,101200,97800,100800,"+1,800",0.0182,7936900
20/11/2025,98600,99700,98100,99000,"+1,000",0.0102,4593100
19/11/2025,99500,99500,98000,98000,"-2,000",-0.02,5169300
18/11/2025,101000,101100,98800,100000,"-1,000",-0.009899999999999999,6500100
17/11/2025,100600,101800,100600,101000,"+1,000",0.01,5585100
14/11/2025,98900,100900,98200,100000,"+1,100",0.0111,4699900
13/11/2025,100600,100700,98700,98900,"-1,700",-0.0169,4757400
12/11/2025,96500,100600,96500,100600,"+4,500",0.046799999999999994,6635300
11/11/2025,96800,97900,96100,96100,-100,-0.001,6624200
10/11/2025,101200,101200,96200,96200,"-4,800",-0.0475,10072600
07/11/2025,99500,101800,99500,101000,+800,0.008,5863600
06/11/2025,100900,102000,99400,100200,-700,-0.0069,6751800
05/11/2025,101800,102000,99600,100900,"-2,400",-0.0232,11741500
04/11/2025,104100,104700,101700,103300,"-1,700",-0.016200000000000003,10620700
03/11/2025,103800,106300,103500,105000,"+1,100",0.0106,20963600
31/10/2025,102600,103900,101000,103900,"+1,200",0.011699999999999999,14827100
30/10/2025,102100,103500,101600,102700,"+1,000",0.0098,9730600
29/10/2025,102400,103200,101100,101700,-500,-0.0049,9302800
28/10/2025,98600,102200,98600,102200,"+4,200",0.0429,20912700
27/10/2025,99000,99700,96300,98000,+300,0.0031,12897800
24/10/2025,95000,97700,94700,97700,"+2,700",0.028399999999999998,13759100
23/10/2025,97200,97300,94000,95000,"-2,000",-0.0206,6647600
22/10/2025,95200,99000,95000,97000,"+4,000",0.043,18311100
21/10/2025,89000,93000,88500,93000,"+6,000",0.069,19520200
20/10/2025,88300,91800,87000,87000,"-1,100",-0.0125,14580300
17/10/2025,90100,91500,88100,88100,"-1,700",-0.0189,8374400
16/10/2025,89800,91500,89600,89800,+200,0.0022,7928500
15/10/2025,92600,93100,89500,89600,"-2,800",-0.030299999999999997,18738600
14/10/2025,94100,94500,92400,92400,"-1,600",-0.017,12659600
13/10/2025,94900,94900,93700,94000,"-2,100",-0.0219,7915000
10/10/2025,94200,96500,93800,96100,"+1,900",0.0202,8587700
09/10/2025,95000,95000,93500,94200,-300,-0.0032,5716300
08/10/2025,95500,96900,94500,94500,"-1,000",-0.0105,5132100
07/10/2025,96000,96300,95200,95500,,,5997500
06/10/2025,94300,95900,93500,95500,"+2,100",0.0225,6580000
03/10/2025,92200,94000,92100,93400,"+1,300",0.0141,7681300
02/10/2025,92900,93400,92000,92100,"-1,300",-0.0139,7933800
01/10/2025,93200,94500,91400,93400,+400,0.0043,7405100
30/09/2025,95500,95800,92800,93000,"-2,500",-0.0262,12018800
29/09/2025,97800,97800,95500,95500,"-2,000",-0.020499999999999997,10430900
26/09/2025,98200,99300,97400,97500,-500,-0.0051,8080800
25/09/2025,99500,99500,97900,98000,"-1,500",-0.0151,8627700
24/09/2025,98100,99500,97400,99500,"+1,500",0.015300000000000001,7421100
23/09/2025,100000,100000,97500,98000,"-1,700",-0.0171,18291200
22/09/2025,102500,102700,99600,99700,"-3,300",-0.032,16280200
19/09/2025,103800,103800,100500,103000,,,23514300
18/09/2025,106000,106300,103000,103000,"-2,500",-0.023700000000000002,8198400
17/09/2025,104000,107800,104000,105500,"+2,000",0.019299999999999998,20018000
16/09/2025,102700,104800,102000,103500,"+1,600",0.015700000000000002,17531600
15/09/2025,101900,103500,101500,101900,+300,0.003,14123100
