Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,61600,61900,61000,61900,-200,-0.0032,467300
20/11/2025,62200,62300,61700,62100,-100,-0.0016,392000
19/11/2025,62500,62800,62000,62200,-200,-0.0032,380800
18/11/2025,63400,63400,62100,62400,-600,-0.0095,749600
17/11/2025,63200,63800,62000,63000,+200,0.0032,689000
14/11/2025,62900,63400,62500,62800,-100,-0.0016,496800
13/11/2025,61700,63500,61400,62900,"+1,000",0.016200000000000003,1158200
12/11/2025,61500,62000,60600,61900,+800,0.0131,648800
11/11/2025,61300,62000,60900,61100,-100,-0.0016,553500
10/11/2025,62800,62800,61000,61200,"-1,700",-0.027000000000000003,738300
07/11/2025,61800,62900,61000,62900,+800,0.0129,1225100
06/11/2025,63300,63300,61700,62100,-900,-0.0143,626000
05/11/2025,60700,63600,60600,63000,"+2,500",0.041299999999999996,1680600
04/11/2025,62100,62200,60100,60500,"-1,000",-0.0163,1008600
03/11/2025,62000,62900,61500,61500,-100,-0.0016,1095100
31/10/2025,59800,62300,59800,61600,"+1,900",0.0318,1173700
30/10/2025,60200,60800,59700,59700,-500,-0.0083,460400
29/10/2025,60100,61200,60000,60200,+200,0.0033,639500
28/10/2025,59300,60200,59100,60000,+700,0.0118,660100
27/10/2025,60200,60200,59300,59300,-300,-0.005,512900
24/10/2025,60400,60800,59600,59600,-200,-0.0033,643300
23/10/2025,60000,60700,59500,59800,+800,0.013600000000000001,554800
22/10/2025,57200,59000,57200,59000,"+3,000",0.0536,1023700
21/10/2025,57300,58800,56000,56000,"-1,000",-0.0175,837900
20/10/2025,58600,59500,57000,57000,"-1,600",-0.0273,604700
17/10/2025,58700,59200,58500,58600,-100,-0.0017000000000000001,320000
16/10/2025,58800,59200,58500,58700,-300,-0.0051,956300
15/10/2025,60000,60200,58800,59000,"-1,000",-0.0167,1271300
14/10/2025,60900,60900,60000,60000,-600,-0.009899999999999999,568000
13/10/2025,60100,60900,60100,60600,-300,-0.0049,516900
10/10/2025,60900,61200,60600,60900,,,592500
09/10/2025,60900,61400,60600,60900,,,363100
08/10/2025,61200,61600,60900,60900,,,379300
07/10/2025,61100,61100,60600,60900,+100,0.0016,302600
06/10/2025,61100,61100,60200,60800,+700,0.0116,420400
03/10/2025,60200,60500,60000,60100,-200,-0.0033,470400
02/10/2025,60700,61000,60300,60300,-300,-0.005,454300
01/10/2025,60500,60900,60500,60600,+200,0.0033,211700
30/09/2025,61500,61700,60400,60400,"-1,100",-0.0179,647500
29/09/2025,61600,62000,61400,61500,,,381300
26/09/2025,62300,62400,61500,61500,-400,-0.006500000000000001,265100
25/09/2025,62000,62300,61800,61900,+300,0.0049,550000
24/09/2025,61600,61700,61100,61600,,,558200
23/09/2025,61900,62000,61200,61600,-200,-0.0032,544500
22/09/2025,62400,62500,61200,61800,-700,-0.011200000000000002,883600
19/09/2025,63300,63300,62500,62500,-500,-0.0079,658200
