Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,27150,27450,26900,27400,+150,0.0055000000000000005,22607900
20/11/2025,27700,27800,27150,27250,-350,-0.0127,23049300
19/11/2025,27500,28350,27450,27600,+100,0.0036,56320700
18/11/2025,27250,27600,27150,27500,+200,0.0073,35028300
17/11/2025,27050,27350,27050,27300,+400,0.0149,32158300
14/11/2025,26500,26950,26500,26900,+350,0.0132,22112200
13/11/2025,27000,27050,26550,26550,-450,-0.0167,18927500
12/11/2025,26650,27100,26650,27000,+400,0.015,30662900
11/11/2025,26600,26900,26450,26600,+150,0.005699999999999999,31332100
10/11/2025,26200,26750,26100,26450,+400,0.0154,48017900
07/11/2025,26150,26550,26000,26050,-50,-0.0019,55100200
06/11/2025,26350,26500,26100,26100,-200,-0.0076,21207600
05/11/2025,26450,26750,26250,26300,-450,-0.0168,20835300
04/11/2025,26150,26850,25950,26750,+700,0.0269,37767100
03/11/2025,26750,26900,26050,26050,-650,-0.024300000000000002,28356600
31/10/2025,26900,27100,26700,26700,-200,-0.0074,19779100
30/10/2025,27400,27400,26900,26900,-350,-0.0128,23693500
29/10/2025,26900,27550,26900,27250,+450,0.0168,39448900
28/10/2025,26350,26800,26150,26800,+550,0.021,28512100
27/10/2025,26750,26850,26250,26250,-150,-0.005699999999999999,27390800
24/10/2025,26500,26700,26100,26400,-100,-0.0038,30587700
23/10/2025,26750,27000,26500,26500,-200,-0.0075,23443400
22/10/2025,26900,26900,26150,26700,-100,-0.0037,37268800
21/10/2025,26300,27000,26000,26800,+750,0.0288,74275800
20/10/2025,27900,28250,26050,26050,"-1,950",-0.0696,102963100
17/10/2025,28300,28650,28000,28000,-250,-0.0088,46508200
16/10/2025,28250,28800,28000,28250,,,44715300
15/10/2025,28400,28700,28200,28250,-100,-0.0034999999999999996,34623200
14/10/2025,29050,29250,28300,28350,-650,-0.022400000000000003,84307900
13/10/2025,29050,29250,28850,29000,-600,-0.0203,80237700
10/10/2025,29000,29750,28900,29600,+650,0.0225,62702300
09/10/2025,29400,29400,28850,28950,-250,-0.0086,42551700
08/10/2025,29250,29400,28750,29200,+200,0.0069,59953000
07/10/2025,29200,29350,29000,29000,-200,-0.0068000000000000005,41398600
06/10/2025,28100,29200,28100,29200,"+1,550",0.056100000000000004,71269500
03/10/2025,28100,28100,27350,27650,-450,-0.016,58123500
02/10/2025,28350,28650,28050,28100,-200,-0.0070999999999999995,30165900
01/10/2025,28300,28500,28100,28300,+150,0.0053,29848500
30/09/2025,28550,28600,27900,28150,-450,-0.015700000000000002,53737200
29/09/2025,28550,28900,28400,28600,+50,0.0018,38831200
26/09/2025,28850,29200,28550,28550,-250,-0.0087,38128900
25/09/2025,29150,29300,28750,28800,-250,-0.0086,34435400
24/09/2025,28650,29050,28250,29050,+400,0.013999999999999999,30738900
23/09/2025,28550,28850,28450,28650,+250,0.0088,24900000
22/09/2025,29250,29250,28300,28400,-850,-0.0291,66073800
19/09/2025,29300,29400,28800,29250,+100,0.0034000000000000002,45024800
18/09/2025,29350,29400,28600,29150,-50,-0.0017000000000000001,75687000
17/09/2025,29900,30250,29200,29200,-750,-0.025,124424600
16/09/2025,30550,30550,29750,29950,-400,-0.0132,66855600
15/09/2025,30250,30850,30100,30350,+350,0.011699999999999999,88920500
12/09/2025,29200,30100,29150,30000,+850,0.0292,104621000
11/09/2025,28700,29200,28000,29150,+300,0.0104,71781900
10/09/2025,28850,29200,28400,28850,,,52455800
09/09/2025,29200,29250,28200,28850,-50,-0.0017000000000000001,73861200
08/09/2025,28700,29750,28650,28900,+100,0.0034999999999999996,141768400
05/09/2025,30000,30100,28800,28800,"-1,050",-0.0352,95256400
04/09/2025,28450,29900,28350,29850,"+1,700",0.0604,141435100
03/09/2025,27400,29000,27250,28150,+650,0.0236,119138500
29/08/2025,27200,27850,27050,27500,+400,0.0148,81735200
28/08/2025,26950,27500,26850,27100,+350,0.0131,63166300
27/08/2025,27250,27250,26750,26750,-450,-0.0165,85992500
26/08/2025,26100,27200,26100,27200,"+1,250",0.0482,51986200
25/08/2025,26500,26750,25850,25950,-50,-0.0019,68320100
22/08/2025,26950,27100,26000,26000,"-1,400",-0.051100000000000007,132314200
21/08/2025,27450,27800,27300,27400,,,69981700
20/08/2025,28200,28250,27050,27400,-750,-0.026600000000000002,101007400
