Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,78400,78400,77200,77500,"-1,000",-0.0127,4020000
20/11/2025,78900,79100,78500,78500,-300,-0.0038,3398600
19/11/2025,79000,79600,78500,78800,-200,-0.0025,3470500
18/11/2025,79800,80300,78500,79000,-700,-0.0088,4594500
17/11/2025,78800,80000,78300,79700,"+1,700",0.0218,5528700
14/11/2025,78600,79300,77600,78000,"-1,000",-0.0127,5137900
13/11/2025,79300,79700,78900,79000,-200,-0.0025,4590600
12/11/2025,78500,79500,78300,79200,"+1,000",0.0128,5010800
11/11/2025,76500,78900,76400,78200,"+2,200",0.028900000000000002,7667500
10/11/2025,77100,78300,76000,76000,-800,-0.0104,5025900
07/11/2025,78200,79700,76800,76800,"-2,000",-0.0254,7306800
06/11/2025,80100,80100,78800,78800,"-1,400",-0.0175,4652600
05/11/2025,79900,81500,79100,80200,+200,0.0025,8834200
04/11/2025,76800,80500,74400,80000,"+3,000",0.039,12598000
03/11/2025,79600,79800,77000,77000,"-2,600",-0.0327,7670000
31/10/2025,79400,80800,79000,79600,+300,0.0038,6477800
30/10/2025,79700,80600,79300,79300,+100,0.0013,6826300
29/10/2025,79100,80600,78500,79200,+200,0.0025,8381100
28/10/2025,78600,79000,76200,79000,+500,0.0064,7889400
27/10/2025,79600,79800,77400,78500,-800,-0.0101,7509000
24/10/2025,77900,79500,75700,79300,"+1,100",0.0141,13522400
23/10/2025,79600,80000,77600,78200,-800,-0.0101,9732300
22/10/2025,79900,80600,77400,79000,"+1,000",0.0128,13805300
21/10/2025,79900,80000,76200,78000,"-3,900",-0.047599999999999996,28573200
20/10/2025,87000,88800,81900,81900,"-6,100",-0.0693,31684600
17/10/2025,91400,94000,88000,88000,-200,-0.0023,32812700
16/10/2025,85000,88200,84800,88200,"+5,700",0.0691,17212400
15/10/2025,83000,83700,82500,82500,,,6589100
14/10/2025,85600,85600,82500,82500,"-2,500",-0.0294,12780300
13/10/2025,83600,85800,83600,85000,+900,0.010700000000000001,12632300
10/10/2025,83500,84200,83000,84100,"+1,000",0.012,13452100
09/10/2025,82900,84200,82700,83100,+500,0.0060999999999999995,7329600
08/10/2025,83700,84400,82600,82600,+100,0.0012,11323000
07/10/2025,83300,83400,82500,82500,-500,-0.006,5203300
06/10/2025,81400,83300,81000,83000,"+3,000",0.0375,8979600
03/10/2025,81200,81200,79400,80000,"-1,500",-0.0184,6475000
02/10/2025,81500,82100,81000,81500,+200,0.0025,3777300
01/10/2025,81100,82300,81100,81300,+300,0.0037,3192800
30/09/2025,82000,82000,80500,81000,-800,-0.0098,4726100
29/09/2025,82200,82500,81300,81800,-400,-0.0049,4298200
26/09/2025,82200,83500,82000,82200,,,6728100
25/09/2025,83500,83600,82200,82200,-700,-0.0084,4585800
24/09/2025,82000,83700,81100,82900,"+1,000",0.012199999999999999,5235500
23/09/2025,81900,82600,81500,81900,,,3808100
22/09/2025,83900,84000,81000,81900,"-2,000",-0.023799999999999998,8824400
19/09/2025,84600,84700,83300,83900,-100,-0.0012,10383000
18/09/2025,84400,85200,83500,84000,-200,-0.0024,6725200
17/09/2025,86600,86900,84200,84200,"-2,600",-0.03,11516500
16/09/2025,89000,89000,86800,86800,"-1,700",-0.0192,13155500
15/09/2025,86800,89000,86300,88500,"+2,500",0.0291,16596700
12/09/2025,82300,86900,81600,86000,"+4,000",0.048799999999999996,21808200
11/09/2025,80800,82300,79100,82000,"+1,000",0.0123,10202400
10/09/2025,81400,81400,80000,81000,,,4256100
09/09/2025,81000,81300,79800,81000,,,6003800
08/09/2025,82600,83300,80000,81000,"-2,000",-0.0241,13945500
05/09/2025,86300,87400,83000,83000,"-1,800",-0.0212,12005700
04/09/2025,83500,85300,82000,84800,"+1,800",0.0217,13228500
03/09/2025,83500,85300,82900,83000,,,9531800
29/08/2025,83200,83600,82200,83000,-100,-0.0012,7420100
28/08/2025,82500,83300,81900,83100,+900,0.0109,6539900
27/08/2025,81300,82800,81200,82200,"+1,100",0.013600000000000001,8098600
26/08/2025,78700,81100,78200,81100,"+1,600",0.020099999999999996,8579900
25/08/2025,81300,81800,78300,79500,"-1,500",-0.018500000000000003,10287200
22/08/2025,83000,83400,79700,81000,"-3,300",-0.0391,18642000
21/08/2025,83900,84800,83300,84300,+400,0.0048,9701000
20/08/2025,86800,87400,81000,83900,"-1,100",-0.0129,19059400
19/08/2025,84500,86500,83200,85000,"+1,100",0.0131,14531000
18/08/2025,83100,84400,83000,83900,+800,0.0096,8972500
15/08/2025,84800,86200,82700,83100,"-1,700",-0.02,13662000
14/08/2025,86600,86800,83800,84800,"-1,100",-0.0128,13527300
13/08/2025,84400,87400,82100,85900,"+2,300",0.0275,24211400
12/08/2025,85000,86000,82300,83600,"+1,600",0.0195,13213200
11/08/2025,77900,82000,77800,82000,"+5,300",0.0691,29731100
08/08/2025,76500,77700,75600,76700,+500,0.0066,11377400
07/08/2025,76400,77800,75800,76200,+200,0.0026,9815900
06/08/2025,75600,76800,75200,76000,"+1,400",0.018799999999999997,9656300
05/08/2025,74000,77200,73500,74600,+700,0.0095,18436200
04/08/2025,72100,74000,71800,73900,"+1,400",0.019299999999999998,5917800
01/08/2025,72300,72500,71100,72500,,,5598500
31/07/2025,73100,73400,70800,72500,-500,-0.0068000000000000005,9176600
30/07/2025,73000,73500,71000,73000,+800,0.0111,9483500
29/07/2025,78500,78500,72200,72200,"-5,400",-0.0696,16023900
28/07/2025,76200,78600,75900,77600,"+1,800",0.023700000000000002,12672700
