Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,80400,80400,78100,80000,"-1,000",-0.0123,8331600
20/11/2025,82300,82300,80800,81000,"-1,400",-0.017,5080700
19/11/2025,83000,83200,81600,82400,-600,-0.0072,6064700
18/11/2025,82500,83200,81900,83000,+600,0.0073,4417900
17/11/2025,81200,82400,81200,82400,"+1,000",0.0123,4514700
14/11/2025,79200,82000,79200,81400,"+1,300",0.016200000000000003,3951700
13/11/2025,80100,80500,79500,80100,-400,-0.005,3798700
12/11/2025,78000,80500,77900,80500,"+2,500",0.0321,5083400
11/11/2025,77500,79100,77500,78000,"+1,200",0.015600000000000001,5881500
10/11/2025,76300,79300,76300,76800,+300,0.0039000000000000003,7274200
07/11/2025,79600,80500,75500,76500,"-3,800",-0.0473,8643300
06/11/2025,80300,81000,78800,80300,+100,0.0012,4495500
05/11/2025,81500,81500,80100,80200,"-1,600",-0.0196,4679900
04/11/2025,80900,82000,78500,81800,+800,0.009899999999999999,13681700
03/11/2025,83000,83300,81000,81000,"-1,600",-0.0194,6146600
31/10/2025,83900,84000,82000,82600,"-1,300",-0.0155,6453200
30/10/2025,84200,84400,83500,83900,-200,-0.0024,5652200
29/10/2025,83000,84400,83000,84100,-100,-0.0012,5076100
28/10/2025,80900,84400,80400,84200,"+3,200",0.0395,8277300
27/10/2025,85700,85700,81000,81000,"-4,700",-0.0548,9884200
24/10/2025,85500,85900,82800,85700,,,9652900
23/10/2025,86000,86800,84600,85700,"+1,200",0.014199999999999999,9156600
22/10/2025,83000,84500,81600,84500,"+1,500",0.0181,8203100
21/10/2025,82300,83000,80500,83000,"+2,100",0.026000000000000002,12062300
20/10/2025,87000,87900,79800,80900,"-3,600",-0.0426,14226400
17/10/2025,84800,85900,83800,84500,,,9880500
16/10/2025,83300,84800,83000,84500,"+1,200",0.0144,6629400
15/10/2025,84000,84700,83000,83300,-900,-0.010700000000000001,5687400
14/10/2025,83900,85000,82400,84200,"+1,200",0.014499999999999999,12093100
13/10/2025,81200,83000,81000,83000,"+1,000",0.012199999999999999,7962500
10/10/2025,81400,82000,80600,82000,+500,0.0060999999999999995,7593200
09/10/2025,80800,81900,80500,81500,+700,0.0087,7782900
08/10/2025,79000,81300,78500,80800,"+2,800",0.0359,17337700
07/10/2025,78000,79500,77500,78000,+400,0.0052,7199900
06/10/2025,78400,78700,77200,77600,+600,0.0078000000000000005,9452100
03/10/2025,77000,77400,75400,77000,-100,-0.0013,9671700
02/10/2025,77800,78500,76900,77100,-600,-0.0077,4725900
01/10/2025,77500,78300,77200,77700,,,4989600
30/09/2025,76800,77800,76200,77700,+700,0.0091,7817600
29/09/2025,77900,77900,76600,77000,-900,-0.0116,6021900
26/09/2025,78300,79100,77900,77900,"-1,100",-0.0139,4081700
25/09/2025,78800,79000,78100,79000,-200,-0.0025,5302400
24/09/2025,77700,79200,77100,79200,"+1,400",0.018000000000000002,4391900
23/09/2025,76800,78200,76300,77800,"+1,300",0.017,4466900
22/09/2025,77900,77900,76000,76500,"-2,100",-0.026699999999999998,8126100
19/09/2025,78500,78900,77400,78600,+100,0.0013,4279300
18/09/2025,78000,78500,76700,78500,+500,0.0064,8718800
17/09/2025,79800,81100,78000,78000,"-2,300",-0.0286,8298600
16/09/2025,79600,81400,78900,80300,+800,0.0101,8927700
15/09/2025,79000,79600,78100,79500,+500,0.0063,8395500
12/09/2025,78800,79400,77800,79000,+200,0.0025,7900100
11/09/2025,75400,79400,74000,78800,"+3,300",0.0437,18120100
10/09/2025,75600,76300,74500,75500,-500,-0.0066,7770800
09/09/2025,74600,76000,73700,76000,"+2,000",0.027000000000000003,6933700
08/09/2025,74500,76800,74000,74000,"-1,000",-0.013300000000000001,13715000
05/09/2025,78000,78300,75000,75000,"-2,500",-0.0323,9769500
04/09/2025,76000,77500,73900,77500,"+1,700",0.022400000000000003,12031500
03/09/2025,76900,77600,75700,75800,"-2,200",-0.0282,8068800
29/08/2025,78000,78200,76600,78000,+700,0.0091,9402500
28/08/2025,75000,77300,74500,77300,"+2,300",0.030699999999999998,11875600
27/08/2025,75000,76600,74600,75000,"+1,400",0.019,12565000
26/08/2025,69000,73600,68600,73600,"+4,800",0.0698,16810900
25/08/2025,70300,70600,68600,68800,"-1,500",-0.0213,6387100
22/08/2025,69900,70600,68400,70300,-700,-0.009899999999999999,10901700
21/08/2025,69400,71600,69200,71000,"+1,600",0.0231,12495000
20/08/2025,68500,70700,68100,69400,"+1,400",0.0206,11461600
19/08/2025,70000,70000,68000,68000,"-2,000",-0.0286,14132300
18/08/2025,70600,71000,69200,70000,-500,-0.0070999999999999995,8199100
15/08/2025,72000,72300,69800,70500,"-1,400",-0.0195,9112800
14/08/2025,71000,71900,70100,71900,"+1,000",0.0141,9930500
13/08/2025,72500,72500,70000,70900,"-1,300",-0.018000000000000002,11739600
12/08/2025,72300,72500,71000,72200,+100,0.0014000000000000002,7809000
11/08/2025,72000,73700,71700,72100,+100,0.0014000000000000002,10677600
08/08/2025,72600,72800,70500,72000,-400,-0.0055000000000000005,11116900
07/08/2025,72700,72800,71600,72400,,,8095800
06/08/2025,68900,72400,68500,72400,"+3,100",0.0447,18002400
05/08/2025,67300,69500,66000,69300,"+2,300",0.034300000000000004,15697200
04/08/2025,65200,67000,65200,67000,"+1,800",0.0276,8211500
01/08/2025,65400,66700,65200,65200,-100,-0.0015,8228000
31/07/2025,67200,67800,65200,65300,"-1,800",-0.0268,14552200
30/07/2025,67500,67900,66100,67100,+500,0.0075,13161600
