Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,22450,22750,22250,22600,-200,-0.0088,4923700
20/11/2025,22800,22900,22100,22800,,,7139800
19/11/2025,23000,23250,22150,22800,-200,-0.0087,8482000
18/11/2025,23100,23350,22800,23000,-50,-0.0022,7818600
17/11/2025,22350,23250,22250,23050,+850,0.0383,14150500
14/11/2025,21750,22500,21750,22200,+200,0.0091,7091000
13/11/2025,22100,22100,21650,22000,-200,-0.009000000000000001,5694500
12/11/2025,21200,22200,21100,22200,"+1,000",0.0472,9427000
11/11/2025,21000,21200,20500,21200,+400,0.0192,7228400
10/11/2025,20850,21400,20700,20800,-350,-0.0165,7539800
07/11/2025,22000,22000,20850,21150,-850,-0.038599999999999995,10279700
06/11/2025,22400,22500,21850,22000,-450,-0.02,7487300
05/11/2025,22700,22700,21850,22450,-400,-0.0175,8361500
04/11/2025,21050,22850,20500,22850,"+1,450",0.0678,17560800
03/11/2025,22600,22650,21000,21400,"-1,150",-0.051,15349900
31/10/2025,23350,23400,22550,22550,-850,-0.0363,8993600
30/10/2025,23000,23500,22850,23400,+400,0.0174,10397300
29/10/2025,23300,23400,22850,23000,,,8809800
28/10/2025,21900,23000,20700,23000,+950,0.0431,24953400
27/10/2025,23800,23950,22050,22050,"-1,600",-0.0677,19980800
24/10/2025,23500,24250,23150,23650,+50,0.0021,15560600
23/10/2025,24350,24650,23600,23600,-650,-0.0268,11804300
22/10/2025,23600,24250,22900,24250,+950,0.0408,23079200
21/10/2025,24200,24200,22900,23300,-900,-0.037200000000000004,36773600
20/10/2025,25600,26500,24200,24200,"-1,800",-0.0692,34251300
17/10/2025,26300,26600,25800,26000,-300,-0.011399999999999999,27361500
16/10/2025,25900,27000,25850,26300,+800,0.031400000000000004,29421600
15/10/2025,24950,25850,24700,25500,+600,0.0241,26573600
14/10/2025,25000,25400,24550,24900,+250,0.0101,36678900
13/10/2025,23200,25000,23100,24650,"+1,000",0.042300000000000004,34968500
10/10/2025,23500,24000,23450,23650,+350,0.015,18678800
09/10/2025,22900,23350,22700,23300,+600,0.0264,10994900
08/10/2025,23000,23150,22050,22700,-50,-0.0022,15078800
07/10/2025,23200,23350,22750,22750,-350,-0.0152,11827300
06/10/2025,21800,23100,21800,23100,"+1,500",0.0694,12762900
03/10/2025,22750,22750,21600,21600,"-1,300",-0.056799999999999996,23896900
