Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,34250,34350,33800,33950,-450,-0.0131,2146100
20/11/2025,34750,34850,34300,34400,-300,-0.0086,1406200
19/11/2025,34550,34850,34400,34700,+150,0.0043,1997700
18/11/2025,34650,35100,34550,34550,-150,-0.0043,2769100
17/11/2025,34550,34700,34400,34700,+200,0.0058,1654200
14/11/2025,34550,34850,34400,34500,,,1409500
13/11/2025,34050,35050,34000,34500,+450,0.0132,2597000
12/11/2025,34000,34050,33750,34050,+300,0.0089,1081700
11/11/2025,33950,34100,33700,33750,-150,-0.0044,1320500
10/11/2025,34150,34400,33900,33900,-100,-0.0029,1622400
07/11/2025,34800,35000,34000,34000,-750,-0.0216,2556500
06/11/2025,35300,35400,34700,34750,-450,-0.0128,2001900
05/11/2025,34300,36100,34300,35200,"+1,000",0.0292,4302700
04/11/2025,34200,34500,33750,34200,-100,-0.0029,1942900
03/11/2025,35000,35000,34300,34300,-250,-0.0072,1161500
31/10/2025,34550,35500,34550,34550,,,2937600
30/10/2025,34600,34800,34400,34550,+50,0.0014000000000000002,793900
29/10/2025,34100,34500,34000,34500,+450,0.0132,1345200
28/10/2025,34150,34300,33850,34050,-100,-0.0029,641700
27/10/2025,34800,34800,34150,34150,-150,-0.0044,776900
24/10/2025,34800,34850,34250,34300,+50,0.0015,1108600
23/10/2025,34600,34950,34250,34250,,,1270200
22/10/2025,33500,34500,33400,34250,+900,0.027000000000000003,2047700
21/10/2025,32800,33500,32800,33350,+650,0.0199,1522900
20/10/2025,33500,33500,32500,32700,-850,-0.0253,2222300
17/10/2025,33700,33750,33450,33550,-150,-0.0045000000000000005,1940900
16/10/2025,33700,33900,33400,33700,,,1735700
15/10/2025,33600,33900,33550,33700,+100,0.003,1660100
14/10/2025,34050,34300,33500,33600,-450,-0.0132,1916500
13/10/2025,33700,34050,33550,34050,,,1238600
10/10/2025,34150,34250,33950,34050,-50,-0.0015,1171100
09/10/2025,34000,34400,33850,34100,+150,0.0044,1216800
08/10/2025,34300,34400,33900,33950,+50,0.0015,1039400
07/10/2025,34300,34350,33900,33900,-250,-0.0073,891600
06/10/2025,34000,34150,33700,34150,+700,0.0209,921500
03/10/2025,34150,34150,33300,33450,-550,-0.016200000000000003,2004500
02/10/2025,34150,34350,34000,34000,-150,-0.0044,1039500
01/10/2025,34200,34450,34150,34150,-50,-0.0015,696000
30/09/2025,34750,34800,34000,34200,-550,-0.0158,1610600
29/09/2025,35200,35300,34650,34750,-50,-0.0014000000000000002,1020300
26/09/2025,35300,35300,34800,34800,-250,-0.0070999999999999995,804600
25/09/2025,35150,35300,35050,35050,+50,0.0014000000000000002,1032600
24/09/2025,34800,35050,34600,35000,+250,0.0072,1194300
23/09/2025,35000,35200,34750,34750,-100,-0.0029,1169300
22/09/2025,35400,35550,34850,34850,-500,-0.0141,1866700
19/09/2025,35550,35750,35300,35350,-250,-0.006999999999999999,2152000
18/09/2025,36100,36150,35550,35600,-500,-0.0139,1609700
17/09/2025,36150,36650,36000,36100,+150,0.0042,1910400
16/09/2025,36000,36300,35800,35950,+200,0.005600000000000001,2344000
15/09/2025,36000,36050,35600,35750,+150,0.0042,1254400
12/09/2025,35400,36000,35250,35600,+250,0.0070999999999999995,1759700
11/09/2025,35600,35700,34850,35350,-50,-0.0014000000000000002,2030600
10/09/2025,35600,35850,35250,35400,-50,-0.0014000000000000002,951800
09/09/2025,35550,35700,35150,35450,-50,-0.0014000000000000002,1657600
08/09/2025,36500,36600,35500,35500,"-1,100",-0.0301,3117400
05/09/2025,36800,37200,36600,36600,-50,-0.0014000000000000002,2740600
04/09/2025,36600,37000,36500,36650,+100,0.0027,1443500
03/09/2025,36400,36950,36300,36550,+450,0.0125,1410600
29/08/2025,36500,36500,36050,36100,-50,-0.0014000000000000002,1694600
28/08/2025,36450,36800,36100,36150,-250,-0.0069,1883600
27/08/2025,36350,36850,36150,36400,+50,0.0014000000000000002,1392400
26/08/2025,36000,36400,35900,36350,+500,0.0139,1245400
25/08/2025,36100,36500,35750,35850,-100,-0.0028000000000000004,2063900
22/08/2025,36700,36850,35850,35950,-950,-0.025699999999999997,3927900
21/08/2025,37000,37400,36700,36900,-100,-0.0027,2486700
20/08/2025,38300,38350,36650,37000,"-1,350",-0.0352,4907300
19/08/2025,38800,39300,38350,38350,-450,-0.0116,4029200
18/08/2025,39200,39350,38450,38800,+300,0.0078000000000000005,3223300
15/08/2025,38000,39750,37700,38500,+600,0.0158,7512200
14/08/2025,38400,38400,37550,37900,-100,-0.0026,2328900
13/08/2025,38650,38950,37500,38000,-500,-0.013000000000000001,3546500
12/08/2025,38000,38850,37650,38500,+550,0.014499999999999999,4940600
11/08/2025,38250,38500,37650,37950,-250,-0.006500000000000001,2344600
08/08/2025,37100,38500,37100,38200,"+1,100",0.0296,6375200
07/08/2025,37500,37550,37000,37100,-350,-0.009300000000000001,2324500
06/08/2025,36800,37600,36700,37450,+850,0.0232,2980400
05/08/2025,36900,37100,36200,36600,,,3923500
04/08/2025,36300,36850,36000,36600,+800,0.0223,2611700
01/08/2025,36250,36300,35650,35800,-450,-0.0124,3046700
31/07/2025,36600,37100,36150,36250,-50,-0.0014000000000000002,2104500
30/07/2025,37000,37000,36200,36300,-200,-0.0055000000000000005,3099700
29/07/2025,37900,38500,36500,36500,"-1,350",-0.035699999999999996,7470400
