Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,46950,46950,46500,46700,-350,-0.0074,542300
20/11/2025,47400,47500,46950,47050,+50,0.0011,776700
19/11/2025,47200,47200,46900,47000,-200,-0.0042,665000
18/11/2025,47300,47500,46800,47200,-50,-0.0011,623200
17/11/2025,47100,47600,47100,47250,+150,0.0032,1032700
14/11/2025,47400,47550,47050,47100,-300,-0.0063,842800
13/11/2025,47100,47550,46850,47400,+450,0.0096,1122200
12/11/2025,46800,47100,46600,46950,+150,0.0032,753600
11/11/2025,45950,47250,45900,46800,+800,0.0174,1271900
10/11/2025,46200,46350,46000,46000,-100,-0.0022,515600
07/11/2025,45900,46400,45900,46100,-50,-0.0011,560000
06/11/2025,46000,46300,45900,46150,-50,-0.0011,543600
05/11/2025,46300,46350,45950,46200,-50,-0.0011,566500
04/11/2025,46450,46450,45500,46250,-50,-0.0011,851500
03/11/2025,45800,46650,45750,46300,+450,0.0098,858900
31/10/2025,45850,45900,45600,45850,+150,0.0033,575000
30/10/2025,45900,45900,45400,45700,-50,-0.0011,623700
29/10/2025,45800,46000,45450,45750,+300,0.0066,762700
28/10/2025,45450,45650,45350,45450,,,405600
27/10/2025,45500,45750,45200,45450,+300,0.0066,691600
24/10/2025,45500,45500,45000,45150,-300,-0.0066,354200
23/10/2025,44800,45650,44550,45450,+650,0.014499999999999999,730200
22/10/2025,44450,44800,44250,44800,+350,0.0079,390300
21/10/2025,44150,44500,44000,44450,+450,0.0102,806800
20/10/2025,45050,45250,44000,44000,"-1,250",-0.0276,961100
17/10/2025,45200,45500,44900,45250,+50,0.0011,825800
16/10/2025,45300,45600,45100,45200,-50,-0.0011,467500
15/10/2025,45450,45700,45250,45250,-150,-0.0033,544100
14/10/2025,45800,45950,45400,45400,-550,-0.012,579100
13/10/2025,45500,45950,45350,45950,+100,0.0022,521600
10/10/2025,45600,45950,45550,45850,+250,0.0055000000000000005,481500
09/10/2025,46000,46050,45550,45600,-350,-0.0076,557300
08/10/2025,46300,46400,45950,45950,-50,-0.0011,517900
07/10/2025,46450,46450,45900,46000,-150,-0.0033,690800
06/10/2025,46050,46200,45700,46150,+600,0.0132,894200
03/10/2025,45450,45800,45400,45550,+150,0.0033,425600
02/10/2025,45400,45750,45400,45400,+100,0.0022,696400
01/10/2025,45300,45550,45200,45300,+100,0.0022,324100
30/09/2025,45500,45600,45150,45200,-300,-0.0066,553000
29/09/2025,45700,45700,45350,45500,-150,-0.0033,571100
26/09/2025,46050,46050,45650,45650,-200,-0.0044,480800
25/09/2025,46150,46250,45750,45850,-250,-0.0054,468600
24/09/2025,45900,46100,45500,46100,+300,0.0066,503600
23/09/2025,45800,46100,45650,45800,+100,0.0022,447500
22/09/2025,46100,46450,45500,45700,-300,-0.006500000000000001,1354200
19/09/2025,46950,46950,46000,46000,-800,-0.0171,1385500
18/09/2025,47450,47550,46700,46800,-500,-0.0106,1010400
17/09/2025,47800,48150,47300,47300,-500,-0.0105,983000
16/09/2025,46950,48150,46600,47800,"+1,100",0.0236,2744100
15/09/2025,46950,47000,46650,46700,+50,0.0011,507500
12/09/2025,46300,47400,46300,46650,+250,0.0054,1050800
11/09/2025,46400,46500,45700,46400,+150,0.0032,705600
10/09/2025,46500,46600,46150,46250,-50,-0.0011,506700
09/09/2025,46750,46800,46200,46300,-500,-0.010700000000000001,858200
08/09/2025,47500,47550,46750,46800,-500,-0.0106,869100
05/09/2025,47250,47500,47100,47300,+200,0.0042,1242400
04/09/2025,46500,47200,46350,47100,+750,0.016200000000000003,1013000
03/09/2025,46600,46600,46250,46350,-200,-0.0043,558900
29/08/2025,46800,46900,46550,46550,,,788100
28/08/2025,46000,46650,46000,46550,+550,0.012,545500
27/08/2025,46100,46300,45850,46000,+100,0.0022,1209900
26/08/2025,45600,45900,45450,45900,+300,0.0066,696900
25/08/2025,45800,46000,45500,45600,-200,-0.0044,990900
22/08/2025,46500,46600,45700,45800,-800,-0.0172,1847600
21/08/2025,46550,46900,46300,46600,-150,-0.0032,1406200
20/08/2025,47150,47150,46550,46750,-400,-0.0085,1212700
19/08/2025,47250,47350,47050,47150,,,1046500
18/08/2025,47550,47750,47150,47150,-350,-0.0074,962200
15/08/2025,47950,47950,47400,47500,-400,-0.0084,1553000
14/08/2025,48100,48100,47750,47900,-50,-0.001,1143800
13/08/2025,48450,48450,47850,47950,-350,-0.0072,1126700
12/08/2025,48400,48550,48200,48300,+100,0.0021,1258100
11/08/2025,48000,48550,48000,48200,+350,0.0073,1467500
08/08/2025,47700,48150,47600,47850,+150,0.0031,930800
07/08/2025,48000,48000,47550,47700,-100,-0.0021,860100
06/08/2025,47600,48150,47350,47800,+300,0.0063,980700
05/08/2025,48100,48200,47400,47500,-600,-0.0125,2101200
04/08/2025,48000,48100,47650,48100,+150,0.0031,804800
01/08/2025,47700,48050,47700,47950,+300,0.0063,1031600
31/07/2025,47700,48400,47500,47650,+50,0.0011,1914100
30/07/2025,47400,47800,47350,47600,+250,0.0053,2020500
29/07/2025,49300,49500,47350,47350,"-1,950",-0.039599999999999996,2638000
28/07/2025,49350,49500,48900,49300,+200,0.0040999999999999995,2668300
25/07/2025,49000,49100,48850,49100,+100,0.002,1335000
24/07/2025,48950,50000,48700,49000,+400,0.008199999999999999,2245700
23/07/2025,47850,48900,47500,48600,+800,0.0167,2660200
22/07/2025,47750,47900,47500,47800,+100,0.0021,797900
21/07/2025,48050,48350,47700,47700,-500,-0.0104,1645300
18/07/2025,48550,48550,48000,48200,-200,-0.0040999999999999995,1338400
17/07/2025,48050,48700,47850,48400,+400,0.0083,2042400
16/07/2025,48050,48150,47650,48000,-50,-0.001,1366400
15/07/2025,48000,48900,47950,48050,+50,0.001,2151700
14/07/2025,48150,48350,47650,48000,-150,-0.0031,1272000
11/07/2025,48100,48250,47500,48150,+50,0.001,2444000
10/07/2025,47700,48350,47700,48100,+450,0.009399999999999999,2150900
09/07/2025,47000,47750,46900,47650,+800,0.0171,2602200
08/07/2025,46450,46850,46450,46850,+450,0.0097,1639400
07/07/2025,46500,46650,46300,46400,,,1320400
04/07/2025,46600,46600,46300,46400,+150,0.0032,848400
03/07/2025,46400,46600,46250,46250,-150,-0.0032,1535400
02/07/2025,46500,46500,46100,46400,-150,-0.0032,1099500
01/07/2025,47000,47000,46500,46550,-450,-0.0096,904400
30/06/2025,47600,47750,46900,47000,-600,-0.0126,1923100
27/06/2025,47599,47882,47317,47599,+100,0.002,3074500
26/06/2025,47694,47788,47317,47505,+200,0.004,1366600
25/06/2025,46424,47505,46424,47317,+650,0.0131,1835000
24/06/2025,46565,46706,46424,46706,+400,0.008100000000000001,857200
23/06/2025,46283,46518,46188,46330,-250,-0.0051,1207000
20/06/2025,46565,46659,46377,46565,+50,0.001,1058600
19/06/2025,46753,46894,46283,46518,-50,-0.001,1097900
18/06/2025,46988,47129,46565,46565,-450,-0.009000000000000001,1444100
17/06/2025,46659,47788,46612,46988,+400,0.008100000000000001,1578900
16/06/2025,46094,46753,46094,46612,+450,0.0092,1123600
13/06/2025,46471,46471,46000,46188,-350,-0.0070999999999999995,1034900
12/06/2025,46188,46659,46188,46518,+450,0.0092,778300
11/06/2025,46000,46188,45953,46094,+150,0.0031,420400
10/06/2025,46330,46330,45906,45953,,,991500
09/06/2025,46141,46471,45953,45953,-200,-0.0040999999999999995,996500
06/06/2025,46565,46800,46141,46141,-450,-0.0091,901000
05/06/2025,47035,47223,46565,46565,-600,-0.012,1665000
04/06/2025,46659,47694,46612,47129,+600,0.0121,1590800
03/06/2025,46283,46612,46283,46565,+350,0.0070999999999999995,761000
02/06/2025,45859,46424,45671,46235,+400,0.008199999999999999,676400
30/05/2025,46330,46377,45812,45859,-500,-0.0102,1845100
29/05/2025,46565,46847,46330,46330,-200,-0.004,880000
28/05/2025,46659,46753,46330,46518,,,670900
27/05/2025,46800,46800,46471,46518,,,697800
26/05/2025,46941,46941,45812,46518,,,788800
23/05/2025,46706,46753,46377,46518,-200,-0.004,503500
22/05/2025,46659,46753,46471,46706,+50,0.001,866900
21/05/2025,46847,46988,46565,46659,-200,-0.004,683400
20/05/2025,46565,46941,46518,46847,+100,0.002,656600
19/05/2025,47223,47223,46659,46753,-800,-0.0158,860400
16/05/2025,47317,47694,47223,47505,+200,0.004,772800
15/05/2025,46565,47599,46565,47317,+800,0.016200000000000003,1386400
14/05/2025,46188,46706,46188,46565,+250,0.0051,1201000
13/05/2025,46659,46659,46283,46330,-200,-0.004,1112900
12/05/2025,46283,46565,46094,46518,+450,0.0092,1298700
09/05/2025,46753,46753,45953,46094,+450,0.009300000000000001,1046400
08/05/2025,45248,45859,45248,45671,+500,0.0104,931200
07/05/2025,45201,45530,45154,45201,+200,0.0042,874300
06/05/2025,45577,45577,44918,45013,-50,-0.001,862500
05/05/2025,45060,45295,44354,45060,-200,-0.0042,1357000
29/04/2025,47788,47788,45248,45248,"-3,100",-0.0605,4602000
28/04/2025,46518,48258,46330,48164,"+1,700",0.034300000000000004,2093300
25/04/2025,46283,46565,46000,46565,+300,0.0060999999999999995,2004100
24/04/2025,46094,46424,45906,46283,+600,0.0123,1823900
23/04/2025,44966,45718,44589,45718,"+2,000",0.0429,1164100
22/04/2025,44213,44683,42332,43837,-500,-0.0106,1384500
21/04/2025,44495,44777,44307,44307,-250,-0.0053,472500
18/04/2025,44589,45154,44401,44542,+350,0.0074,1025000
17/04/2025,44495,44683,44166,44213,-600,-0.0126,1363100
16/04/2025,45342,45624,44542,44777,"-1,100",-0.0226,1523400
15/04/2025,46141,46188,44966,45812,-800,-0.016200000000000003,2331300
14/04/2025,46565,46800,45671,46565,+500,0.0102,2653300
11/04/2025,45154,46659,44354,46094,"+1,850",0.0392,4010000
10/04/2025,44354,44354,44307,44354,"+3,050",0.0692,598500
09/04/2025,39039,41955,39039,41485,"+1,500",0.0352,3452100
08/04/2025,40779,41908,39886,40074,-750,-0.0173,3689800
04/04/2025,40121,42190,40121,40779,"-2,500",-0.0545,3848700
03/04/2025,45436,45436,43131,43131,"-3,450",-0.07,3313200
02/04/2025,46471,46518,46188,46377,-50,-0.001,653100
01/04/2025,46141,46659,45953,46424,+450,0.0092,1112800
31/03/2025,46330,46471,46000,46000,-400,-0.008100000000000001,1148000
28/03/2025,46659,46753,46283,46377,-250,-0.005,1296000
27/03/2025,46612,46753,46518,46612,,,1011300
26/03/2025,46612,47129,46471,46612,,,1419300
25/03/2025,47129,47223,46612,46612,-350,-0.006999999999999999,1626600
24/03/2025,47317,47411,46941,46941,-400,-0.008,1706500
21/03/2025,47788,47788,47317,47317,-300,-0.0059,1227900
20/03/2025,47882,48070,47505,47599,-200,-0.0039000000000000003,1541600
19/03/2025,48258,48258,47788,47788,-300,-0.0059,2211100
18/03/2025,48540,48822,48070,48070,-500,-0.0097,1776800
17/03/2025,48916,49011,48352,48540,,,761900
14/03/2025,48258,49293,48164,48540,+500,0.0098,1544600
13/03/2025,48070,48446,47976,48070,,,1148100
12/03/2025,47976,48446,47976,48070,-100,-0.002,1733300
11/03/2025,48258,48352,47882,48164,-200,-0.0039000000000000003,1594800
10/03/2025,48446,48634,47976,48352,+200,0.0039000000000000003,1371300
07/03/2025,48822,48916,48070,48164,-200,-0.0039000000000000003,1447200
06/03/2025,48728,48822,48258,48352,-400,-0.0077,1466600
05/03/2025,48916,49011,48540,48728,-200,-0.0038,480300
04/03/2025,48634,49011,48446,48916,+300,0.0058,736100
03/03/2025,48916,48916,48446,48634,+200,0.0039000000000000003,603400
28/02/2025,48916,49199,48446,48446,-700,-0.0134,1085900
27/02/2025,49105,49199,48728,49105,,,480200
26/02/2025,49387,49387,48916,49105,-200,-0.0038,844700
25/02/2025,50328,50328,49011,49293,,,507400
24/02/2025,48728,49293,48728,49293,+600,0.0116,870800
21/02/2025,48540,49105,48352,48728,+400,0.0078000000000000005,774900
20/02/2025,48446,48540,48258,48352,+100,0.0019,737300
19/02/2025,48164,48352,48070,48258,+100,0.002,894100
18/02/2025,48070,48446,47976,48164,+100,0.002,646700
17/02/2025,48446,48540,47976,48070,-500,-0.0097,1138900
14/02/2025,49293,49293,48446,48540,-100,-0.0019,825700
13/02/2025,48822,48916,48634,48634,-200,-0.0039000000000000003,297800
12/02/2025,48634,48916,48634,48822,+300,0.0058,247500
11/02/2025,49011,49105,48446,48540,-600,-0.0115,770000
10/02/2025,49105,49293,48916,49105,-200,-0.0038,802100
07/02/2025,49575,49669,49199,49293,-300,-0.005699999999999999,929200
