Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,34500,34500,33500,34250,-350,-0.0101,8560200
20/11/2025,34850,35000,34600,34600,-200,-0.005699999999999999,6941100
19/11/2025,35400,35400,34750,34800,-550,-0.015600000000000001,6830700
18/11/2025,35200,35350,34950,35350,+200,0.005699999999999999,8594800
17/11/2025,35100,35250,34700,35150,+50,0.0014000000000000002,9499500
14/11/2025,34800,35350,34700,35100,,,5603100
13/11/2025,34650,35500,34600,35100,+100,0.0029,12530800
12/11/2025,33700,35000,33600,35000,"+1,350",0.0401,12025800
11/11/2025,33450,34000,33350,33650,+250,0.0075,11239700
10/11/2025,33300,33600,32950,33400,+400,0.0121,8793300
07/11/2025,33600,33950,33000,33000,-600,-0.0179,16083600
06/11/2025,34150,34500,33500,33600,-500,-0.0147,13684100
05/11/2025,34900,34900,34050,34100,-900,-0.025699999999999997,11242500
04/11/2025,33600,35200,33450,35000,"+1,400",0.0417,16062100
03/11/2025,35100,35500,33600,33600,"-1,500",-0.042699999999999995,16737200
31/10/2025,35700,36200,35100,35100,-600,-0.0168,12256900
30/10/2025,36500,36600,35600,35700,-700,-0.0192,10507900
29/10/2025,35900,36900,35650,36400,+400,0.0111,13116300
28/10/2025,35050,36400,34000,36000,+950,0.0271,26134800
27/10/2025,36300,36500,35050,35050,"-1,050",-0.0291,15906600
24/10/2025,37000,37000,36050,36100,"-1,150",-0.030899999999999997,23396700
23/10/2025,38050,38050,36800,37250,-750,-0.0197,15619200
22/10/2025,38100,38150,36400,38000,+350,0.009300000000000001,15701400
21/10/2025,38100,38450,36500,37650,-200,-0.0053,28577600
20/10/2025,40650,40650,37850,37850,"-2,800",-0.0689,30048800
17/10/2025,41650,41650,40450,40650,-600,-0.014499999999999999,18690000
16/10/2025,41200,41250,40800,41250,+450,0.011000000000000001,20239100
15/10/2025,41000,41350,40550,40800,,,13321200
14/10/2025,41750,42000,40550,40800,-500,-0.0121,25929200
13/10/2025,39300,41500,39250,41300,"+1,950",0.0496,43313300
10/10/2025,39100,39900,39000,39350,+400,0.0103,20313000
09/10/2025,38600,39100,38550,38950,+350,0.0091,18770600
08/10/2025,39250,39400,38450,38600,-400,-0.0103,20604100
07/10/2025,40000,40000,38950,39000,-400,-0.0102,11813100
06/10/2025,38950,39400,38500,39400,"+1,050",0.0274,23149900
03/10/2025,38550,38650,38050,38350,-500,-0.0129,11272100
02/10/2025,38850,39200,38400,38850,+300,0.0078000000000000005,16259200
01/10/2025,37850,38600,37800,38550,+700,0.018500000000000003,13225600
30/09/2025,38050,38050,37500,37850,+100,0.0026,11108100
29/09/2025,37603,37798,37409,37750,+50,0.0013,13476500
26/09/2025,37896,37944,37409,37701,-200,-0.0051,12298300
25/09/2025,37798,37944,37555,37896,+100,0.0026,13473200
24/09/2025,36532,37798,36191,37798,"+1,300",0.0347,19693100
23/09/2025,36580,37019,36532,36532,,,10315400
22/09/2025,37311,37409,36337,36532,-900,-0.023399999999999997,26033800
19/09/2025,37798,37798,37116,37409,-400,-0.0103,11768500
