Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,59100,59200,58700,59000,-400,-0.0067,3452400
20/11/2025,59600,59700,59200,59400,,,2259400
19/11/2025,59900,60100,59300,59400,-500,-0.0083,2896200
18/11/2025,60400,60400,59800,59900,-300,-0.005,2158800
17/11/2025,60000,60400,59900,60200,+200,0.0033,1585600
14/11/2025,59800,60400,59400,60000,+200,0.0033,2069600
13/11/2025,59500,60000,59200,59800,+300,0.005,2113500
12/11/2025,59100,59700,59000,59500,+600,0.0102,2012700
11/11/2025,59100,59600,58800,58900,+100,0.0017000000000000001,2540900
10/11/2025,59400,59700,58800,58800,-500,-0.0084,2316500
07/11/2025,60000,60000,59000,59300,"-1,000",-0.0166,3586300
06/11/2025,60900,61300,60200,60300,-500,-0.008199999999999999,2821200
05/11/2025,60000,61100,59900,60800,+700,0.0116,4601700
04/11/2025,59200,60400,59100,60100,+800,0.013500000000000002,2952400
03/11/2025,60000,60300,59300,59300,-300,-0.005,2800100
31/10/2025,60800,60800,59600,59600,"-1,000",-0.0165,2117800
30/10/2025,61000,61200,60300,60600,-100,-0.0016,1946600
29/10/2025,60000,61000,59800,60700,+700,0.011699999999999999,3716000
28/10/2025,59200,60200,59100,60000,+800,0.013500000000000002,2789700
27/10/2025,60000,60000,59200,59200,-300,-0.005,2640000
24/10/2025,59800,59900,58800,59500,-300,-0.005,4372700
23/10/2025,58900,60300,58900,59800,+200,0.0034000000000000002,4227100
22/10/2025,60100,60200,58500,59600,+300,0.0051,4664800
21/10/2025,59700,60700,59300,59300,-100,-0.0017000000000000001,8416700
20/10/2025,61800,62200,58600,59400,"-2,500",-0.0404,12115600
17/10/2025,62900,62900,61800,61900,"-1,000",-0.0159,5405900
16/10/2025,62700,63000,62500,62900,+400,0.0064,4634400
15/10/2025,63100,63400,62500,62500,-600,-0.0095,5218800
14/10/2025,63500,64000,62900,63100,,,7008900
13/10/2025,63400,63800,62800,63100,"-1,100",-0.0171,7992500
10/10/2025,63900,64400,63600,64200,+400,0.0063,4985600
09/10/2025,64500,65200,63800,63800,-800,-0.0124,5734200
08/10/2025,64200,64900,63600,64600,+900,0.0141,8113800
07/10/2025,64100,64100,63300,63700,-300,-0.004699999999999999,4229300
06/10/2025,62800,64000,62800,64000,"+2,300",0.0373,7461700
03/10/2025,62000,62000,61400,61700,,,2821100
02/10/2025,61947,62642,61649,61649,-300,-0.0048,3757500
01/10/2025,62245,62245,61550,61947,+400,0.006500000000000001,3227000
30/09/2025,62344,62444,61352,61550,-600,-0.0096,4294100
29/09/2025,62444,62444,61947,62146,-400,-0.0063,3220900
26/09/2025,62742,62940,62444,62543,,,4021900
25/09/2025,62841,62940,62245,62543,+300,0.0048,4075300
24/09/2025,61947,62245,61352,62245,+500,0.008,3919200
23/09/2025,61947,62642,61749,61749,+200,0.0032,3806300
22/09/2025,62543,62742,61352,61550,"-1,000",-0.0159,6101300
19/09/2025,63734,64032,62543,62543,-900,-0.0141,7137700
18/09/2025,64429,64429,63139,63436,-900,-0.0139,8803400
17/09/2025,65025,65323,64330,64330,-800,-0.012199999999999999,6266800
16/09/2025,65521,66117,65124,65124,-200,-0.003,6820401
15/09/2025,65521,65521,65025,65323,,,12016900
12/09/2025,65720,65720,64528,65323,+100,0.0015,5694200
11/09/2025,65124,65521,63734,65223,-100,-0.0015,6631100
10/09/2025,65124,65521,64330,65323,+900,0.0139,5006400
09/09/2025,65025,65720,64032,64429,-400,-0.0060999999999999995,6437300
08/09/2025,66613,67010,64826,64826,"-2,200",-0.0326,11249800
05/09/2025,68996,69095,67010,67010,"-1,400",-0.0203,11292800
04/09/2025,67010,68499,66415,68400,"+1,900",0.028399999999999998,9032100
03/09/2025,68301,68301,66514,66514,"-1,600",-0.0233,14561900
29/08/2025,68698,69592,68003,68102,-400,-0.0058,14696101
28/08/2025,68996,70088,68202,68499,-100,-0.0014000000000000002,9344400
27/08/2025,64528,68599,64528,68599,"+4,500",0.0697,33198100
26/08/2025,63139,64528,62444,64131,"+1,000",0.015700000000000002,8201400
25/08/2025,65323,65323,62940,63139,"-1,000",-0.0155,7867800
22/08/2025,63536,66713,63238,64131,+400,0.0062,19157300
21/08/2025,62841,64528,62841,63734,"+1,200",0.019,9909300
20/08/2025,64032,64131,61749,62543,"-1,200",-0.0187,10750600
