Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,96100,99300,96100,99300,"+1,500",0.015300000000000001,3947400
20/11/2025,96700,98400,96000,97800,+900,0.009300000000000001,3350300
19/11/2025,96900,96900,95300,96900,-100,-0.001,3741200
18/11/2025,95700,97000,94000,97000,"+2,000",0.021099999999999997,3666000
17/11/2025,94000,96300,94000,95000,"+1,100",0.011699999999999999,4096000
14/11/2025,93000,93900,90500,93900,+600,0.0064,3280400
13/11/2025,94500,94900,91600,93300,-700,-0.0074,4292000
12/11/2025,90100,95000,90100,94000,"+4,000",0.0444,4720500
11/11/2025,86900,91400,86900,90000,"+3,100",0.035699999999999996,8465600
10/11/2025,90200,92000,86900,86900,"-5,100",-0.0554,6349200
07/11/2025,97500,98000,92000,92000,"-6,900",-0.0698,9791200
06/11/2025,99600,101500,97600,98900,-700,-0.006999999999999999,4590300
05/11/2025,101200,101700,99500,99600,-600,-0.006,3054600
04/11/2025,98400,102000,98400,100200,"+1,700",0.0173,4564100
03/11/2025,99600,101400,97800,98500,-700,-0.0070999999999999995,5083100
31/10/2025,103800,103800,99200,99200,"-4,800",-0.0462,6461300
30/10/2025,103800,105000,100800,104000,+200,0.0019,3691300
29/10/2025,107100,107100,102700,103800,"-3,200",-0.029900000000000003,3681700
28/10/2025,104200,107000,99100,107000,+500,0.004699999999999999,13561200
27/10/2025,115000,116000,106500,106500,"-8,000",-0.0699,7164300
24/10/2025,114600,116800,112500,114500,-500,-0.0043,5136500
23/10/2025,113000,117100,111200,115000,"+2,000",0.0177,6383900
22/10/2025,112000,113000,104000,113000,"+2,100",0.0189,7701600
21/10/2025,109000,115000,106900,110900,"+2,900",0.0269,8238300
20/10/2025,114000,115000,108000,108000,"-8,000",-0.069,11634800
17/10/2025,122000,122000,114600,116000,"-6,000",-0.0492,12213500
16/10/2025,123800,123800,120400,122000,"-2,000",-0.0161,9475900
15/10/2025,127500,127600,122600,124000,"-3,000",-0.0236,7059300
14/10/2025,124500,131500,124500,127000,"+2,800",0.0225,13660200
13/10/2025,123000,126000,122100,124200,"+1,200",0.0098,12312200
10/10/2025,118000,123000,116000,123000,"+8,000",0.0696,9026200
09/10/2025,108300,115000,108100,115000,"+7,500",0.0698,12892200
08/10/2025,103500,107500,101200,107500,"+4,400",0.042699999999999995,8989300
07/10/2025,103000,104600,102200,103100,+400,0.0039000000000000003,6428600
06/10/2025,103900,103900,100500,102700,"+2,700",0.027000000000000003,5972800
03/10/2025,98600,100000,96000,100000,"+1,400",0.014199999999999999,4683200
02/10/2025,101200,102000,98600,98600,"-2,600",-0.025699999999999997,5821100
01/10/2025,103000,104500,100800,101200,"-1,800",-0.0175,3503500
30/09/2025,102500,105800,102100,103000,"+1,100",0.0108,4878500
29/09/2025,98900,105300,97600,101900,"+2,900",0.029300000000000003,6464700
