Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,226200,231100,222000,229700,"+1,700",0.0075,2778400
20/11/2025,220900,230000,220000,228000,"+7,500",0.034,2828600
19/11/2025,220000,225000,219000,220500,+500,0.0023,2328900
18/11/2025,217000,221000,215500,220000,"+3,000",0.0138,3027200
17/11/2025,212000,221100,212000,217000,"+6,000",0.028399999999999998,3889800
14/11/2025,210800,211300,208100,211000,-200,-0.0009,2083100
13/11/2025,210000,215800,209200,211200,,,3061500
12/11/2025,199600,211200,199600,211200,"+10,200",0.0507,3885100
11/11/2025,199000,203900,198700,201000,"+2,000",0.0101,4226300
10/11/2025,198800,204000,193300,199000,-700,-0.0034999999999999996,2785800
07/11/2025,205000,207900,199700,199700,"-8,100",-0.039,3701700
06/11/2025,206000,211500,203800,207800,"+1,300",0.0063,4605200
05/11/2025,201000,208000,198500,206500,"+5,500",0.0274,2136600
04/11/2025,198000,204900,196100,201000,"+5,600",0.0287,2514100
03/11/2025,191100,199500,186000,195400,"+4,400",0.023,3627000
31/10/2025,202000,203700,191000,191000,"-13,100",-0.0642,7461600
30/10/2025,210500,211800,201500,204100,"-7,900",-0.0373,3772500
29/10/2025,219000,219000,211900,212000,"-8,100",-0.0368,2739200
28/10/2025,213500,220600,199100,220100,"+6,100",0.0285,5205500
27/10/2025,222900,226500,214000,214000,"-5,000",-0.022799999999999997,3889100
24/10/2025,215400,222900,215100,219000,"+4,000",0.018600000000000002,3412900
23/10/2025,202900,215500,200000,215000,"+12,000",0.0591,4761200
22/10/2025,204000,204000,193000,203000,-400,-0.002,4196300
21/10/2025,202000,204900,193700,203400,"+8,500",0.0436,3700400
20/10/2025,200000,204500,190000,194900,"-9,100",-0.0446,5671000
17/10/2025,214100,214600,199900,204000,"-9,100",-0.042699999999999995,5615100
16/10/2025,210000,217600,205900,213100,"+3,600",0.0172,5217400
15/10/2025,214100,214900,206000,209500,"-2,400",-0.0113,3752400
14/10/2025,215900,219700,206900,211900,"+6,500",0.0316,8065500
13/10/2025,193900,205400,193900,205400,"+13,400",0.0698,7178300
10/10/2025,178500,192000,178500,192000,"+12,500",0.0696,4294700
09/10/2025,177000,181600,176300,179500,"+1,400",0.0079,4131300
08/10/2025,179000,180900,175200,178100,"-1,900",-0.0106,3256600
07/10/2025,181100,182000,178000,180000,+300,0.0017000000000000001,2368100
06/10/2025,186800,186800,176500,179700,"+3,200",0.0181,2398200
03/10/2025,172000,179300,171100,176500,"+5,500",0.0322,4892400
02/10/2025,168800,175700,168800,171000,"+1,000",0.0059,2381100
01/10/2025,174900,175000,167800,170000,"-4,900",-0.027999999999999997,2643100
30/09/2025,173500,183000,173500,174900,"+2,100",0.012199999999999999,4674600
29/09/2025,162300,174800,161000,172800,"+8,800",0.0537,2445600
26/09/2025,158000,164900,156000,164000,"+6,000",0.038,2709300
25/09/2025,149000,158000,146900,158000,"+9,000",0.0604,2820700
24/09/2025,149000,152000,145600,149000,-200,-0.0013,1753900
23/09/2025,148000,150100,145600,149200,+400,0.0027,1426200
22/09/2025,149700,154200,143900,148800,"-4,400",-0.0287,5112200
19/09/2025,145000,153200,143000,153200,"+8,200",0.056600000000000004,5615300
18/09/2025,143500,149900,141500,145000,"+1,900",0.013300000000000001,4389200
17/09/2025,133500,143900,133400,143100,"+8,100",0.06,3984900
16/09/2025,137800,137800,133900,135000,"-2,800",-0.0203,2920100
15/09/2025,137700,137800,134800,137800,,,2142000
12/09/2025,136000,138100,134100,137800,"+1,800",0.0132,1964200
11/09/2025,130000,137500,129100,136000,"+5,100",0.039,3017000
10/09/2025,129200,131000,127000,130900,"+1,700",0.0132,1985100
09/09/2025,125000,129600,124100,129200,"+4,200",0.0336,2659700
08/09/2025,125100,128000,125000,125000,,,2203500
05/09/2025,125200,129800,125000,125000,,,2141000
04/09/2025,125000,126000,123000,125000,,,1988700
03/09/2025,127100,128200,124500,125000,"-3,300",-0.025699999999999997,2287100
29/08/2025,131100,132500,128100,128300,"-1,800",-0.0138,2470800
