Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,60300,60700,59700,59900,-800,-0.0132,4191100
20/11/2025,61400,61600,60500,60700,-200,-0.0033,2656100
19/11/2025,60700,61900,60500,60900,+200,0.0033,4458500
18/11/2025,62000,62300,60500,60700,"-1,400",-0.0225,5559900
17/11/2025,62900,63300,61800,62100,-700,-0.0111,4198400
14/11/2025,61700,63300,61600,62800,"+1,000",0.016200000000000003,10146900
13/11/2025,59800,62000,59700,61800,"+2,000",0.0334,9741800
12/11/2025,58800,60000,58500,59800,+900,0.015300000000000001,5161900
11/11/2025,57000,59000,57000,58900,"+1,900",0.0333,5152700
10/11/2025,57700,57900,57000,57000,-600,-0.0104,2675800
07/11/2025,57600,58400,57500,57600,-400,-0.0069,3251100
06/11/2025,58000,58500,57600,58000,,,2241200
05/11/2025,57300,58500,57100,58000,+700,0.012199999999999999,3831600
04/11/2025,57600,57900,56300,57300,,,4175200
03/11/2025,57700,58300,57300,57300,-300,-0.0052,2642700
31/10/2025,57400,57700,57100,57600,+500,0.0088,2641500
30/10/2025,57800,57900,57000,57100,-400,-0.006999999999999999,1905200
29/10/2025,57500,57900,57100,57500,+100,0.0017000000000000001,1973000
28/10/2025,57200,57400,56800,57400,+400,0.006999999999999999,2079100
27/10/2025,58400,58400,57000,57000,"-1,100",-0.0189,2998800
24/10/2025,56900,58100,56100,58100,"+1,500",0.0265,3959900
23/10/2025,56500,57100,56300,56600,+300,0.0053,2327300
22/10/2025,57100,57300,55700,56300,-200,-0.0034999999999999996,3846700
21/10/2025,56100,58000,56100,56500,"+1,500",0.0273,7068100
20/10/2025,58800,58800,58800,58800,"-3,800",-0.0646,8737700
17/10/2025,61000,61200,58800,58800,"-2,400",-0.0392,6187800
16/10/2025,60800,61200,60200,61200,+400,0.0066,5158400
15/10/2025,60941,61514,60750,60750,+100,0.0016,4645400
14/10/2025,61514,61514,60463,60654,-500,-0.0078000000000000005,5359800
13/10/2025,59412,61227,59030,61132,"+1,600",0.0256,6305000
10/10/2025,60558,60558,59603,59603,-500,-0.0079,4972200
09/10/2025,60558,60654,59794,60081,-500,-0.0079,3297300
08/10/2025,59508,60654,58935,60558,"+2,000",0.0326,5919700
07/10/2025,59890,59890,58648,58648,"-1,000",-0.016,3715300
06/10/2025,59890,59890,59030,59603,"+1,100",0.0179,4051900
03/10/2025,58553,59508,58457,58553,+100,0.0016,3998500
02/10/2025,59699,59794,58457,58457,-900,-0.014499999999999999,3398700
01/10/2025,57979,59699,57502,59317,"+2,100",0.035,4526400
30/09/2025,57693,58075,57311,57311,-300,-0.005,3106900
