Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,28350,28700,28000,28550,,,18164600
20/11/2025,28250,28750,28000,28550,+450,0.016,19548400
19/11/2025,28700,28750,28100,28100,-700,-0.024300000000000002,16825600
18/11/2025,28300,28800,28150,28800,+700,0.024900000000000002,18859400
17/11/2025,27950,28400,27850,28100,+300,0.0108,12074200
14/11/2025,27600,28200,27600,27800,+50,0.0018,11783400
13/11/2025,28300,28350,27750,27750,-250,-0.0089,12863200
12/11/2025,27650,28300,27500,28000,+500,0.0182,16274200
11/11/2025,27750,27800,27400,27500,,,14818100
10/11/2025,27400,28200,27400,27500,,,16818300
07/11/2025,28450,28500,27300,27500,"-1,000",-0.0351,23937800
06/11/2025,29200,29200,28400,28500,-750,-0.0256,13235900
05/11/2025,29000,29450,28800,29250,-250,-0.0085,13066000
04/11/2025,27550,29500,27250,29500,"+1,900",0.0688,31974700
03/11/2025,29050,29050,27600,27600,"-1,100",-0.0383,23165800
31/10/2025,29200,29350,28650,28700,-500,-0.0171,15506600
30/10/2025,30250,30250,28950,29200,-650,-0.0218,19085200
29/10/2025,29700,30300,29450,29850,+400,0.013600000000000001,25082900
28/10/2025,28200,29450,28050,29450,"+1,150",0.0406,26721300
27/10/2025,29500,29800,28300,28300,-900,-0.0308,23908400
24/10/2025,29900,29900,29000,29200,-800,-0.026699999999999998,23926000
23/10/2025,30500,30800,30000,30000,-450,-0.0148,14351400
22/10/2025,30450,30450,29400,30450,+100,0.0033,26715100
21/10/2025,29500,30650,28350,30350,+600,0.0202,54104300
20/10/2025,31550,31800,29750,29750,"-2,200",-0.0689,52634700
17/10/2025,33200,33350,31900,31950,"-1,250",-0.0377,50287200
16/10/2025,33800,33900,33200,33200,-500,-0.0148,30745500
15/10/2025,32750,34650,32750,33700,"+1,200",0.0369,92652500
14/10/2025,31900,32850,31900,32500,+800,0.0252,57074600
13/10/2025,31600,31850,31250,31700,-400,-0.0125,35739000
10/10/2025,32300,32350,31700,32100,,,34643000
09/10/2025,31300,32100,31100,32100,"+1,000",0.0322,39130900
08/10/2025,31400,31650,30700,31100,+50,0.0016,25369900
07/10/2025,31900,31900,30900,31050,-500,-0.0158,26704000
06/10/2025,30250,31550,30000,31550,"+2,050",0.0695,42838700
03/10/2025,30150,30200,29500,29500,-650,-0.0216,30206400
02/10/2025,31100,31500,30150,30150,-750,-0.024300000000000002,31474300
01/10/2025,31100,31550,30850,30900,-200,-0.0064,16624800
30/09/2025,31250,31250,30300,31100,,,28902200
29/09/2025,30500,31200,30050,31100,+700,0.023,33075500
26/09/2025,30950,31100,30400,30400,-550,-0.0178,25508600
25/09/2025,31700,31850,30900,30950,-650,-0.0206,30534200
24/09/2025,30100,31600,29550,31600,"+1,700",0.056900000000000006,40528600
23/09/2025,29600,30650,29600,29900,+400,0.013600000000000001,27129500
22/09/2025,30350,30400,29300,29500,-900,-0.0296,54206200
19/09/2025,30900,30950,30000,30400,-400,-0.013000000000000001,28454900
18/09/2025,31100,31250,30300,30800,-200,-0.006500000000000001,26645900
17/09/2025,31700,31950,31000,31000,-700,-0.022099999999999998,26679300
16/09/2025,31550,32850,31500,31700,+150,0.0048,70212600
15/09/2025,31500,32200,30950,31550,-50,-0.0016,64130100
12/09/2025,32100,32300,31550,31600,-650,-0.0202,23141700
11/09/2025,32050,32350,30450,32250,-200,-0.0062,44389200
10/09/2025,32850,32950,31800,32450,+50,0.0015,22042300
09/09/2025,31500,32550,31350,32400,"+1,200",0.0385,39698200
08/09/2025,33300,33350,31200,31200,"-2,300",-0.0687,58073200
05/09/2025,35500,35500,33500,33500,"-1,400",-0.0401,37902100
04/09/2025,34700,35000,33800,34900,+400,0.0116,44836900
03/09/2025,35150,35400,34350,34500,-500,-0.0143,28617800
29/08/2025,34000,36300,33650,35000,"+1,000",0.0294,65834600
28/08/2025,33100,34200,32600,34000,+700,0.021,37019300
27/08/2025,34500,34700,32500,33300,"-1,000",-0.0292,57247900
26/08/2025,33050,34350,32750,34300,+800,0.0239,47968700
25/08/2025,35950,36000,33450,33500,"-2,450",-0.0682,67974200
22/08/2025,38000,38250,35950,35950,"-2,700",-0.0699,75347200
21/08/2025,37000,38900,36700,38650,"+2,100",0.0575,51427900
20/08/2025,35600,36550,33700,36550,"+2,350",0.0687,75558800
19/08/2025,32700,34200,32700,34200,"+2,200",0.0688,21644900
18/08/2025,32050,32550,31600,32000,+900,0.028900000000000002,46632900
15/08/2025,32800,32800,30900,31100,+300,0.0097,64889700
14/08/2025,29400,30800,29200,30800,"+2,000",0.0694,69328900
13/08/2025,29300,29550,28000,28800,-800,-0.027000000000000003,43486100
12/08/2025,29600,29800,29200,29600,,,35529800
11/08/2025,29500,29950,29000,29600,+50,0.0017000000000000001,33778300
08/08/2025,29500,29550,28000,29550,+600,0.0207,44921400
07/08/2025,27850,28950,27400,28950,"+1,850",0.0683,62566800
06/08/2025,26550,27100,26300,27100,+600,0.0226,28376400
05/08/2025,26650,27650,25600,26500,+100,0.0038,71760200
04/08/2025,25250,26400,25250,26400,+600,0.0233,38227100
01/08/2025,25900,25900,25000,25800,,,55593400
31/07/2025,25800,26100,25550,25800,+550,0.0218,55195800
30/07/2025,23800,25250,23500,25250,"+1,650",0.0699,70974800
29/07/2025,25100,25800,23550,23600,"-1,500",-0.059800000000000006,83065000
28/07/2025,24350,25150,24000,25100,"+1,050",0.0437,57164800
25/07/2025,23500,24150,23400,24050,+550,0.023399999999999997,54483100
24/07/2025,23900,23900,23150,23500,+150,0.0064,47157800
23/07/2025,22800,23600,22500,23350,+850,0.0378,73950900
22/07/2025,22150,22600,21800,22500,+200,0.009000000000000001,41725200
21/07/2025,21600,22500,21350,22300,+950,0.044500000000000005,72588400
18/07/2025,20900,21650,20800,21350,+450,0.0215,47947600
17/07/2025,21000,21300,20750,20900,+50,0.0024,49437400
16/07/2025,20750,21000,20500,20850,+100,0.0048,31463400
15/07/2025,21150,21200,20750,20750,-250,-0.011899999999999999,48779100
14/07/2025,20250,21200,20200,21000,+850,0.042199999999999994,63378600
