Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"1,200","1,200","1,200","1,200",-,-,100
19/11/2025,,,,,-,-,0
17/11/2025,,,,,-,-,0
14/11/2025,"1,400","1,400","1,200","1,200",-200,-14.29%,600
10/11/2025,,,,,-,-,0
07/11/2025,,,,,-,-,0
03/11/2025,,,,,-,-,0
31/10/2025,"1,600","1,600","1,300","1,300",-100,-7.14%,900
27/10/2025,,,,,-,-,0
24/10/2025,,,,,-,-,0
20/10/2025,,,,,-,-,0
17/10/2025,"1,200","1,400","1,200","1,400",+100,7.69%,"3,900"
13/10/2025,,,,,-,-,0
10/10/2025,"1,300","1,300","1,300","1,300",-200,-13.33%,"1,000"
06/10/2025,,,,,-,-,0
03/10/2025,"1,500","1,500","1,500","1,500",-,-,"15,200"
02/10/2025,,,,,-,-,0
29/09/2025,,,,,-,-,0
26/09/2025,"1,500","1,500","1,500","1,500",-,-,"11,500"
22/09/2025,,,,,-,-,0
19/09/2025,"1,500","1,500","1,500","1,500",-,-,"20,000"
15/09/2025,,,,,-,-,0
12/09/2025,"1,300","1,500","1,300","1,500",-,-,"22,200"
08/09/2025,,,,,-,-,0
05/09/2025,"1,600","1,600","1,500","1,500",+100,7.14%,700
03/09/2025,,,,,-,-,0
29/08/2025,"1,400","1,400","1,400","1,400",-,-,"1,400"
26/08/2025,,,,,-,-,0
25/08/2025,,,,,-,-,0
22/08/2025,"1,400","1,500","1,400","1,500",-100,-6.25%,"1,000"
,,,,,,,
18/08/2025,,,,,-,-,0
15/08/2025,"1,500","1,600","1,500","1,600",-,-,"2,100"
11/08/2025,,,,,-,-,0
08/08/2025,,,,,-,-,0
04/08/2025,,,,,-,-,0
01/08/2025,,,,,-,-,0
28/07/2025,,,,,-,-,0
25/07/2025,"1,600","1,600","1,600","1,600",-200,-11.11%,"1,500"
21/07/2025,,,,,-,-,0
18/07/2025,,,,,-,-,0
15/07/2025,,,,,-,-,0
14/07/2025,,,,,-,-,0
11/07/2025,,,,,-,-,0
07/07/2025,,,,,-,-,0
04/07/2025,,,,,-,-,0
02/07/2025,,,,,-,-,0
30/06/2025,,,,,-,-,0
27/06/2025,,,,,-,-,0
24/06/2025,,,,,-,-,0
23/06/2025,,,,,-,-,0
20/06/2025,,,,,-,-,0
16/06/2025,,,,,-,-,0
13/06/2025,,,,,-,-,0
09/06/2025,,,,,-,-,0
06/06/2025,,,,,-,-,0
04/06/2025,,,,,-,-,0
02/06/2025,,,,,-,-,0
30/05/2025,,,,,-,-,0
28/05/2025,,,,,-,-,0
26/05/2025,,,,,-,-,0
,,,,,,,
23/05/2025,"1,800","1,800","1,800","1,800",+200,12.50%,"1,300"
19/05/2025,,,,,-,-,0
16/05/2025,"1,600","1,600","1,600","1,600",-,-,200
12/05/2025,,,,,-,-,0
09/05/2025,,,,,-,-,0
05/05/2025,,,,,-,-,0
29/04/2025,,,,,-,-,0
28/04/2025,,,,,-,-,0
25/04/2025,,,,,-,-,0
22/04/2025,,,,,-,-,0
21/04/2025,,,,,-,-,0
18/04/2025,"1,600","1,600","1,600","1,600",-,-,"2,500"
14/04/2025,,,,,-,-,0
11/04/2025,,,,,-,-,0
10/04/2025,,,,,-,-,0
08/04/2025,,,,,-,-,0
04/04/2025,"1,600","1,600","1,600","1,600",-200,-11.11%,"7,000"
31/03/2025,,,,,-,-,0
28/03/2025,"1,900","1,900","1,700","1,700",-200,-10.53%,"1,900"
24/03/2025,,,,,-,-,0
21/03/2025,"2,000","2,000","1,900","1,900",-100,-5.00%,500
19/03/2025,,,,,-,-,0
17/03/2025,,,,,-,-,0
14/03/2025,"2,000","2,000","2,000","2,000",-,-,900
10/03/2025,,,,,-,-,0
07/03/2025,,,,,-,-,0
03/03/2025,,,,,-,-,0
28/02/2025,,,,,-,-,0
26/02/2025,,,,,-,-,0
24/02/2025,,,,,-,-,0
,,,,,,,
21/02/2025,"2,000","2,000","2,000","2,000",+200,11.11%,"31,900"
17/02/2025,,,,,-,-,0
14/02/2025,,,,,-,-,0
13/02/2025,,,,,-,-,0
11/02/2025,,,,,-,-,0
10/02/2025,,,,,-,-,0
07/02/2025,"1,800","1,800","1,800","1,800",-100,-5.26%,200
06/02/2025,,,,,-,-,0
05/02/2025,,,,,-,-,0
04/02/2025,,,,,-,-,0
03/02/2025,,,,,-,-,0
24/01/2025,,,,,-,-,0
20/01/2025,,,,,-,-,0
17/01/2025,,,,,-,-,0
13/01/2025,,,,,-,-,0
10/01/2025,"1,900","1,900","1,900","1,900",-,-,200
06/01/2025,,,,,-,-,0
03/01/2025,"1,700","1,900","1,700","1,900",+200,11.76%,"1,300"
02/01/2025,,,,,-,-,0
30/12/2024,,,,,-,-,0
27/12/2024,"1,800","1,800","1,700","1,700",-,-,"1,700"
23/12/2024,,,,,-,-,0
20/12/2024,"1,900","1,900","1,700","1,700",-300,-15.00%,"219,900"
17/12/2024,,,,,-,-,0
16/12/2024,,,,,-,-,0
13/12/2024,,,,,-,-,0
11/12/2024,,,,,-,-,0
09/12/2024,,,,,-,-,0
06/12/2024,"2,000","2,000","2,000","2,000",+100,5.26%,"2,100"
05/12/2024,,,,,-,-,0
,,,,,,,
02/12/2024,,,,,-,-,0
29/11/2024,"1,800","1,900","1,800","1,900",-,-,"1,300"
28/11/2024,,,,,-,-,0
27/11/2024,,,,,-,-,0
25/11/2024,,,,,-,-,0
22/11/2024,"1,900","1,900","1,900","1,900",+200,11.76%,"1,300"
18/11/2024,,,,,-,-,0
15/11/2024,"1,700","1,700","1,700","1,700",-300,-15.00%,100
11/11/2024,,,,,-,-,0
08/11/2024,"2,000","2,000","2,000","2,000",-200,-9.09%,"1,400"
04/11/2024,,,,,-,-,0
01/11/2024,,,,,-,-,0
28/10/2024,,,,,-,-,0
25/10/2024,,,,,-,-,0
23/10/2024,,,,,-,-,0
22/10/2024,,,,,-,-,0
21/10/2024,,,,,-,-,0
18/10/2024,"2,400","2,400","2,200","2,200",-100,-4.35%,"1,100"
15/10/2024,,,,,-,-,0
14/10/2024,,,,,-,-,0
11/10/2024,"2,500","2,500","2,200","2,200",-,-,"1,300"
09/10/2024,,,,,-,-,0
08/10/2024,,,,,-,-,0
07/10/2024,,,,,-,-,0
04/10/2024,,,,,-,-,0
30/09/2024,,,,,-,-,0
