Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"37,900","37,900","37,400","37,600",-350,-0.92%,"1,247,000"
20/11/2025,"38,200","38,200","37,900","37,950",-150,-0.39%,"1,467,900"
19/11/2025,"38,300","38,450","38,100","38,100",-300,-0.78%,"1,302,400"
18/11/2025,"38,500","38,500","38,250","38,400",-,-,"1,451,400"
17/11/2025,"38,350","38,550","38,300","38,400",+50,0.13%,"1,422,700"
14/11/2025,"38,200","38,500","38,200","38,350",+50,0.13%,"2,234,600"
13/11/2025,"38,250","38,450","38,000","38,300",+50,0.13%,"1,942,700"
12/11/2025,"38,200","38,400","37,800","38,250",+250,0.66%,"2,029,800"
11/11/2025,"37,600","38,150","37,600","38,000",+600,1.60%,"2,393,800"
10/11/2025,"37,500","38,000","37,300","37,400",-100,-0.27%,"2,337,400"
07/11/2025,"38,350","38,650","37,450","37,500","-1,000",-2.60%,"3,220,900"
06/11/2025,"38,700","38,900","38,350","38,500",-150,-0.39%,"2,392,700"
05/11/2025,"37,600","38,800","37,600","38,650",+750,1.98%,"3,945,700"
04/11/2025,"37,100","38,000","36,900","37,900",+800,2.16%,"3,482,600"
03/11/2025,"37,600","37,800","37,100","37,100",-300,-0.80%,"2,453,800"
31/10/2025,"38,000","38,000","37,400","37,400",-500,-1.32%,"2,380,000"
30/10/2025,"37,950","38,250","37,600","37,900",+100,0.26%,"2,599,600"
29/10/2025,"37,500","37,900","37,300","37,800",+700,1.89%,"3,204,200"
28/10/2025,"36,600","37,150","36,600","37,100",+600,1.64%,"2,793,500"
27/10/2025,"36,950","37,200","36,500","36,500",-400,-1.08%,"2,062,600"
24/10/2025,"37,000","37,100","36,200","36,900",-,-,"3,489,900"
23/10/2025,"37,000","37,450","36,850","36,900",-300,-0.81%,"2,708,600"
22/10/2025,"37,500","37,500","36,500","37,200",+150,0.40%,"3,971,100"
21/10/2025,"36,550","37,500","36,550","37,050",+550,1.51%,"4,500,300"
20/10/2025,"38,950","39,050","36,500","36,500","-2,550",-6.53%,"7,393,700"
17/10/2025,"39,750","39,800","39,050","39,050",-700,-1.76%,"4,176,200"
16/10/2025,"39,350","39,750","39,200","39,750",+400,1.02%,"3,801,100"
15/10/2025,"39,700","40,150","39,350","39,350",-250,-0.63%,"4,329,400"
14/10/2025,"40,600","40,750","39,600","39,600",-850,-2.10%,"7,724,500"
13/10/2025,"40,548","40,697","40,301","40,449",-300,-0.73%,"4,558,600"
,,,,,,,
10/10/2025,"40,449","41,043","40,449","40,746",+400,0.98%,"6,794,000"
09/10/2025,"40,103","40,499","39,955","40,351",+350,0.87%,"4,346,900"
08/10/2025,"40,449","40,449","39,807","40,004",-50,-0.12%,"4,602,600"
07/10/2025,"40,548","40,548","40,004","40,054",-250,-0.61%,"2,418,400"
06/10/2025,"39,856","40,449","39,609","40,301",+950,2.39%,"3,058,100"
03/10/2025,"39,559","39,708","39,362","39,362",-300,-0.75%,"2,515,700"
02/10/2025,"39,708","40,252","39,559","39,658",+50,0.12%,"2,995,400"
01/10/2025,"39,559","40,202","39,362","39,609",+50,0.12%,"2,219,300"
30/09/2025,"39,757","40,103","39,164","39,559",-300,-0.74%,"3,683,900"
29/09/2025,"39,807","40,103","39,658","39,856",-250,-0.62%,"2,110,500"
26/09/2025,"40,351","40,697","40,103","40,103",-350,-0.86%,"2,295,100"
25/09/2025,"40,697","40,697","40,351","40,449",-300,-0.73%,"2,009,200"
24/09/2025,"40,400","40,746","39,757","40,746",+350,0.86%,"4,714,500"
23/09/2025,"40,252","40,449","40,054","40,400",-150,-0.37%,"3,466,500"
22/09/2025,"39,757","40,548","39,164","40,548","+1,200",3.02%,"7,994,300"
19/09/2025,"40,647","40,746","39,362","39,362","-1,000",-2.45%,"6,161,400"
18/09/2025,"40,548","40,993","40,103","40,351",-200,-0.49%,"4,684,500"
17/09/2025,"41,537","41,933","40,548","40,548","-1,050",-2.50%,"3,700,300"
16/09/2025,"42,032","42,230","41,537","41,587",-150,-0.36%,"7,340,200"
15/09/2025,"40,598","41,735","40,598","41,735","+1,250",3.05%,"7,330,300"
12/09/2025,"40,351","40,796","40,351","40,499",+300,0.74%,"3,319,500"
11/09/2025,"40,351","40,351","39,411","40,202",-50,-0.12%,"5,782,600"
10/09/2025,"40,252","40,895","40,103","40,252",+50,0.12%,"5,472,700"
09/09/2025,"40,202","40,548","39,906","40,202",-,-,"4,248,700"
08/09/2025,"41,241","41,389","40,202","40,202","-1,300",-3.10%,"9,074,900"
05/09/2025,"43,120","43,120","41,488","41,488","-1,450",-3.34%,"13,561,000"
