Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"48,600","49,200","48,300","49,100",-,-,"6,520,900"
20/11/2025,"49,300","49,300","48,650","49,100",-250,-0.51%,"4,543,200"
19/11/2025,"49,400","49,400","48,750","49,350",-50,-0.10%,"5,019,700"
18/11/2025,"48,900","49,550","48,850","49,400",+550,1.13%,"5,458,400"
17/11/2025,"48,750","48,950","48,350","48,850",+300,0.62%,"5,014,800"
14/11/2025,"48,500","48,600","48,050","48,550",-300,-0.61%,"6,523,600"
13/11/2025,"49,150","49,150","48,400","48,850",-350,-0.71%,"5,628,500"
12/11/2025,"48,500","49,500","48,100","49,200",+700,1.44%,"6,635,000"
11/11/2025,"48,150","48,500","47,000","48,500",+500,1.04%,"8,811,100"
10/11/2025,"48,700","49,000","47,650","48,000","-1,000",-2.04%,"7,671,700"
07/11/2025,"50,500","51,200","48,450","49,000","-2,100",-4.11%,"13,056,800"
06/11/2025,"51,200","51,200","50,100","51,100",-200,-0.39%,"7,255,500"
05/11/2025,"49,800","51,600","49,500","51,300","+1,350",2.70%,"10,623,400"
04/11/2025,"48,250","50,000","47,850","49,950","+1,450",2.99%,"7,379,300"
03/11/2025,"49,300","49,600","48,500","48,500",-500,-1.02%,"5,620,800"
31/10/2025,"49,850","50,500","49,000","49,000",-200,-0.41%,"8,858,400"
30/10/2025,"49,800","49,850","49,100","49,200",-450,-0.91%,"4,840,500"
29/10/2025,"49,200","50,300","49,050","49,650",+650,1.33%,"6,411,600"
28/10/2025,"48,550","49,000","47,750","49,000",+400,0.82%,"6,253,500"
27/10/2025,"49,800","49,850","48,600","48,600","-1,200",-2.41%,"5,362,100"
24/10/2025,"49,350","49,900","48,000","49,800",+100,0.20%,"11,649,500"
23/10/2025,"50,000","50,400","49,600","49,700",-800,-1.58%,"8,497,000"
22/10/2025,"50,500","50,500","48,500","50,500",+550,1.10%,"11,664,700"
21/10/2025,"49,000","50,400","48,900","49,950","+1,050",2.15%,"13,428,900"
20/10/2025,"52,800","53,400","48,800","48,900","-3,300",-6.32%,"25,108,500"
17/10/2025,"53,700","54,200","52,200","52,200","-1,600",-2.97%,"17,820,200"
16/10/2025,"54,900","55,000","53,500","53,800","-1,000",-1.82%,"10,973,700"
15/10/2025,"54,500","55,200","54,100","54,800",+400,0.74%,"8,091,900"
14/10/2025,"55,900","55,900","54,400","54,400","-1,200",-2.16%,"13,689,600"
13/10/2025,"54,260","55,847","54,161","55,549",+800,1.45%,"13,279,600"
,,,,,,,
10/10/2025,"55,252","56,045","54,458","54,756",+200,0.36%,"13,574,400"
09/10/2025,"52,474","54,558","52,177","54,558","+2,100",3.97%,"23,979,800"
08/10/2025,"51,780","52,970","51,582","52,474","+1,300",2.52%,"12,086,900"
07/10/2025,"52,375","52,375","51,185","51,185",-800,-1.53%,"7,660,100"
06/10/2025,"50,887","52,276","50,590","51,978","+1,600",3.15%,"9,679,400"
03/10/2025,"50,887","50,986","49,895","50,391",-700,-1.36%,"7,630,900"
02/10/2025,"51,383","51,978","50,788","51,086",-,-,"8,530,200"
01/10/2025,"50,590","51,482","49,994","51,086",+700,1.38%,"7,803,100"
30/09/2025,"50,391","50,590","49,598","50,391",-200,-0.39%,"6,642,300"
29/09/2025,"50,292","50,788","49,994","50,590",+300,0.59%,"4,416,900"
26/09/2025,"49,895","51,185","49,548","50,292",+400,0.80%,"10,397,000"
25/09/2025,"50,094","50,391","49,697","49,895",-200,-0.40%,"4,716,600"
24/09/2025,"49,300","50,094","48,903","50,094",+500,1.00%,"5,260,700"
23/09/2025,"49,102","49,598","49,003","49,598",+700,1.42%,"4,323,500"
22/09/2025,"50,292","50,490","48,655","48,903","-1,900",-3.71%,"11,784,200"
19/09/2025,"50,689","50,986","49,895","50,788",-,-,"8,158,800"
18/09/2025,"51,086","51,185","50,193","50,788",-200,-0.39%,"8,307,900"
17/09/2025,"52,078","52,078","50,986","50,986","-1,100",-2.10%,"7,878,000"
16/09/2025,"51,582","52,673","51,383","52,078",+900,1.74%,"18,832,800"
15/09/2025,"50,193","51,185","49,548","51,185","+1,200",2.38%,"12,899,800"
12/09/2025,"50,292","50,986","49,994","49,994",-200,-0.40%,"8,156,000"
11/09/2025,"49,796","50,193","48,457","50,193",+100,0.20%,"6,966,500"
10/09/2025,"49,201","50,986","49,201","50,094",+900,1.81%,"12,058,700"
09/09/2025,"49,102","49,399","48,457","49,201",+100,0.20%,"7,640,900"
08/09/2025,"49,598","49,697","48,655","49,102",-800,-1.59%,"14,834,400"
05/09/2025,"50,788","51,185","49,895","49,895",-700,-1.37%,"11,266,800"
04/09/2025,"50,193","51,383","49,994","50,590",+400,0.79%,"9,145,200"
03/09/2025,"50,689","50,788","49,994","50,193",-700,-1.36%,"10,235,900"
29/08/2025,"51,482","51,482","50,490","50,887",-300,-0.58%,"12,327,700"
28/08/2025,"50,788","51,383","49,994","51,185",+500,0.98%,"11,396,700"
,,,,,,,
27/08/2025,"51,582","52,772","50,391","50,689",-100,-0.20%,"18,567,600"
26/08/2025,"48,159","50,788","48,110","50,788","+2,100",4.28%,"10,162,500"
25/08/2025,"51,086","51,185","48,407","48,705","-1,800",-3.54%,"15,832,700"
22/08/2025,"51,086","52,970","49,499","50,490",-900,-1.74%,"24,410,800"
21/08/2025,"50,887","52,276","50,590","51,383","+1,200",2.37%,"17,887,200"
20/08/2025,"49,251","51,582","48,705","50,193","+1,000",2.02%,"15,990,000"
19/08/2025,"48,507","49,399","48,457","49,201","+1,100",2.27%,"11,749,300"
18/08/2025,"48,655","49,003","47,812","48,110",-500,-1.02%,"12,702,300"
15/08/2025,"50,391","50,490","48,407","48,606","-1,200",-2.39%,"15,853,500"
14/08/2025,"49,796","50,689","49,201","49,796",+600,1.21%,"18,777,000"
13/08/2025,"47,713","49,201","46,771","49,201","+1,600",3.33%,"17,933,600"
12/08/2025,"47,118","48,060","46,622","47,614",+500,1.05%,"14,447,400"
11/08/2025,"47,415","47,465","46,771","47,118",-200,-0.42%,"9,037,900"
08/08/2025,"47,564","47,614","46,423","47,316",-150,-0.31%,"12,538,000"
07/08/2025,"47,614","47,614","46,572","47,465",+350,0.74%,"9,351,600"
06/08/2025,"46,820","47,366","46,175","47,118","+1,000",2.15%,"10,501,100"
05/08/2025,"45,580","48,358","45,233","46,126",+850,1.86%,"24,346,700"
04/08/2025,"43,646","45,382","43,249","45,283","+1,350",3.05%,"9,917,000"
01/08/2025,"45,630","45,630","43,795","43,944","-1,600",-3.49%,"16,339,400"
31/07/2025,"47,118","47,118","44,687","45,531",-300,-0.65%,"20,410,700"
30/07/2025,"43,646","46,473","43,497","45,828","+2,400",5.48%,"22,513,200"
29/07/2025,"45,431","45,679","43,448","43,448","-1,800",-3.95%,"14,822,900"
28/07/2025,"45,134","45,630","45,035","45,233",-,-,"11,052,000"
25/07/2025,"45,431","45,828","45,084","45,233",-100,-0.22%,"6,007,900"
24/07/2025,"45,283","45,580","44,836","45,332",+50,0.11%,"5,115,900"
23/07/2025,"45,332","45,481","44,439","45,283",+50,0.11%,"6,424,800"
22/07/2025,"44,836","45,233","44,340","45,233",+400,0.88%,"4,912,800"
21/07/2025,"45,233","45,382","44,340","44,836",+150,0.33%,"6,648,900"
18/07/2025,"44,638","45,183","44,192","44,687",+50,0.11%,"8,336,000"
17/07/2025,"44,539","44,787","44,241","44,638",+50,0.11%,"7,610,100"
,,,,,,,
16/07/2025,"43,795","44,588","43,547","44,588",+800,1.81%,"2,865,200"
15/07/2025,"43,944","44,489","43,745","43,795",-150,-0.34%,"7,356,000"
14/07/2025,"44,142","44,192","43,348","43,944",-300,-0.67%,"12,187,300"
11/07/2025,"44,588","44,588","44,192","44,241",-400,-0.89%,"5,825,700"
10/07/2025,"44,539","44,638","43,944","44,638",-,-,"6,592,000"
09/07/2025,"44,043","44,836","43,944","44,638",+600,1.35%,"7,957,100"
08/07/2025,"44,142","44,241","43,696","44,043",-,-,"5,127,800"
07/07/2025,"42,654","44,043","42,604","44,043","+1,700",3.98%,"12,486,400"
04/07/2025,"42,356","42,456","41,860","42,356",+200,0.47%,"5,522,100"
03/07/2025,"41,513","42,406","41,464","42,158",+600,1.43%,"10,792,700"
02/07/2025,"41,513","41,761","41,464","41,563",-,-,"4,322,400"
01/07/2025,"41,364","41,662","41,216","41,563",-,-,"4,151,100"
30/06/2025,"41,662","41,662","41,216","41,563",-50,-0.12%,"6,484,500"
27/06/2025,"41,662","41,811","41,216","41,612",+50,0.12%,"5,976,500"
26/06/2025,"41,464","41,563","40,968","41,563",+200,0.48%,"6,109,700"
25/06/2025,"41,364","41,662","41,166","41,364",+150,0.36%,"8,648,000"
24/06/2025,"41,216","41,464","41,017","41,216",+200,0.48%,"9,883,700"
23/06/2025,"40,620","41,017","40,224","41,017",+50,0.12%,"5,115,700"
20/06/2025,"40,472","41,464","40,323","40,968",+600,1.47%,"12,520,200"
19/06/2025,"39,876","40,720","39,728","40,372",+550,1.37%,"10,199,000"
18/06/2025,"39,876","40,075","39,628","39,827",-200,-0.50%,"5,675,200"
17/06/2025,"40,124","40,124","39,480","40,025",+50,0.12%,"7,934,100"
16/06/2025,"39,628","39,976","39,579","39,976",+400,1.00%,"6,157,700"
13/06/2025,"38,091","40,422","37,843","39,579","+1,400",3.64%,"23,931,500"
12/06/2025,"37,744","38,240","37,595","38,190",+500,1.32%,"8,313,800"
11/06/2025,"37,694","37,694","37,248","37,694",+150,0.40%,"6,303,400"
10/06/2025,"37,694","37,893","37,545","37,545",-150,-0.39%,"4,718,300"
09/06/2025,"37,893","37,942","37,595","37,694",-200,-0.52%,"3,549,900"
06/06/2025,"38,141","38,141","37,744","37,893",-350,-0.91%,"3,538,900"
05/06/2025,"38,190","38,438","37,694","38,240",+50,0.13%,"4,395,000"
,,,,,,,
04/06/2025,"38,389","38,587","38,141","38,190",-50,-0.13%,"4,226,400"
03/06/2025,"38,339","38,438","38,091","38,240",+150,0.39%,"4,358,200"
02/06/2025,"37,942","38,339","37,645","38,091",+100,0.26%,"4,483,100"
30/05/2025,"38,835","38,835","37,893","37,992",-600,-1.54%,"7,743,600"
29/05/2025,"39,132","39,182","38,587","38,587",-650,-1.64%,"7,519,200"
28/05/2025,"39,380","39,430","38,785","39,232",-50,-0.13%,"5,643,900"
27/05/2025,"38,934","39,281","38,686","39,281",+350,0.89%,"7,823,400"
26/05/2025,"38,438","38,934","37,694","38,934",+450,1.16%,"7,670,300"
23/05/2025,"38,537","38,686","38,289","38,488",-50,-0.13%,"4,410,900"
22/05/2025,"39,033","39,182","38,339","38,537",-600,-1.52%,"7,124,000"
21/05/2025,"38,984","40,075","38,984","39,132",-50,-0.13%,"8,709,000"
20/05/2025,"38,389","39,182","38,389","39,182",+400,1.02%,"6,678,100"
19/05/2025,"38,438","38,884","38,240","38,785",+100,0.26%,"7,329,400"
16/05/2025,"39,480","39,480","38,686","38,686",-750,-1.89%,"6,642,600"
15/05/2025,"39,281","39,827","38,934","39,430",+150,0.38%,"9,871,500"
14/05/2025,"39,132","39,281","38,785","39,281",+200,0.51%,"9,362,800"
13/05/2025,"37,793","39,083","37,793","39,083","+1,550",4.10%,"15,839,400"
12/05/2025,"37,198","37,645","37,149","37,545",+400,1.07%,"9,059,900"
09/05/2025,"37,347","37,496","37,099","37,149",-100,-0.27%,"6,335,100"
08/05/2025,"37,099","37,297","36,901","37,248",+100,0.27%,"8,034,300"
07/05/2025,"37,198","37,248","36,851","37,149",-150,-0.40%,"6,368,600"
06/05/2025,"37,049","37,545","36,901","37,297",+250,0.67%,"7,279,200"
05/05/2025,"37,000","37,198","36,752","37,049",+150,0.40%,"3,862,800"
29/04/2025,"36,454","36,901","36,405","36,901",+350,0.95%,"4,956,700"
28/04/2025,"36,950","36,950","36,405","36,553",-300,-0.81%,"5,216,100"
25/04/2025,"36,901","37,198","36,752","36,851",-250,-0.67%,"6,488,300"
24/04/2025,"37,149","37,149","36,553","37,099",+100,0.27%,"6,855,100"
23/04/2025,"37,099","37,347","36,702","37,000",+200,0.54%,"6,755,500"
22/04/2025,"36,603","36,851","34,371","36,801",-150,-0.40%,"15,198,300"
21/04/2025,"37,248","37,545","36,405","36,950",-200,-0.53%,"11,108,700"
,,,,,,,
18/04/2025,"37,545","37,744","37,149","37,149",+200,0.54%,"8,644,000"
17/04/2025,"36,702","37,049","36,355","36,950",+50,0.13%,"9,773,900"
16/04/2025,"37,446","37,793","36,901","36,901",-550,-1.46%,"6,695,500"
15/04/2025,"37,496","37,694","36,901","37,446",-550,-1.44%,"10,253,700"
14/04/2025,"38,289","38,289","37,545","37,992",-100,-0.26%,"9,975,357"
11/04/2025,"36,702","38,190","36,256","38,091","+2,250",6.22%,"20,246,200"
10/04/2025,"35,859","35,859","35,859","35,859","+2,350",6.95%,"2,907,100"
09/04/2025,"33,528","36,702","33,528","33,528","-2,200",-6.11%,"17,505,900"
08/04/2025,"35,809","37,893","35,710","35,710","-2,700",-6.98%,"19,507,400"
04/04/2025,"36,057","38,389","36,057","38,389",-350,-0.90%,"17,713,000"
03/04/2025,"40,372","40,372","38,736","38,736","-2,900",-6.91%,"19,949,700"
02/04/2025,"41,612","41,960","41,364","41,612",+100,0.24%,"5,595,900"
01/04/2025,"41,315","41,513","40,720","41,513",+400,0.97%,"4,851,500"
31/03/2025,"40,868","41,116","40,571","41,116",+100,0.24%,"4,639,700"
28/03/2025,"41,166","41,216","40,819","41,017",-250,-0.60%,"4,235,000"
27/03/2025,"41,067","41,414","40,918","41,265",-150,-0.36%,"3,528,800"
26/03/2025,"41,910","42,108","41,265","41,414",-550,-1.30%,"6,183,500"
25/03/2025,"41,612","41,960","41,364","41,960",+500,1.20%,"5,056,300"
24/03/2025,"41,067","41,464","40,769","41,464",+150,0.36%,"7,565,700"
21/03/2025,"41,265","41,315","40,720","41,315",+50,0.12%,"7,381,100"
20/03/2025,"41,216","41,464","40,670","41,265",+50,0.12%,"8,924,000"
19/03/2025,"41,563","41,662","41,067","41,216",-450,-1.07%,"8,688,600"
18/03/2025,"42,555","42,555","41,612","41,662",-600,-1.41%,"5,520,700"
17/03/2025,"41,960","42,257","41,860","42,257",+300,0.71%,"3,479,900"
14/03/2025,"41,712","41,960","41,464","41,960",-,-,"7,901,700"
13/03/2025,"42,356","42,356","41,811","41,960",-350,-0.82%,"7,934,900"
12/03/2025,"42,456","42,952","41,960","42,307",+50,0.12%,"9,464,500"
11/03/2025,"41,662","42,257","41,464","42,257",+150,0.35%,"6,963,500"
10/03/2025,"42,356","42,356","41,761","42,108",+50,0.12%,"11,977,000"
07/03/2025,"41,364","42,059","41,315","42,059",+750,1.80%,"10,878,900"
,,,,,,,
06/03/2025,"41,067","41,414","40,868","41,315",+450,1.09%,"5,753,200"
05/03/2025,"41,265","41,910","40,819","40,868",-400,-0.96%,"7,812,100"
04/03/2025,"40,670","41,464","40,472","41,265",+350,0.85%,"7,443,800"
03/03/2025,"40,868","40,918","40,521","40,918",-250,-0.60%,"7,694,500"
28/02/2025,"40,968","41,265","40,670","41,166",-,-,"5,643,300"
27/02/2025,"40,918","41,216","40,521","41,166",+150,0.36%,"6,099,700"
26/02/2025,"41,464","41,464","40,769","41,017",-500,-1.19%,"9,544,900"
25/02/2025,"41,612","41,761","41,067","41,513",-50,-0.12%,"5,778,900"
24/02/2025,"41,166","41,612","41,017","41,563",+400,0.96%,"7,279,700"
21/02/2025,"40,521","41,166","40,174","41,166",+650,1.59%,"7,730,600"
20/02/2025,"40,720","40,720","40,124","40,521",+350,0.86%,"5,379,200"
19/02/2025,"40,224","40,620","40,124","40,174",+200,0.50%,"6,156,000"
18/02/2025,"39,827","40,670","39,728","39,976",+150,0.37%,"6,653,300"
17/02/2025,"40,174","40,323","39,827","39,827",-400,-0.99%,"7,166,100"
14/02/2025,"40,670","41,017","40,174","40,224",-300,-0.73%,"5,740,600"
13/02/2025,"39,976","40,968","39,976","40,521",+350,0.86%,"6,965,200"
12/02/2025,"40,372","40,472","40,075","40,174",-200,-0.49%,"4,949,000"
11/02/2025,"40,025","40,571","39,827","40,372",+400,0.99%,"8,428,400"
10/02/2025,"40,472","40,769","39,728","39,976",-500,-1.23%,"9,649,800"
07/02/2025,"39,182","40,868","38,934","40,472","+1,300",3.29%,"14,993,700"
06/02/2025,"39,083","39,529","38,884","39,182",+150,0.38%,"6,641,700"
05/02/2025,"39,331","39,380","38,785","39,033",-50,-0.13%,"6,706,000"
04/02/2025,"37,942","39,430","37,744","39,083","+1,350",3.55%,"14,798,400"
03/02/2025,"37,942","38,289","37,496","37,744",+50,0.13%,"8,367,900"
24/01/2025,"37,793","37,843","37,446","37,694",-100,-0.26%,"5,067,600"
23/01/2025,"37,099","37,893","37,000","37,793",+800,2.14%,"7,625,800"
22/01/2025,"37,297","37,297","36,950","37,000",-,-,"4,589,700"
21/01/2025,"37,149","37,496","36,752","37,000",-,-,"5,599,600"
20/01/2025,"36,950","37,397","36,851","37,000",+100,0.27%,"4,492,000"
17/01/2025,"36,504","36,901","36,305","36,901",+400,1.09%,"3,990,300"
,,,,,,,
16/01/2025,"36,553","36,901","36,107","36,504",+50,0.14%,"6,733,100"
15/01/2025,"36,702","36,801","36,305","36,454",-200,-0.54%,"5,422,700"
14/01/2025,"37,149","37,595","36,603","36,653",-750,-1.99%,"4,456,700"
13/01/2025,"36,901","37,397","35,909","37,397",+200,0.53%,"9,511,500"
10/01/2025,"37,099","37,893","36,901","37,198",+100,0.27%,"7,501,000"
09/01/2025,"37,496","37,595","36,950","37,099",-400,-1.06%,"4,290,700"
08/01/2025,"37,099","37,595","36,950","37,496",+350,0.93%,"3,834,700"
07/01/2025,"37,198","37,694","36,851","37,149",+250,0.67%,"6,401,400"
06/01/2025,"36,950","37,347","36,752","36,901",-,-,"6,045,300"
03/01/2025,"37,496","37,694","36,901","36,901",-900,-2.36%,"10,418,500"
02/01/2025,"37,694","37,992","37,297","37,793",+300,0.79%,"5,742,600"
31/12/2024,"38,289","38,389","37,496","37,496","-1,100",-2.83%,"6,043,700"
30/12/2024,"38,190","38,587","38,041","38,587",+100,0.26%,"7,280,600"
27/12/2024,"38,041","38,488","37,694","38,488",+600,1.57%,"9,539,300"
26/12/2024,"38,091","38,091","37,694","37,893",-,-,"4,917,100"
25/12/2024,"35,909","38,389","35,909","37,893","+2,000",5.52%,"25,284,700"
24/12/2024,"35,809","35,909","35,611","35,909",-50,-0.14%,"2,941,100"
23/12/2024,"35,909","36,008","35,809","35,958",+100,0.28%,"3,121,200"
20/12/2024,"35,710","35,859","35,413","35,859",-50,-0.14%,"3,508,200"
19/12/2024,"35,561","35,909","35,313","35,909",-50,-0.14%,"6,363,500"
18/12/2024,"35,909","36,107","35,512","35,958",-,-,"2,953,300"
17/12/2024,"35,958","36,057","35,760","35,958",-,-,"3,543,900"
16/12/2024,"36,057","36,405","35,909","35,958",-100,-0.28%,"2,886,500"
13/12/2024,"35,859","36,206","35,809","36,057",+50,0.14%,"4,294,300"
12/12/2024,"36,107","36,504","35,909","36,008",-50,-0.14%,"5,030,500"
11/12/2024,"36,008","36,305","35,909","36,057",-,-,"4,504,000"
10/12/2024,"36,157","36,206","35,809","36,057",-100,-0.27%,"3,313,400"
09/12/2024,"35,859","36,206","35,760","36,157",+200,0.55%,"4,462,500"
06/12/2024,"36,206","36,355","35,958","35,958",-150,-0.41%,"5,625,800"
05/12/2024,"35,016","36,206","34,768","36,107","+1,100",3.12%,"10,529,100"
,,,,,,,
04/12/2024,"35,313","35,413","35,016","35,016",-600,-1.67%,"4,137,800"
03/12/2024,"35,661","35,661","35,165","35,611",+50,0.14%,"5,440,900"
02/12/2024,"35,611","35,710","35,413","35,561",+100,0.28%,"4,468,300"
29/11/2024,"35,214","35,561","34,966","35,462",+350,0.99%,"5,276,400"
28/11/2024,"35,016","35,115","34,669","35,115",+250,0.71%,"3,289,800"
27/11/2024,"34,817","35,016","34,669","34,867",-150,-0.42%,"2,895,100"
26/11/2024,"34,718","35,065","34,619","35,016",+200,0.57%,"4,538,800"
25/11/2024,"34,669","34,817","34,421","34,817",+100,0.29%,"3,988,000"
22/11/2024,"34,619","34,917","34,421","34,718",-,-,"6,275,600"
21/11/2024,"33,726","34,718","33,329","34,718","+1,000",2.94%,"7,924,300"
20/11/2024,"32,784","33,726","32,784","33,726",+650,1.95%,"6,588,000"
19/11/2024,"33,230","33,329","32,734","33,082",+50,0.15%,"6,320,700"
18/11/2024,"32,834","33,379","32,437","33,032",+200,0.60%,"4,107,900"
15/11/2024,"33,329","33,329","32,536","32,834",-500,-1.49%,"8,427,400"
14/11/2024,"34,024","34,024","33,329","33,329",-750,-2.18%,"5,327,200"
13/11/2024,"34,173","34,222","33,677","34,073",-150,-0.43%,"4,503,900"
12/11/2024,"34,520","34,569","33,925","34,222",-450,-1.29%,"4,399,200"
11/11/2024,"34,718","34,718","33,577","34,669",-50,-0.14%,"16,746,500"
08/11/2024,"35,413","35,710","34,520","34,718",-600,-1.69%,"5,010,300"
07/11/2024,"35,611","35,859","35,313","35,313",-300,-0.84%,"4,522,400"
06/11/2024,"34,917","35,611","34,817","35,611",+850,2.43%,"3,637,500"
05/11/2024,"35,214","35,413","34,768","34,768",-650,-1.82%,"5,153,100"
04/11/2024,"35,264","35,661","35,065","35,413",+100,0.28%,"5,341,600"
01/11/2024,"35,264","35,661","35,214","35,313",-100,-0.28%,"8,047,200"
31/10/2024,"34,619","35,462","34,520","35,413",+950,2.73%,"9,494,500"
30/10/2024,"34,619","34,718","34,222","34,470",-200,-0.57%,"2,666,400"
29/10/2024,"34,421","34,669","34,421","34,669",+250,0.72%,"2,984,000"
28/10/2024,"34,371","34,520","34,272","34,421",+100,0.29%,"2,328,100"
25/10/2024,"34,470","34,520","34,222","34,321",-250,-0.72%,"4,542,300"
24/10/2024,"34,718","34,867","33,776","34,569",-200,-0.57%,"6,445,900"
,,,,,,,
23/10/2024,"34,718","34,867","34,470","34,768",+50,0.14%,"4,520,500"
22/10/2024,"35,214","35,363","34,520","34,718",-500,-1.41%,"9,519,000"
21/10/2024,"35,809","36,057","35,214","35,214",-750,-2.07%,"8,242,100"
18/10/2024,"36,504","36,603","35,958","35,958",-300,-0.82%,"7,054,400"
17/10/2024,"36,206","36,256","35,760","36,256",+250,0.69%,"6,200,700"
16/10/2024,"35,809","36,157","35,611","36,008",+150,0.41%,"4,058,300"
15/10/2024,"35,958","36,504","35,809","35,859",+100,0.28%,"10,587,200"
14/10/2024,"36,107","36,157","35,760","35,760",-200,-0.55%,"4,210,500"
11/10/2024,"35,958","36,008","35,512","35,958",+100,0.28%,"4,282,800"
10/10/2024,"36,157","36,355","35,760","35,859",+50,0.14%,"6,295,000"
09/10/2024,"35,512","36,305","35,413","35,809",+350,0.98%,"9,484,500"
08/10/2024,"35,512","35,859","35,264","35,462",-50,-0.14%,"6,682,700"
07/10/2024,"35,611","35,661","35,214","35,512",+200,0.56%,"5,298,700"
04/10/2024,"35,859","35,859","35,313","35,313",-600,-1.66%,"8,545,600"
03/10/2024,"35,710","36,454","35,611","35,909",+200,0.56%,"9,111,600"
02/10/2024,"35,859","36,157","35,661","35,710",-500,-1.37%,"11,271,900"
01/10/2024,"36,653","36,801","36,057","36,206",-450,-1.22%,"12,335,100"
30/09/2024,"36,603","36,901","36,355","36,653",-50,-0.14%,"4,899,975"
27/09/2024,"36,157","37,248","36,157","36,702",+600,1.65%,"15,727,800"
26/09/2024,"35,710","36,157","35,165","36,107",+400,1.11%,"22,853,200"
25/09/2024,"36,206","36,305","35,710","35,710",-50,-0.14%,"9,907,800"
24/09/2024,"35,611","35,909","35,363","35,760",+150,0.42%,"5,629,400"
23/09/2024,"35,661","36,008","35,363","35,611",-100,-0.28%,"5,629,200"
20/09/2024,"35,760","36,355","35,661","35,710",-,-,"13,229,300"
19/09/2024,"35,462","35,909","35,313","35,710",+300,0.84%,"5,945,500"
18/09/2024,"34,669","36,008","34,520","35,413",+750,2.15%,"17,630,600"
17/09/2024,"34,272","34,669","34,073","34,669",+300,0.87%,"5,340,100"
16/09/2024,"34,669","34,669","34,222","34,371",-250,-0.72%,"6,040,800"
