Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"98,000","101,200","97,800","100,800","+1,800",1.82%,"7,936,900"
20/11/2025,"98,600","99,700","98,100","99,000","+1,000",1.02%,"4,593,100"
19/11/2025,"99,500","99,500","98,000","98,000","-2,000",-2.00%,"5,169,300"
18/11/2025,"101,000","101,100","98,800","100,000","-1,000",-0.99%,"6,500,100"
17/11/2025,"100,600","101,800","100,600","101,000","+1,000",1.00%,"5,585,100"
14/11/2025,"98,900","100,900","98,200","100,000","+1,100",1.11%,"4,699,900"
13/11/2025,"100,600","100,700","98,700","98,900","-1,700",-1.69%,"4,757,400"
12/11/2025,"96,500","100,600","96,500","100,600","+4,500",4.68%,"6,635,300"
11/11/2025,"96,800","97,900","96,100","96,100",-100,-0.10%,"6,624,200"
10/11/2025,"101,200","101,200","96,200","96,200","-4,800",-4.75%,"10,072,600"
07/11/2025,"99,500","101,800","99,500","101,000",+800,0.80%,"5,863,600"
06/11/2025,"100,900","102,000","99,400","100,200",-700,-0.69%,"6,751,800"
05/11/2025,"101,800","102,000","99,600","100,900","-2,400",-2.32%,"11,741,500"
04/11/2025,"104,100","104,700","101,700","103,300","-1,700",-1.62%,"10,620,700"
03/11/2025,"103,800","106,300","103,500","105,000","+1,100",1.06%,"20,963,600"
31/10/2025,"102,600","103,900","101,000","103,900","+1,200",1.17%,"14,827,100"
30/10/2025,"102,100","103,500","101,600","102,700","+1,000",0.98%,"9,730,600"
29/10/2025,"102,400","103,200","101,100","101,700",-500,-0.49%,"9,302,800"
28/10/2025,"98,600","102,200","98,600","102,200","+4,200",4.29%,"20,912,700"
27/10/2025,"99,000","99,700","96,300","98,000",+300,0.31%,"12,897,800"
24/10/2025,"95,000","97,700","94,700","97,700","+2,700",2.84%,"13,759,100"
23/10/2025,"97,200","97,300","94,000","95,000","-2,000",-2.06%,"6,647,600"
22/10/2025,"95,200","99,000","95,000","97,000","+4,000",4.30%,"18,311,100"
21/10/2025,"89,000","93,000","88,500","93,000","+6,000",6.90%,"19,520,200"
20/10/2025,"88,300","91,800","87,000","87,000","-1,100",-1.25%,"14,580,300"
17/10/2025,"90,100","91,500","88,100","88,100","-1,700",-1.89%,"8,374,400"
16/10/2025,"89,800","91,500","89,600","89,800",+200,0.22%,"7,928,500"
15/10/2025,"92,600","93,100","89,500","89,600","-2,800",-3.03%,"18,738,600"
14/10/2025,"94,100","94,500","92,400","92,400","-1,600",-1.70%,"12,659,600"
13/10/2025,"94,900","94,900","93,700","94,000","-2,100",-2.19%,"7,915,000"
,,,,,,,
10/10/2025,"94,200","96,500","93,800","96,100","+1,900",2.02%,"8,587,700"
09/10/2025,"95,000","95,000","93,500","94,200",-300,-0.32%,"5,716,300"
08/10/2025,"95,500","96,900","94,500","94,500","-1,000",-1.05%,"5,132,100"
07/10/2025,"96,000","96,300","95,200","95,500",-,-,"5,997,500"
06/10/2025,"94,300","95,900","93,500","95,500","+2,100",2.25%,"6,580,000"
03/10/2025,"92,200","94,000","92,100","93,400","+1,300",1.41%,"7,681,300"
02/10/2025,"92,900","93,400","92,000","92,100","-1,300",-1.39%,"7,933,800"
01/10/2025,"93,200","94,500","91,400","93,400",+400,0.43%,"7,405,100"
30/09/2025,"95,500","95,800","92,800","93,000","-2,500",-2.62%,"12,018,800"
29/09/2025,"97,800","97,800","95,500","95,500","-2,000",-2.05%,"10,430,900"
26/09/2025,"98,200","99,300","97,400","97,500",-500,-0.51%,"8,080,800"
25/09/2025,"99,500","99,500","97,900","98,000","-1,500",-1.51%,"8,627,700"
24/09/2025,"98,100","99,500","97,400","99,500","+1,500",1.53%,"7,421,100"
23/09/2025,"100,000","100,000","97,500","98,000","-1,700",-1.71%,"18,291,200"
22/09/2025,"102,500","102,700","99,600","99,700","-3,300",-3.20%,"16,280,200"
19/09/2025,"103,800","103,800","100,500","103,000",-,-,"23,514,300"
18/09/2025,"106,000","106,300","103,000","103,000","-2,500",-2.37%,"8,198,400"
17/09/2025,"104,000","107,800","104,000","105,500","+2,000",1.93%,"20,018,000"
16/09/2025,"102,700","104,800","102,000","103,500","+1,600",1.57%,"17,531,600"
15/09/2025,"101,900","103,500","101,500","101,900",+300,0.30%,"14,123,100"
12/09/2025,"102,000","102,900","101,100","101,600",-400,-0.39%,"7,447,000"
11/09/2025,"101,200","102,900","100,500","102,000",+800,0.79%,"7,414,200"
10/09/2025,"102,100","102,900","101,100","101,200",-900,-0.88%,"5,498,500"
09/09/2025,"102,000","103,000","101,000","102,100",+200,0.20%,"6,460,700"
08/09/2025,"103,000","103,900","101,900","101,900","-1,500",-1.45%,"10,600,300"
05/09/2025,"105,200","105,500","103,400","103,400","-1,600",-1.52%,"8,807,800"
04/09/2025,"103,300","105,500","103,200","105,000","+1,800",1.74%,"11,033,600"
03/09/2025,"102,000","103,300","100,000","103,200","+1,600",1.57%,"9,744,200"
29/08/2025,"105,000","105,000","101,600","101,600","-2,900",-2.78%,"11,090,200"
28/08/2025,"105,100","105,100","102,800","104,500",-500,-0.48%,"6,280,200"
,,,,,,,
27/08/2025,"101,400","105,100","101,200","105,000","+5,000",5.00%,"19,436,400"
26/08/2025,"98,800","100,000","97,900","100,000","+1,200",1.21%,"5,812,500"
25/08/2025,"102,000","102,000","98,800","98,800",-200,-0.20%,"6,736,000"
22/08/2025,"101,600","101,600","98,800","99,000","-2,700",-2.65%,"7,212,000"
21/08/2025,"97,700","102,900","97,700","101,700","+4,000",4.09%,"12,624,800"
20/08/2025,"100,100","100,300","97,500","97,700","-2,600",-2.59%,"19,969,500"
19/08/2025,"100,600","101,500","100,000","100,300",-200,-0.20%,"9,153,600"
18/08/2025,"101,400","103,000","100,000","100,500",-900,-0.89%,"11,392,300"
15/08/2025,"103,800","104,800","101,300","101,400","-2,400",-2.31%,"18,622,300"
14/08/2025,"105,800","105,800","103,700","103,800","-1,300",-1.24%,"17,905,400"
13/08/2025,"107,600","107,800","104,900","105,100","-2,400",-2.23%,"21,845,000"
12/08/2025,"107,400","108,200","106,600","107,500","+1,100",1.03%,"11,011,800"
11/08/2025,"105,900","109,500","105,300","106,400",+800,0.76%,"10,278,500"
08/08/2025,"106,500","107,400","104,800","105,600",-600,-0.56%,"9,184,800"
07/08/2025,"105,600","107,400","104,900","106,200","+1,300",1.24%,"9,565,800"
06/08/2025,"106,000","106,200","104,500","104,900",-900,-0.85%,"11,814,200"
05/08/2025,"107,000","108,700","105,000","105,800",-800,-0.75%,"11,395,000"
04/08/2025,"106,500","106,600","104,800","106,600",-400,-0.37%,"4,617,800"
01/08/2025,"103,700","107,400","101,500","107,000","+3,000",2.88%,"10,891,500"
31/07/2025,"106,100","106,900","103,800","104,000","-2,100",-1.98%,"8,944,200"
30/07/2025,"107,000","108,000","105,300","106,100",+100,0.09%,"7,488,200"
29/07/2025,"111,300","111,600","106,000","106,000","-5,300",-4.76%,"16,059,500"
28/07/2025,"110,800","111,600","110,500","111,300",+600,0.54%,"7,611,000"
25/07/2025,"111,100","111,500","110,500","110,700",-400,-0.36%,"5,137,000"
24/07/2025,"112,000","112,100","110,800","111,100",-700,-0.63%,"6,420,800"
23/07/2025,"112,300","112,800","111,300","111,800",-300,-0.27%,"4,795,100"
22/07/2025,"110,300","112,200","108,700","112,100","+1,800",1.63%,"6,889,600"
21/07/2025,"112,400","112,400","110,300","110,300",+700,0.64%,"7,563,700"
18/07/2025,"111,304","111,304","109,565","109,565","-1,000",-0.79%,"6,995,800"
17/07/2025,"110,173","112,260","109,565","110,434",+700,0.55%,"9,011,200"
,,,,,,,
16/07/2025,"110,173","110,434","108,782","109,826",+300,0.24%,"3,866,400"
15/07/2025,"110,086","111,130","109,565","109,565","-1,100",-0.87%,"5,685,000"
14/07/2025,"110,608","111,217","108,695","110,521",+500,0.39%,"7,737,400"
11/07/2025,"108,695","111,304","108,347","110,086","+2,700",2.18%,"10,996,700"
10/07/2025,"107,652","108,956","107,391","107,739","+1,100",0.90%,"5,404,500"
09/07/2025,"108,521","108,608","106,347","106,782","-1,700",-1.37%,"12,460,400"
08/07/2025,"107,913","109,304","107,826","108,260",+700,0.57%,"8,064,200"
07/07/2025,"107,217","108,434","106,956","107,652","+1,300",1.06%,"7,444,800"
04/07/2025,"103,043","107,304","102,956","106,521","+4,500",3.81%,"13,553,000"
03/07/2025,"103,043","104,173","102,434","102,608",-600,-0.51%,"7,240,300"
02/07/2025,"103,043","103,217","102,260","103,130",-200,-0.17%,"4,639,700"
01/07/2025,"103,478","103,913","102,782","103,304",+600,0.51%,"12,639,400"
30/06/2025,"102,521","103,913","102,260","102,782",+900,0.77%,"8,035,200"
27/06/2025,"101,739","102,869","101,652","102,000",+300,0.26%,"5,963,200"
26/06/2025,"102,608","102,869","101,391","101,739",-100,-0.09%,"4,232,300"
25/06/2025,"101,739","103,826","101,739","101,826",+600,0.52%,"7,345,701"
24/06/2025,"101,130","101,739","101,130","101,304",+600,0.52%,"12,952,400"
23/06/2025,"100,434","101,130","99,565","100,782",-200,-0.17%,"5,936,200"
20/06/2025,"100,956","101,652","100,695","100,956",+100,0.09%,"5,599,400"
19/06/2025,"101,739","101,826","100,608","100,869","-1,000",-0.85%,"6,730,900"
18/06/2025,"103,304","103,913","101,217","101,739","-1,800",-1.52%,"7,643,800"
17/06/2025,"103,478","103,739","102,782","103,304",-200,-0.17%,"5,926,300"
16/06/2025,"100,086","104,173","100,000","103,478","+3,600",3.12%,"8,644,100"
13/06/2025,"100,869","101,304","99,913","100,347","-1,600",-1.37%,"6,161,701"
12/06/2025,"102,260","102,347","101,304","101,739",+100,0.09%,"4,243,100"
11/06/2025,"100,100","101,910","100,100","101,652","+2,200",1.90%,"6,554,301"
10/06/2025,"100,876","101,221","99,755","99,755",-500,-0.43%,"3,854,500"
09/06/2025,"99,582","100,789","99,151","100,186","+1,200",1.04%,"4,474,400"
06/06/2025,"100,703","100,703","99,151","99,151","-1,800",-1.54%,"5,693,743"
05/06/2025,"100,962","101,134","100,445","100,703",-300,-0.26%,"5,146,500"
,,,,,,,
04/06/2025,"101,738","101,910","100,445","100,962",-300,-0.26%,"7,362,300"
03/06/2025,"100,617","101,738","100,272","101,221","+1,300",1.12%,"5,373,600"
02/06/2025,"100,445","100,962","99,669","100,100",-400,-0.34%,"4,571,400"
