Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"61,600","61,900","61,000","61,900",-200,-0.32%,"467,300"
20/11/2025,"62,200","62,300","61,700","62,100",-100,-0.16%,"392,000"
19/11/2025,"62,500","62,800","62,000","62,200",-200,-0.32%,"380,800"
18/11/2025,"63,400","63,400","62,100","62,400",-600,-0.95%,"749,600"
17/11/2025,"63,200","63,800","62,000","63,000",+200,0.32%,"689,000"
14/11/2025,"62,900","63,400","62,500","62,800",-100,-0.16%,"496,800"
13/11/2025,"61,700","63,500","61,400","62,900","+1,000",1.62%,"1,158,200"
12/11/2025,"61,500","62,000","60,600","61,900",+800,1.31%,"648,800"
11/11/2025,"61,300","62,000","60,900","61,100",-100,-0.16%,"553,500"
10/11/2025,"62,800","62,800","61,000","61,200","-1,700",-2.70%,"738,300"
07/11/2025,"61,800","62,900","61,000","62,900",+800,1.29%,"1,225,100"
06/11/2025,"63,300","63,300","61,700","62,100",-900,-1.43%,"626,000"
05/11/2025,"60,700","63,600","60,600","63,000","+2,500",4.13%,"1,680,600"
04/11/2025,"62,100","62,200","60,100","60,500","-1,000",-1.63%,"1,008,600"
03/11/2025,"62,000","62,900","61,500","61,500",-100,-0.16%,"1,095,100"
31/10/2025,"59,800","62,300","59,800","61,600","+1,900",3.18%,"1,173,700"
30/10/2025,"60,200","60,800","59,700","59,700",-500,-0.83%,"460,400"
29/10/2025,"60,100","61,200","60,000","60,200",+200,0.33%,"639,500"
28/10/2025,"59,300","60,200","59,100","60,000",+700,1.18%,"660,100"
27/10/2025,"60,200","60,200","59,300","59,300",-300,-0.50%,"512,900"
24/10/2025,"60,400","60,800","59,600","59,600",-200,-0.33%,"643,300"
23/10/2025,"60,000","60,700","59,500","59,800",+800,1.36%,"554,800"
22/10/2025,"57,200","59,000","57,200","59,000","+3,000",5.36%,"1,023,700"
21/10/2025,"57,300","58,800","56,000","56,000","-1,000",-1.75%,"837,900"
20/10/2025,"58,600","59,500","57,000","57,000","-1,600",-2.73%,"604,700"
17/10/2025,"58,700","59,200","58,500","58,600",-100,-0.17%,"320,000"
16/10/2025,"58,800","59,200","58,500","58,700",-300,-0.51%,"956,300"
15/10/2025,"60,000","60,200","58,800","59,000","-1,000",-1.67%,"1,271,300"
14/10/2025,"60,900","60,900","60,000","60,000",-600,-0.99%,"568,000"
