Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"27,150","27,450","26,900","27,400",+150,0.55%,"22,607,900"
20/11/2025,"27,700","27,800","27,150","27,250",-350,-1.27%,"23,049,300"
19/11/2025,"27,500","28,350","27,450","27,600",+100,0.36%,"56,320,700"
18/11/2025,"27,250","27,600","27,150","27,500",+200,0.73%,"35,028,300"
17/11/2025,"27,050","27,350","27,050","27,300",+400,1.49%,"32,158,300"
14/11/2025,"26,500","26,950","26,500","26,900",+350,1.32%,"22,112,200"
13/11/2025,"27,000","27,050","26,550","26,550",-450,-1.67%,"18,927,500"
12/11/2025,"26,650","27,100","26,650","27,000",+400,1.50%,"30,662,900"
11/11/2025,"26,600","26,900","26,450","26,600",+150,0.57%,"31,332,100"
10/11/2025,"26,200","26,750","26,100","26,450",+400,1.54%,"48,017,900"
07/11/2025,"26,150","26,550","26,000","26,050",-50,-0.19%,"55,100,200"
06/11/2025,"26,350","26,500","26,100","26,100",-200,-0.76%,"21,207,600"
05/11/2025,"26,450","26,750","26,250","26,300",-450,-1.68%,"20,835,300"
04/11/2025,"26,150","26,850","25,950","26,750",+700,2.69%,"37,767,100"
03/11/2025,"26,750","26,900","26,050","26,050",-650,-2.43%,"28,356,600"
31/10/2025,"26,900","27,100","26,700","26,700",-200,-0.74%,"19,779,100"
30/10/2025,"27,400","27,400","26,900","26,900",-350,-1.28%,"23,693,500"
29/10/2025,"26,900","27,550","26,900","27,250",+450,1.68%,"39,448,900"
28/10/2025,"26,350","26,800","26,150","26,800",+550,2.10%,"28,512,100"
27/10/2025,"26,750","26,850","26,250","26,250",-150,-0.57%,"27,390,800"
24/10/2025,"26,500","26,700","26,100","26,400",-100,-0.38%,"30,587,700"
23/10/2025,"26,750","27,000","26,500","26,500",-200,-0.75%,"23,443,400"
22/10/2025,"26,900","26,900","26,150","26,700",-100,-0.37%,"37,268,800"
21/10/2025,"26,300","27,000","26,000","26,800",+750,2.88%,"74,275,800"
20/10/2025,"27,900","28,250","26,050","26,050","-1,950",-6.96%,"102,963,100"
17/10/2025,"28,300","28,650","28,000","28,000",-250,-0.88%,"46,508,200"
16/10/2025,"28,250","28,800","28,000","28,250",-,-,"44,715,300"
15/10/2025,"28,400","28,700","28,200","28,250",-100,-0.35%,"34,623,200"
14/10/2025,"29,050","29,250","28,300","28,350",-650,-2.24%,"84,307,900"
13/10/2025,"29,050","29,250","28,850","29,000",-600,-2.03%,"80,237,700"
,,,,,,,
10/10/2025,"29,000","29,750","28,900","29,600",+650,2.25%,"62,702,300"
09/10/2025,"29,400","29,400","28,850","28,950",-250,-0.86%,"42,551,700"
08/10/2025,"29,250","29,400","28,750","29,200",+200,0.69%,"59,953,000"
07/10/2025,"29,200","29,350","29,000","29,000",-200,-0.68%,"41,398,600"
06/10/2025,"28,100","29,200","28,100","29,200","+1,550",5.61%,"71,269,500"
03/10/2025,"28,100","28,100","27,350","27,650",-450,-1.60%,"58,123,500"
02/10/2025,"28,350","28,650","28,050","28,100",-200,-0.71%,"30,165,900"
01/10/2025,"28,300","28,500","28,100","28,300",+150,0.53%,"29,848,500"
30/09/2025,"28,550","28,600","27,900","28,150",-450,-1.57%,"53,737,200"
29/09/2025,"28,550","28,900","28,400","28,600",+50,0.18%,"38,831,200"
26/09/2025,"28,850","29,200","28,550","28,550",-250,-0.87%,"38,128,900"
25/09/2025,"29,150","29,300","28,750","28,800",-250,-0.86%,"34,435,400"
24/09/2025,"28,650","29,050","28,250","29,050",+400,1.40%,"30,738,900"
23/09/2025,"28,550","28,850","28,450","28,650",+250,0.88%,"24,900,000"
22/09/2025,"29,250","29,250","28,300","28,400",-850,-2.91%,"66,073,800"
19/09/2025,"29,300","29,400","28,800","29,250",+100,0.34%,"45,024,800"
18/09/2025,"29,350","29,400","28,600","29,150",-50,-0.17%,"75,687,000"
17/09/2025,"29,900","30,250","29,200","29,200",-750,-2.50%,"124,424,600"
16/09/2025,"30,550","30,550","29,750","29,950",-400,-1.32%,"66,855,600"
15/09/2025,"30,250","30,850","30,100","30,350",+350,1.17%,"88,920,500"
12/09/2025,"29,200","30,100","29,150","30,000",+850,2.92%,"104,621,000"
11/09/2025,"28,700","29,200","28,000","29,150",+300,1.04%,"71,781,900"
10/09/2025,"28,850","29,200","28,400","28,850",-,-,"52,455,800"
09/09/2025,"29,200","29,250","28,200","28,850",-50,-0.17%,"73,861,200"
08/09/2025,"28,700","29,750","28,650","28,900",+100,0.35%,"141,768,400"
05/09/2025,"30,000","30,100","28,800","28,800","-1,050",-3.52%,"95,256,400"
04/09/2025,"28,450","29,900","28,350","29,850","+1,700",6.04%,"141,435,100"
03/09/2025,"27,400","29,000","27,250","28,150",+650,2.36%,"119,138,500"
29/08/2025,"27,200","27,850","27,050","27,500",+400,1.48%,"81,735,200"
28/08/2025,"26,950","27,500","26,850","27,100",+350,1.31%,"63,166,300"
,,,,,,,
27/08/2025,"27,250","27,250","26,750","26,750",-450,-1.65%,"85,992,500"
26/08/2025,"26,100","27,200","26,100","27,200","+1,250",4.82%,"51,986,200"
25/08/2025,"26,500","26,750","25,850","25,950",-50,-0.19%,"68,320,100"
22/08/2025,"26,950","27,100","26,000","26,000","-1,400",-5.11%,"132,314,200"
21/08/2025,"27,450","27,800","27,300","27,400",-,-,"69,981,700"
20/08/2025,"28,200","28,250","27,050","27,400",-750,-2.66%,"101,007,400"
19/08/2025,"28,600","28,700","28,100","28,150",-250,-0.88%,"63,021,900"
18/08/2025,"28,300","28,800","28,200","28,400",+400,1.43%,"69,044,400"
15/08/2025,"28,450","28,800","27,850","28,000",-200,-0.71%,"107,927,600"
14/08/2025,"28,200","28,450","28,000","28,200",+100,0.36%,"76,049,900"
13/08/2025,"28,550","28,600","27,850","28,100",-400,-1.40%,"79,765,000"
12/08/2025,"28,350","29,100","28,150","28,500",+350,1.24%,"84,195,900"
11/08/2025,"28,150","28,450","27,800","28,150",+150,0.54%,"67,223,000"
08/08/2025,"28,600","28,650","27,600","28,000",-500,-1.75%,"121,062,500"
07/08/2025,"27,350","28,550","27,000","28,500","+1,400",5.17%,"139,119,300"
06/08/2025,"26,750","27,700","26,650","27,100",+700,2.65%,"96,174,200"
05/08/2025,"25,450","27,050","25,450","26,400","+1,100",4.35%,"215,999,100"
04/08/2025,"25,100","25,450","24,950","25,300",+150,0.60%,"37,058,100"
01/08/2025,"24,850","25,300","24,800","25,150",+200,0.80%,"50,798,600"
31/07/2025,"25,450","25,600","24,750","24,950",-450,-1.77%,"85,332,500"
30/07/2025,"25,600","25,750","25,100","25,400",+50,0.20%,"50,186,000"
29/07/2025,"26,450","26,600","25,350","25,350","-1,000",-3.80%,"82,604,800"
28/07/2025,"26,100","26,850","26,000","26,350",+300,1.15%,"99,592,800"
25/07/2025,"26,000","26,300","25,900","26,050",+50,0.19%,"51,078,400"
24/07/2025,"26,400","26,450","25,900","26,000",-400,-1.52%,"51,907,400"
23/07/2025,"26,550","26,950","26,400","26,400",-50,-0.19%,"43,124,000"
22/07/2025,"26,150","26,450","26,000","26,450",+250,0.95%,"31,504,400"
21/07/2025,"26,400","27,000","26,100","26,200",+300,1.16%,"55,773,600"
18/07/2025,"26,000","26,100","25,750","25,900",-100,-0.38%,"40,723,400"
17/07/2025,"26,200","26,350","25,900","26,000",-100,-0.38%,"56,229,600"
,,,,,,,
16/07/2025,"25,450","26,200","25,400","26,100",+600,2.35%,"45,893,600"
15/07/2025,"25,800","26,000","25,500","25,500",-250,-0.97%,"46,507,000"
14/07/2025,"26,200","26,450","25,550","25,750",-250,-0.96%,"49,438,500"
11/07/2025,"25,250","26,250","25,050","26,000",+850,3.38%,"65,285,300"
10/07/2025,"24,850","25,200","24,550","25,150",+400,1.62%,"85,282,300"
09/07/2025,"24,800","25,100","24,600","24,750",+50,0.20%,"43,462,900"
08/07/2025,"23,650","24,800","23,550","24,700","+1,100",4.66%,"77,477,100"
07/07/2025,"23,700","23,700","23,400","23,600",+350,1.51%,"35,999,600"
04/07/2025,"23,150","23,250","23,100","23,250",+150,0.65%,"19,401,100"
03/07/2025,"23,000","23,650","23,000","23,100",+200,0.87%,"42,514,500"
02/07/2025,"22,650","22,900","22,550","22,900",+250,1.10%,"18,902,100"
01/07/2025,"22,750","22,900","22,600","22,650",-50,-0.22%,"19,766,000"
30/06/2025,"22,900","22,950","22,700","22,700",-150,-0.66%,"19,885,300"
27/06/2025,"22,950","22,950","22,750","22,850",+50,0.22%,"16,481,800"
26/06/2025,"23,050","23,150","22,750","22,800",+150,0.66%,"38,371,000"
25/06/2025,"22,583","22,875","22,458","22,666",+200,0.74%,"45,638,801"
24/06/2025,"22,541","22,666","22,458","22,500",+150,0.56%,"27,870,000"
23/06/2025,"22,375","22,500","22,166","22,375",-150,-0.56%,"24,710,800"
20/06/2025,"22,500","22,583","22,375","22,500",+100,0.37%,"23,936,403"
19/06/2025,"22,625","22,666","22,333","22,416",-250,-0.92%,"23,408,200"
18/06/2025,"22,416","22,666","22,333","22,625",+300,1.12%,"33,253,200"
17/06/2025,"22,416","22,583","22,291","22,375",+100,0.37%,"26,721,800"
16/06/2025,"21,958","22,500","21,958","22,291",+350,1.33%,"31,985,397"
13/06/2025,"22,166","22,291","21,916","22,000",-400,-1.49%,"38,771,923"
12/06/2025,"21,791","22,583","21,791","22,333",+700,2.68%,"55,525,923"
11/06/2025,"21,916","21,958","21,666","21,750",-100,-0.38%,"17,178,100"
10/06/2025,"22,083","22,375","21,833","21,833",-100,-0.38%,"32,718,924"
09/06/2025,"21,750","22,000","21,625","21,916",+250,0.96%,"25,242,900"
06/06/2025,"21,708","22,083","21,583","21,708",+300,1.17%,"42,244,000"
05/06/2025,"21,666","21,708","21,416","21,458",-200,-0.77%,"19,487,300"
,,,,,,,
04/06/2025,"21,750","22,000","21,625","21,625",-50,-0.19%,"25,985,700"
03/06/2025,"21,500","21,833","21,458","21,666",+450,1.76%,"31,538,500"
02/06/2025,"21,333","21,375","21,125","21,291",-200,-0.78%,"22,333,200"
30/05/2025,"21,375","22,208","21,375","21,458",+200,0.78%,"64,975,400"
29/05/2025,"21,416","21,500","21,250","21,291",-50,-0.20%,"16,530,300"
28/05/2025,"21,458","21,583","21,291","21,333",+50,0.20%,"15,604,800"
27/05/2025,"21,291","21,791","21,291","21,291",-,-,"26,892,800"
26/05/2025,"21,375","21,375","20,875","21,291",-50,-0.20%,"27,433,800"
23/05/2025,"21,458","21,541","21,291","21,333",-50,-0.19%,"11,096,000"
22/05/2025,"21,458","21,625","21,291","21,375",-100,-0.39%,"26,535,702"
21/05/2025,"21,458","21,750","21,375","21,458",+100,0.39%,"21,313,500"
20/05/2025,"21,333","21,500","21,333","21,375",-,-,"20,752,523"
19/05/2025,"21,458","21,625","21,291","21,375",-150,-0.58%,"16,158,700"
16/05/2025,"21,791","21,833","21,500","21,500",-350,-1.34%,"18,779,200"
15/05/2025,"21,833","21,833","21,541","21,791",-,-,"22,616,701"
14/05/2025,"21,583","22,125","21,541","21,791",+350,1.36%,"44,844,101"
13/05/2025,"21,333","21,666","21,333","21,500",+400,1.57%,"21,284,600"
12/05/2025,"21,291","21,458","20,625","21,166",-250,-0.97%,"65,862,901"
09/05/2025,"21,416","21,458","21,250","21,375",-50,-0.19%,"11,008,000"
08/05/2025,"21,166","21,541","21,083","21,416",+300,1.18%,"20,560,200"
07/05/2025,"21,125","21,250","21,125","21,166",-50,-0.20%,"11,835,800"
06/05/2025,"21,458","21,708","21,208","21,208",-250,-0.97%,"21,167,300"
05/05/2025,"21,375","21,458","21,125","21,416",+200,0.78%,"12,919,300"
29/04/2025,"21,375","21,416","21,166","21,250",-150,-0.58%,"27,916,600"
28/04/2025,"21,416","21,416","21,125","21,375",-50,-0.19%,"13,684,060"
