Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"35,000","35,900","34,900","34,900",-350,-0.99%,"3,080,100"
20/11/2025,"34,600","35,250","34,250","35,250",+800,2.32%,"3,612,100"
19/11/2025,"34,950","35,450","34,400","34,450",-500,-1.43%,"3,145,900"
18/11/2025,"35,000","35,050","34,400","34,950",-,-,"3,088,000"
17/11/2025,"34,000","35,150","33,700","34,950","+1,350",4.02%,"4,025,700"
14/11/2025,"33,500","34,000","33,450","33,600",+50,0.15%,"2,155,500"
13/11/2025,"33,200","34,200","33,200","33,550",+450,1.36%,"4,408,900"
12/11/2025,"32,800","33,400","32,450","33,100",+800,2.48%,"1,955,100"
11/11/2025,"32,500","32,900","31,700","32,300",-150,-0.46%,"6,915,200"
10/11/2025,"33,800","34,000","32,450","32,450","-1,400",-4.14%,"4,510,000"
07/11/2025,"35,700","35,800","33,800","33,850","-1,850",-5.18%,"4,394,000"
06/11/2025,"35,300","36,150","35,200","35,700",+600,1.71%,"6,066,000"
05/11/2025,"35,800","35,800","34,900","35,100",-550,-1.54%,"2,698,700"
04/11/2025,"34,000","35,900","33,300","35,650","+1,450",4.24%,"6,272,300"
03/11/2025,"35,000","35,700","34,200","34,200",-800,-2.29%,"5,231,900"
31/10/2025,"35,600","35,800","35,000","35,000",-500,-1.41%,"3,534,200"
30/10/2025,"35,200","35,800","35,100","35,500",+450,1.28%,"3,595,300"
29/10/2025,"34,800","36,000","34,700","35,050",+350,1.01%,"4,747,800"
28/10/2025,"34,000","34,950","33,550","34,700",+250,0.73%,"5,039,000"
27/10/2025,"34,300","35,250","34,250","34,450",+750,2.23%,"7,845,200"
24/10/2025,"33,500","34,100","32,950","33,700",+100,0.30%,"4,158,500"
23/10/2025,"33,800","34,500","33,450","33,600",-200,-0.59%,"4,158,600"
22/10/2025,"33,300","34,000","32,800","33,800",+550,1.65%,"5,264,500"
21/10/2025,"33,200","34,100","32,100","33,250",-250,-0.75%,"11,823,700"
20/10/2025,"35,800","36,350","33,500","33,500","-2,500",-6.94%,"15,262,800"
17/10/2025,"37,300","37,350","36,000","36,000","-1,000",-2.70%,"10,936,600"
16/10/2025,"35,500","37,050","35,500","37,000","+2,050",5.87%,"10,266,200"
15/10/2025,"35,600","35,850","34,350","34,950",-550,-1.55%,"10,231,600"
14/10/2025,"37,150","37,150","35,500","35,500","-1,200",-3.27%,"9,511,500"
13/10/2025,"35,100","37,250","35,100","36,700","+1,000",2.80%,"10,302,900"
,,,,,,,
10/10/2025,"35,450","36,100","35,200","35,700",+750,2.15%,"5,746,700"
09/10/2025,"35,400","35,700","34,850","34,950",-300,-0.85%,"5,546,800"
08/10/2025,"35,650","35,900","34,800","35,250",+250,0.71%,"4,835,300"
07/10/2025,"36,300","36,450","35,000","35,000","-1,000",-2.78%,"4,038,100"
06/10/2025,"34,900","36,750","34,900","36,000","+1,350",3.90%,"4,000,000"
03/10/2025,"34,750","35,500","34,200","34,650",-350,-1.00%,"7,576,100"
02/10/2025,"36,750","36,750","35,000","35,000","-1,350",-3.71%,"5,613,400"
01/10/2025,"36,150","36,800","36,100","36,350",+250,0.69%,"2,640,400"
30/09/2025,"37,350","37,350","35,950","36,100","-1,200",-3.22%,"8,567,400"
29/09/2025,"37,500","37,700","37,300","37,300",-300,-0.80%,"4,529,800"
26/09/2025,"37,000","38,500","36,700","37,600",+700,1.90%,"9,702,600"
25/09/2025,"37,500","38,150","36,900","36,900",-200,-0.54%,"8,426,500"
24/09/2025,"36,400","37,200","35,950","37,100",+500,1.37%,"6,279,400"
23/09/2025,"36,900","37,000","36,150","36,600",-300,-0.81%,"4,051,600"
22/09/2025,"36,500","37,200","35,900","36,900",+800,2.22%,"6,540,600"
19/09/2025,"37,250","37,400","36,100","36,100",-600,-1.63%,"5,904,800"
18/09/2025,"36,700","37,500","36,550","36,700",+100,0.27%,"7,121,100"
17/09/2025,"38,000","38,250","36,600","36,600","-1,400",-3.68%,"8,915,000"
16/09/2025,"39,450","39,500","38,000","38,000","-1,200",-3.06%,"8,831,300"
15/09/2025,"39,100","40,300","38,900","39,200",+350,0.90%,"6,419,900"
12/09/2025,"38,500","39,950","38,400","38,850",+550,1.44%,"7,583,400"
11/09/2025,"37,500","38,850","36,000","38,300",+500,1.32%,"12,011,200"
10/09/2025,"39,000","39,000","37,600","37,800",-550,-1.43%,"7,761,300"
09/09/2025,"39,100","39,250","37,700","38,350",-650,-1.67%,"13,274,300"
08/09/2025,"41,700","41,800","39,000","39,000","-2,150",-5.22%,"15,707,500"
05/09/2025,"40,800","43,100","40,400","41,150",+850,2.11%,"23,269,800"
04/09/2025,"40,000","41,250","39,650","40,300",+700,1.77%,"8,054,000"
03/09/2025,"39,600","41,850","39,550","39,600",-50,-0.13%,"12,051,700"
29/08/2025,"41,000","41,000","39,600","39,650",-650,-1.61%,"8,734,300"
28/08/2025,"39,400","40,550","38,800","40,300","+1,000",2.54%,"9,054,700"
,,,,,,,
27/08/2025,"40,400","40,400","39,300","39,300",-650,-1.63%,"10,372,500"
26/08/2025,"38,100","40,000","37,500","39,950","+1,300",3.36%,"10,862,800"
25/08/2025,"42,300","42,300","38,050","38,650","-2,150",-5.27%,"12,220,100"
22/08/2025,"39,000","41,850","38,500","40,800","+1,050",2.64%,"22,198,700"
21/08/2025,"41,850","42,000","39,700","39,750",-350,-0.87%,"13,472,100"
20/08/2025,"40,050","40,100","37,500","40,100","+2,600",6.93%,"32,657,400"
19/08/2025,"37,500","37,500","37,500","37,500","+2,450",6.99%,"8,296,200"
18/08/2025,"32,800","35,050","32,650","35,050","+2,250",6.86%,"11,213,600"
15/08/2025,"33,800","33,950","32,000","32,800",-750,-2.24%,"8,247,800"
14/08/2025,"33,800","34,100","33,200","33,550",-250,-0.74%,"5,934,300"
13/08/2025,"33,700","34,850","33,550","33,800",+250,0.75%,"8,069,400"
12/08/2025,"33,500","33,750","32,950","33,550",+100,0.30%,"6,429,500"
11/08/2025,"33,250","34,200","32,950","33,450",+200,0.60%,"7,389,000"
08/08/2025,"34,100","34,100","32,850","33,250",-700,-2.06%,"7,580,100"
07/08/2025,"34,500","34,500","33,400","33,950",+800,2.41%,"7,684,300"
06/08/2025,"33,000","33,450","32,400","33,150",+700,2.16%,"5,834,500"
05/08/2025,"31,950","33,750","30,300","32,450",+900,2.85%,"23,305,300"
04/08/2025,"31,500","31,850","30,900","31,550",+50,0.16%,"6,570,300"
01/08/2025,"32,000","32,250","31,000","31,500",-150,-0.47%,"7,246,800"
31/07/2025,"30,500","31,700","29,950","31,650","+2,000",6.75%,"25,721,500"
30/07/2025,"29,600","29,950","28,900","29,650",+650,2.24%,"6,501,000"
29/07/2025,"30,900","30,900","29,000","29,000",-950,-3.17%,"10,635,100"
28/07/2025,"29,500","30,100","29,200","29,950",+750,2.57%,"8,496,700"
25/07/2025,"28,500","29,250","28,400","29,200",+750,2.64%,"8,298,000"
24/07/2025,"28,700","28,800","28,200","28,450",-,-,"3,391,600"
23/07/2025,"28,550","29,000","28,400","28,450",-,-,"4,750,400"
22/07/2025,"28,150","28,600","28,100","28,450",+100,0.35%,"3,357,400"
21/07/2025,"28,700","28,750","28,150","28,350",-100,-0.35%,"3,380,400"
18/07/2025,"28,600","28,700","28,250","28,450",+50,0.18%,"5,571,000"
17/07/2025,"28,300","28,800","28,150","28,400",+200,0.71%,"6,292,300"
,,,,,,,
16/07/2025,"27,900","28,250","27,900","28,200",+100,0.36%,"5,140,300"
15/07/2025,"28,500","28,600","28,050","28,100",-250,-0.88%,"4,889,200"
14/07/2025,"27,700","28,450","27,500","28,350",+850,3.09%,"8,075,700"
11/07/2025,"27,400","27,650","27,150","27,500",+100,0.36%,"7,142,000"
10/07/2025,"27,800","27,950","27,400","27,400",-350,-1.26%,"5,259,400"
09/07/2025,"27,500","27,950","27,450","27,750",+250,0.91%,"9,304,400"
08/07/2025,"27,300","27,800","27,250","27,500",+550,2.04%,"11,341,600"
07/07/2025,"27,000","27,250","26,550","26,950",+150,0.56%,"5,610,200"
04/07/2025,"26,500","26,800","26,450","26,800",+200,0.75%,"3,321,200"
03/07/2025,"26,800","27,000","26,100","26,600",-550,-2.03%,"14,047,700"
02/07/2025,"26,450","27,200","26,300","27,150",+900,3.43%,"9,778,700"
01/07/2025,"26,550","27,050","26,250","26,250",-500,-1.87%,"5,174,300"
30/06/2025,"26,500","26,750","26,250","26,750",+300,1.13%,"6,810,600"
27/06/2025,"26,650","26,750","26,350","26,450",-,-,"6,432,900"
26/06/2025,"25,800","26,700","25,800","26,450",+700,2.72%,"10,257,000"
25/06/2025,"25,950","26,200","25,700","25,750",-50,-0.19%,"4,444,800"
24/06/2025,"26,150","26,250","25,750","25,800",-250,-0.96%,"7,248,300"
23/06/2025,"25,250","26,300","25,150","26,050",+300,1.17%,"8,613,400"
20/06/2025,"25,650","25,850","25,500","25,750",+100,0.39%,"6,209,700"
19/06/2025,"24,950","25,750","24,950","25,650",+750,3.01%,"8,173,000"
18/06/2025,"25,050","25,250","24,900","24,900",-300,-1.19%,"3,661,900"
17/06/2025,"25,450","25,450","25,100","25,200",-50,-0.20%,"3,496,400"
16/06/2025,"24,150","25,250","24,150","25,250",+850,3.48%,"3,444,500"
13/06/2025,"25,300","25,300","24,150","24,400",-900,-3.56%,"7,075,800"
12/06/2025,"24,950","25,300","24,900","25,300",+600,2.43%,"4,146,400"
11/06/2025,"25,150","25,300","24,650","24,700",-300,-1.20%,"3,575,700"
10/06/2025,"25,000","25,350","24,900","25,000",+50,0.20%,"3,171,600"
09/06/2025,"25,550","25,650","24,850","24,950",-550,-2.16%,"6,413,400"
06/06/2025,"26,300","26,350","25,500","25,500",-800,-3.04%,"6,234,000"
05/06/2025,"26,200","26,500","26,050","26,300",+150,0.57%,"5,016,000"
,,,,,,,
04/06/2025,"26,450","26,650","26,050","26,150",-300,-1.13%,"7,867,500"
03/06/2025,"26,400","26,600","26,300","26,450",+150,0.57%,"5,097,000"
02/06/2025,"25,850","26,600","25,850","26,300",-,-,"4,743,700"
30/05/2025,"27,100","27,100","26,300","26,300",-650,-2.41%,"6,096,500"
29/05/2025,"27,400","27,650","26,900","26,950",+50,0.19%,"9,999,100"
28/05/2025,"27,250","27,500","26,850","26,900",-350,-1.28%,"7,132,900"
27/05/2025,"27,700","27,700","27,150","27,250",-50,-0.18%,"8,040,800"
26/05/2025,"26,650","27,300","25,500","27,300",+800,3.02%,"12,145,100"
23/05/2025,"26,400","26,700","26,350","26,500",-,-,"4,764,700"
22/05/2025,"26,600","27,100","26,350","26,500",+50,0.19%,"9,721,300"
21/05/2025,"27,150","27,150","26,350","26,450",-450,-1.67%,"7,522,600"
20/05/2025,"27,100","27,400","26,900","26,900",+150,0.56%,"8,589,400"
19/05/2025,"26,400","26,750","25,950","26,750",+900,3.48%,"14,882,400"
16/05/2025,"25,600","25,900","25,300","25,850",+250,0.98%,"6,942,000"
15/05/2025,"26,000","26,050","25,600","25,600",-400,-1.54%,"4,836,700"
14/05/2025,"25,850","26,000","25,400","26,000",+150,0.58%,"6,178,300"
13/05/2025,"25,450","25,900","25,150","25,850",+800,3.19%,"7,859,600"
12/05/2025,"24,250","25,100","24,050","25,050",+850,3.51%,"10,467,800"
09/05/2025,"24,550","24,600","24,150","24,200",-350,-1.43%,"5,053,900"
