Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"78,400","78,400","77,200","77,500","-1,000",-1.27%,"4,020,000"
20/11/2025,"78,900","79,100","78,500","78,500",-300,-0.38%,"3,398,600"
19/11/2025,"79,000","79,600","78,500","78,800",-200,-0.25%,"3,470,500"
18/11/2025,"79,800","80,300","78,500","79,000",-700,-0.88%,"4,594,500"
17/11/2025,"78,800","80,000","78,300","79,700","+1,700",2.18%,"5,528,700"
14/11/2025,"78,600","79,300","77,600","78,000","-1,000",-1.27%,"5,137,900"
13/11/2025,"79,300","79,700","78,900","79,000",-200,-0.25%,"4,590,600"
12/11/2025,"78,500","79,500","78,300","79,200","+1,000",1.28%,"5,010,800"
11/11/2025,"76,500","78,900","76,400","78,200","+2,200",2.89%,"7,667,500"
10/11/2025,"77,100","78,300","76,000","76,000",-800,-1.04%,"5,025,900"
07/11/2025,"78,200","79,700","76,800","76,800","-2,000",-2.54%,"7,306,800"
06/11/2025,"80,100","80,100","78,800","78,800","-1,400",-1.75%,"4,652,600"
05/11/2025,"79,900","81,500","79,100","80,200",+200,0.25%,"8,834,200"
04/11/2025,"76,800","80,500","74,400","80,000","+3,000",3.90%,"12,598,000"
03/11/2025,"79,600","79,800","77,000","77,000","-2,600",-3.27%,"7,670,000"
31/10/2025,"79,400","80,800","79,000","79,600",+300,0.38%,"6,477,800"
30/10/2025,"79,700","80,600","79,300","79,300",+100,0.13%,"6,826,300"
29/10/2025,"79,100","80,600","78,500","79,200",+200,0.25%,"8,381,100"
28/10/2025,"78,600","79,000","76,200","79,000",+500,0.64%,"7,889,400"
27/10/2025,"79,600","79,800","77,400","78,500",-800,-1.01%,"7,509,000"
24/10/2025,"77,900","79,500","75,700","79,300","+1,100",1.41%,"13,522,400"
23/10/2025,"79,600","80,000","77,600","78,200",-800,-1.01%,"9,732,300"
22/10/2025,"79,900","80,600","77,400","79,000","+1,000",1.28%,"13,805,300"
21/10/2025,"79,900","80,000","76,200","78,000","-3,900",-4.76%,"28,573,200"
20/10/2025,"87,000","88,800","81,900","81,900","-6,100",-6.93%,"31,684,600"
17/10/2025,"91,400","94,000","88,000","88,000",-200,-0.23%,"32,812,700"
16/10/2025,"85,000","88,200","84,800","88,200","+5,700",6.91%,"17,212,400"
15/10/2025,"83,000","83,700","82,500","82,500",-,-,"6,589,100"
14/10/2025,"85,600","85,600","82,500","82,500","-2,500",-2.94%,"12,780,300"
13/10/2025,"83,600","85,800","83,600","85,000",+900,1.07%,"12,632,300"
,,,,,,,
10/10/2025,"83,500","84,200","83,000","84,100","+1,000",1.20%,"13,452,100"
09/10/2025,"82,900","84,200","82,700","83,100",+500,0.61%,"7,329,600"
08/10/2025,"83,700","84,400","82,600","82,600",+100,0.12%,"11,323,000"
07/10/2025,"83,300","83,400","82,500","82,500",-500,-0.60%,"5,203,300"
06/10/2025,"81,400","83,300","81,000","83,000","+3,000",3.75%,"8,979,600"
03/10/2025,"81,200","81,200","79,400","80,000","-1,500",-1.84%,"6,475,000"
02/10/2025,"81,500","82,100","81,000","81,500",+200,0.25%,"3,777,300"
01/10/2025,"81,100","82,300","81,100","81,300",+300,0.37%,"3,192,800"
30/09/2025,"82,000","82,000","80,500","81,000",-800,-0.98%,"4,726,100"
29/09/2025,"82,200","82,500","81,300","81,800",-400,-0.49%,"4,298,200"
26/09/2025,"82,200","83,500","82,000","82,200",-,-,"6,728,100"
25/09/2025,"83,500","83,600","82,200","82,200",-700,-0.84%,"4,585,800"
24/09/2025,"82,000","83,700","81,100","82,900","+1,000",1.22%,"5,235,500"
23/09/2025,"81,900","82,600","81,500","81,900",-,-,"3,808,100"
22/09/2025,"83,900","84,000","81,000","81,900","-2,000",-2.38%,"8,824,400"
19/09/2025,"84,600","84,700","83,300","83,900",-100,-0.12%,"10,383,000"
18/09/2025,"84,400","85,200","83,500","84,000",-200,-0.24%,"6,725,200"
17/09/2025,"86,600","86,900","84,200","84,200","-2,600",-3.00%,"11,516,500"
16/09/2025,"89,000","89,000","86,800","86,800","-1,700",-1.92%,"13,155,500"
15/09/2025,"86,800","89,000","86,300","88,500","+2,500",2.91%,"16,596,700"
12/09/2025,"82,300","86,900","81,600","86,000","+4,000",4.88%,"21,808,200"
