Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"80,400","80,400","78,100","80,000","-1,000",-1.23%,"8,331,600"
20/11/2025,"82,300","82,300","80,800","81,000","-1,400",-1.70%,"5,080,700"
19/11/2025,"83,000","83,200","81,600","82,400",-600,-0.72%,"6,064,700"
18/11/2025,"82,500","83,200","81,900","83,000",+600,0.73%,"4,417,900"
17/11/2025,"81,200","82,400","81,200","82,400","+1,000",1.23%,"4,514,700"
14/11/2025,"79,200","82,000","79,200","81,400","+1,300",1.62%,"3,951,700"
13/11/2025,"80,100","80,500","79,500","80,100",-400,-0.50%,"3,798,700"
12/11/2025,"78,000","80,500","77,900","80,500","+2,500",3.21%,"5,083,400"
11/11/2025,"77,500","79,100","77,500","78,000","+1,200",1.56%,"5,881,500"
10/11/2025,"76,300","79,300","76,300","76,800",+300,0.39%,"7,274,200"
07/11/2025,"79,600","80,500","75,500","76,500","-3,800",-4.73%,"8,643,300"
06/11/2025,"80,300","81,000","78,800","80,300",+100,0.12%,"4,495,500"
05/11/2025,"81,500","81,500","80,100","80,200","-1,600",-1.96%,"4,679,900"
04/11/2025,"80,900","82,000","78,500","81,800",+800,0.99%,"13,681,700"
03/11/2025,"83,000","83,300","81,000","81,000","-1,600",-1.94%,"6,146,600"
31/10/2025,"83,900","84,000","82,000","82,600","-1,300",-1.55%,"6,453,200"
30/10/2025,"84,200","84,400","83,500","83,900",-200,-0.24%,"5,652,200"
29/10/2025,"83,000","84,400","83,000","84,100",-100,-0.12%,"5,076,100"
28/10/2025,"80,900","84,400","80,400","84,200","+3,200",3.95%,"8,277,300"
27/10/2025,"85,700","85,700","81,000","81,000","-4,700",-5.48%,"9,884,200"
24/10/2025,"85,500","85,900","82,800","85,700",-,-,"9,652,900"
23/10/2025,"86,000","86,800","84,600","85,700","+1,200",1.42%,"9,156,600"
22/10/2025,"83,000","84,500","81,600","84,500","+1,500",1.81%,"8,203,100"
21/10/2025,"82,300","83,000","80,500","83,000","+2,100",2.60%,"12,062,300"
20/10/2025,"87,000","87,900","79,800","80,900","-3,600",-4.26%,"14,226,400"
17/10/2025,"84,800","85,900","83,800","84,500",-,-,"9,880,500"
16/10/2025,"83,300","84,800","83,000","84,500","+1,200",1.44%,"6,629,400"
15/10/2025,"84,000","84,700","83,000","83,300",-900,-1.07%,"5,687,400"
14/10/2025,"83,900","85,000","82,400","84,200","+1,200",1.45%,"12,093,100"
13/10/2025,"81,200","83,000","81,000","83,000","+1,000",1.22%,"7,962,500"
,,,,,,,
10/10/2025,"81,400","82,000","80,600","82,000",+500,0.61%,"7,593,200"
09/10/2025,"80,800","81,900","80,500","81,500",+700,0.87%,"7,782,900"
08/10/2025,"79,000","81,300","78,500","80,800","+2,800",3.59%,"17,337,700"
07/10/2025,"78,000","79,500","77,500","78,000",+400,0.52%,"7,199,900"
06/10/2025,"78,400","78,700","77,200","77,600",+600,0.78%,"9,452,100"
03/10/2025,"77,000","77,400","75,400","77,000",-100,-0.13%,"9,671,700"
02/10/2025,"77,800","78,500","76,900","77,100",-600,-0.77%,"4,725,900"
01/10/2025,"77,500","78,300","77,200","77,700",-,-,"4,989,600"
30/09/2025,"76,800","77,800","76,200","77,700",+700,0.91%,"7,817,600"
29/09/2025,"77,900","77,900","76,600","77,000",-900,-1.16%,"6,021,900"
26/09/2025,"78,300","79,100","77,900","77,900","-1,100",-1.39%,"4,081,700"
25/09/2025,"78,800","79,000","78,100","79,000",-200,-0.25%,"5,302,400"
24/09/2025,"77,700","79,200","77,100","79,200","+1,400",1.80%,"4,391,900"
23/09/2025,"76,800","78,200","76,300","77,800","+1,300",1.70%,"4,466,900"
22/09/2025,"77,900","77,900","76,000","76,500","-2,100",-2.67%,"8,126,100"
19/09/2025,"78,500","78,900","77,400","78,600",+100,0.13%,"4,279,300"
18/09/2025,"78,000","78,500","76,700","78,500",+500,0.64%,"8,718,800"
17/09/2025,"79,800","81,100","78,000","78,000","-2,300",-2.86%,"8,298,600"
16/09/2025,"79,600","81,400","78,900","80,300",+800,1.01%,"8,927,700"
15/09/2025,"79,000","79,600","78,100","79,500",+500,0.63%,"8,395,500"
12/09/2025,"78,800","79,400","77,800","79,000",+200,0.25%,"7,900,100"
11/09/2025,"75,400","79,400","74,000","78,800","+3,300",4.37%,"18,120,100"
10/09/2025,"75,600","76,300","74,500","75,500",-500,-0.66%,"7,770,800"
09/09/2025,"74,600","76,000","73,700","76,000","+2,000",2.70%,"6,933,700"
08/09/2025,"74,500","76,800","74,000","74,000","-1,000",-1.33%,"13,715,000"
05/09/2025,"78,000","78,300","75,000","75,000","-2,500",-3.23%,"9,769,500"
04/09/2025,"76,000","77,500","73,900","77,500","+1,700",2.24%,"12,031,500"
03/09/2025,"76,900","77,600","75,700","75,800","-2,200",-2.82%,"8,068,800"
29/08/2025,"78,000","78,200","76,600","78,000",+700,0.91%,"9,402,500"
28/08/2025,"75,000","77,300","74,500","77,300","+2,300",3.07%,"11,875,600"
,,,,,,,
27/08/2025,"75,000","76,600","74,600","75,000","+1,400",1.90%,"12,565,000"
26/08/2025,"69,000","73,600","68,600","73,600","+4,800",6.98%,"16,810,900"
25/08/2025,"70,300","70,600","68,600","68,800","-1,500",-2.13%,"6,387,100"
22/08/2025,"69,900","70,600","68,400","70,300",-700,-0.99%,"10,901,700"
21/08/2025,"69,400","71,600","69,200","71,000","+1,600",2.31%,"12,495,000"
20/08/2025,"68,500","70,700","68,100","69,400","+1,400",2.06%,"11,461,600"
19/08/2025,"70,000","70,000","68,000","68,000","-2,000",-2.86%,"14,132,300"
18/08/2025,"70,600","71,000","69,200","70,000",-500,-0.71%,"8,199,100"
15/08/2025,"72,000","72,300","69,800","70,500","-1,400",-1.95%,"9,112,800"
14/08/2025,"71,000","71,900","70,100","71,900","+1,000",1.41%,"9,930,500"
13/08/2025,"72,500","72,500","70,000","70,900","-1,300",-1.80%,"11,739,600"
12/08/2025,"72,300","72,500","71,000","72,200",+100,0.14%,"7,809,000"
11/08/2025,"72,000","73,700","71,700","72,100",+100,0.14%,"10,677,600"
08/08/2025,"72,600","72,800","70,500","72,000",-400,-0.55%,"11,116,900"
07/08/2025,"72,700","72,800","71,600","72,400",-,-,"8,095,800"
06/08/2025,"68,900","72,400","68,500","72,400","+3,100",4.47%,"18,002,400"
05/08/2025,"67,300","69,500","66,000","69,300","+2,300",3.43%,"15,697,200"
04/08/2025,"65,200","67,000","65,200","67,000","+1,800",2.76%,"8,211,500"
01/08/2025,"65,400","66,700","65,200","65,200",-100,-0.15%,"8,228,000"
31/07/2025,"67,200","67,800","65,200","65,300","-1,800",-2.68%,"14,552,200"
30/07/2025,"67,500","67,900","66,100","67,100",+500,0.75%,"13,161,600"
29/07/2025,"70,200","70,200","66,400","66,600","-3,600",-5.13%,"18,358,200"
28/07/2025,"70,600","71,000","69,600","70,200",+100,0.14%,"9,571,200"
25/07/2025,"69,500","71,100","69,200","70,100",+600,0.86%,"6,469,000"
24/07/2025,"70,000","70,000","68,800","69,500",-,-,"6,607,100"
23/07/2025,"69,795","69,992","69,007","69,500",+100,0.14%,"10,330,900"
22/07/2025,"69,007","69,401","68,021","69,401",+400,0.57%,"8,147,200"
21/07/2025,"69,992","69,992","68,218","69,007",-700,-0.99%,"10,328,100"
18/07/2025,"69,500","70,978","68,711","69,697",+200,0.28%,"8,433,900"
17/07/2025,"68,809","69,795","68,612","69,500",+500,0.71%,"8,085,300"
,,,,,,,
16/07/2025,"68,218","69,007","67,528","69,007",+700,1.01%,"4,475,500"
15/07/2025,"68,415","70,387","68,317","68,317",+300,0.43%,"11,991,700"
14/07/2025,"66,936","68,021","65,458","68,021","+1,100",1.62%,"8,969,000"
11/07/2025,"67,035","67,134","66,345","66,936",-100,-0.15%,"7,270,900"
10/07/2025,"67,035","67,429","66,345","67,035",+300,0.44%,"7,436,600"
09/07/2025,"66,542","66,739","65,852","66,739",+500,0.74%,"10,332,800"
08/07/2025,"65,655","66,345","65,063","66,246",+700,1.05%,"8,804,700"
07/07/2025,"65,655","65,852","64,866","65,556",+200,0.30%,"8,449,300"
04/07/2025,"64,965","65,556","64,570","65,359",+900,1.38%,"6,182,500"
03/07/2025,"63,782","65,655","63,782","64,472",+600,0.93%,"19,372,000"
02/07/2025,"63,585","64,176","63,387","63,880",+300,0.47%,"5,869,300"
01/07/2025,"64,570","64,866","63,387","63,585","-1,000",-1.53%,"9,678,600"
30/06/2025,"65,260","65,359","64,472","64,570",-300,-0.46%,"5,932,000"
27/06/2025,"63,782","65,359","63,683","64,866","+1,300",2.02%,"17,315,400"
26/06/2025,"64,078","64,373","63,289","63,585",-500,-0.77%,"5,355,000"
25/06/2025,"63,880","64,275","63,585","64,078",+100,0.15%,"7,165,900"
24/06/2025,"64,866","64,965","63,979","63,979",-100,-0.15%,"8,758,700"
