Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"22,450","22,750","22,250","22,600",-200,-0.88%,"4,923,700"
20/11/2025,"22,800","22,900","22,100","22,800",-,-,"7,139,800"
19/11/2025,"23,000","23,250","22,150","22,800",-200,-0.87%,"8,482,000"
18/11/2025,"23,100","23,350","22,800","23,000",-50,-0.22%,"7,818,600"
17/11/2025,"22,350","23,250","22,250","23,050",+850,3.83%,"14,150,500"
14/11/2025,"21,750","22,500","21,750","22,200",+200,0.91%,"7,091,000"
13/11/2025,"22,100","22,100","21,650","22,000",-200,-0.90%,"5,694,500"
12/11/2025,"21,200","22,200","21,100","22,200","+1,000",4.72%,"9,427,000"
11/11/2025,"21,000","21,200","20,500","21,200",+400,1.92%,"7,228,400"
10/11/2025,"20,850","21,400","20,700","20,800",-350,-1.65%,"7,539,800"
07/11/2025,"22,000","22,000","20,850","21,150",-850,-3.86%,"10,279,700"
06/11/2025,"22,400","22,500","21,850","22,000",-450,-2.00%,"7,487,300"
05/11/2025,"22,700","22,700","21,850","22,450",-400,-1.75%,"8,361,500"
04/11/2025,"21,050","22,850","20,500","22,850","+1,450",6.78%,"17,560,800"
03/11/2025,"22,600","22,650","21,000","21,400","-1,150",-5.10%,"15,349,900"
31/10/2025,"23,350","23,400","22,550","22,550",-850,-3.63%,"8,993,600"
30/10/2025,"23,000","23,500","22,850","23,400",+400,1.74%,"10,397,300"
29/10/2025,"23,300","23,400","22,850","23,000",-,-,"8,809,800"
28/10/2025,"21,900","23,000","20,700","23,000",+950,4.31%,"24,953,400"
27/10/2025,"23,800","23,950","22,050","22,050","-1,600",-6.77%,"19,980,800"
24/10/2025,"23,500","24,250","23,150","23,650",+50,0.21%,"15,560,600"
23/10/2025,"24,350","24,650","23,600","23,600",-650,-2.68%,"11,804,300"
22/10/2025,"23,600","24,250","22,900","24,250",+950,4.08%,"23,079,200"
21/10/2025,"24,200","24,200","22,900","23,300",-900,-3.72%,"36,773,600"
20/10/2025,"25,600","26,500","24,200","24,200","-1,800",-6.92%,"34,251,300"
17/10/2025,"26,300","26,600","25,800","26,000",-300,-1.14%,"27,361,500"
16/10/2025,"25,900","27,000","25,850","26,300",+800,3.14%,"29,421,600"
15/10/2025,"24,950","25,850","24,700","25,500",+600,2.41%,"26,573,600"
14/10/2025,"25,000","25,400","24,550","24,900",+250,1.01%,"36,678,900"
13/10/2025,"23,200","25,000","23,100","24,650","+1,000",4.23%,"34,968,500"
,,,,,,,
10/10/2025,"23,500","24,000","23,450","23,650",+350,1.50%,"18,678,800"
09/10/2025,"22,900","23,350","22,700","23,300",+600,2.64%,"10,994,900"
08/10/2025,"23,000","23,150","22,050","22,700",-50,-0.22%,"15,078,800"
07/10/2025,"23,200","23,350","22,750","22,750",-350,-1.52%,"11,827,300"
06/10/2025,"21,800","23,100","21,800","23,100","+1,500",6.94%,"12,762,900"
03/10/2025,"22,750","22,750","21,600","21,600","-1,300",-5.68%,"23,896,900"
02/10/2025,"23,700","23,750","22,850","22,900",-750,-3.17%,"10,738,600"
01/10/2025,"23,550","23,800","23,300","23,650",+200,0.85%,"7,610,900"
30/09/2025,"23,850","23,950","22,800","23,450",-450,-1.88%,"25,463,600"
29/09/2025,"24,550","24,900","23,850","23,900",-650,-2.65%,"20,538,200"
26/09/2025,"24,800","25,200","24,500","24,550",-250,-1.01%,"22,128,800"
25/09/2025,"25,050","25,550","24,750","24,800",-150,-0.60%,"29,514,100"
24/09/2025,"23,500","25,000","23,300","24,950","+1,300",5.50%,"28,030,100"
23/09/2025,"24,150","24,350","23,500","23,650",-350,-1.46%,"9,660,700"
22/09/2025,"23,650","24,500","23,500","24,000",+500,2.13%,"30,854,300"
19/09/2025,"23,700","24,100","23,400","23,500",+50,0.21%,"18,542,100"
18/09/2025,"23,250","23,800","22,900","23,450",+150,0.64%,"15,231,100"
17/09/2025,"23,500","23,850","23,300","23,300",-300,-1.27%,"10,724,500"
16/09/2025,"24,100","24,450","23,400","23,600",-250,-1.05%,"21,816,000"
15/09/2025,"24,000","24,400","23,600","23,850",+200,0.85%,"16,363,000"
12/09/2025,"23,550","24,350","23,450","23,650",+250,1.07%,"20,296,900"
11/09/2025,"23,150","23,550","22,400","23,400",-,-,"23,889,000"
10/09/2025,"23,700","23,950","23,100","23,400",-250,-1.06%,"14,526,100"
09/09/2025,"23,500","23,800","22,950","23,650",+250,1.07%,"21,111,600"
08/09/2025,"24,900","25,150","23,400","23,400","-1,700",-6.77%,"46,814,800"
05/09/2025,"26,200","27,200","25,050","25,100",-900,-3.46%,"38,670,200"
04/09/2025,"26,600","27,100","26,000","26,000",-250,-0.95%,"19,778,800"
03/09/2025,"24,000","26,250","23,800","26,250","+1,700",6.92%,"55,953,700"
29/08/2025,"24,700","25,450","24,500","24,550",+150,0.61%,"24,762,700"
28/08/2025,"24,850","24,850","23,950","24,400",-150,-0.61%,"28,246,700"
,,,,,,,
27/08/2025,"24,550","25,800","24,300","24,550",+150,0.61%,"41,698,300"
26/08/2025,"23,000","24,400","22,900","24,400","+1,200",5.17%,"22,727,200"
25/08/2025,"24,350","24,500","23,000","23,200",-800,-3.33%,"18,117,900"
22/08/2025,"23,300","24,900","22,150","24,000",+250,1.05%,"51,126,900"
21/08/2025,"24,300","24,850","23,750","23,750",-750,-3.06%,"27,668,400"
20/08/2025,"25,600","25,600","23,950","24,500","-1,200",-4.67%,"47,116,700"
19/08/2025,"25,800","26,700","25,100","25,700",+50,0.19%,"32,141,000"
18/08/2025,"24,000","25,650","23,600","25,650","+1,650",6.88%,"54,449,600"
15/08/2025,"24,950","24,950","23,700","24,000",-550,-2.24%,"30,630,400"
14/08/2025,"24,400","25,000","23,750","24,550",+350,1.45%,"31,149,100"
13/08/2025,"24,100","24,350","23,200","24,200",+300,1.26%,"41,278,800"
12/08/2025,"22,600","24,250","22,200","23,900","+1,200",5.29%,"43,400,200"
11/08/2025,"22,200","22,750","22,200","22,700","+1,400",6.57%,"37,343,400"
08/08/2025,"20,150","21,300","19,750","21,300","+1,350",6.77%,"46,930,100"
07/08/2025,"19,850","20,000","19,600","19,950",+450,2.31%,"17,017,600"
06/08/2025,"19,100","19,500","19,000","19,500",+500,2.63%,"11,106,900"
05/08/2025,"19,450","20,000","18,000","19,000",-200,-1.04%,"30,339,200"
04/08/2025,"18,900","19,250","18,750","19,200",+500,2.67%,"11,363,500"
01/08/2025,"19,259","19,305","18,657","18,703",-500,-2.42%,"16,907,800"
31/07/2025,"19,444","19,444","18,425","19,166",-50,-0.24%,"26,113,000"
30/07/2025,"19,166","19,537","18,657","19,212",+100,0.48%,"19,164,700"
29/07/2025,"21,203","21,203","19,120","19,120","-1,550",-6.98%,"42,194,100"
28/07/2025,"19,490","20,555","19,490","20,555","+1,450",6.99%,"44,241,000"
25/07/2025,"18,750","19,259","18,703","19,212",+550,2.72%,"20,510,900"
24/07/2025,"18,888","19,074","18,611","18,703",-,-,"14,976,300"
23/07/2025,"19,120","19,166","18,657","18,703",-200,-0.98%,"16,198,700"
22/07/2025,"18,472","18,935","18,287","18,888",+400,2.00%,"19,246,200"
21/07/2025,"19,120","19,305","18,472","18,518",-550,-2.68%,"21,598,500"
18/07/2025,"19,583","20,277","18,981","19,027",-350,-1.67%,"27,634,100"
17/07/2025,"18,657","19,814","18,518","19,351",+850,4.24%,"29,384,600"
,,,,,,,
