Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"34,250","34,350","33,800","33,950",-450,-1.31%,"2,146,100"
20/11/2025,"34,750","34,850","34,300","34,400",-300,-0.86%,"1,406,200"
19/11/2025,"34,550","34,850","34,400","34,700",+150,0.43%,"1,997,700"
18/11/2025,"34,650","35,100","34,550","34,550",-150,-0.43%,"2,769,100"
17/11/2025,"34,550","34,700","34,400","34,700",+200,0.58%,"1,654,200"
14/11/2025,"34,550","34,850","34,400","34,500",-,-,"1,409,500"
13/11/2025,"34,050","35,050","34,000","34,500",+450,1.32%,"2,597,000"
12/11/2025,"34,000","34,050","33,750","34,050",+300,0.89%,"1,081,700"
11/11/2025,"33,950","34,100","33,700","33,750",-150,-0.44%,"1,320,500"
10/11/2025,"34,150","34,400","33,900","33,900",-100,-0.29%,"1,622,400"
07/11/2025,"34,800","35,000","34,000","34,000",-750,-2.16%,"2,556,500"
06/11/2025,"35,300","35,400","34,700","34,750",-450,-1.28%,"2,001,900"
05/11/2025,"34,300","36,100","34,300","35,200","+1,000",2.92%,"4,302,700"
04/11/2025,"34,200","34,500","33,750","34,200",-100,-0.29%,"1,942,900"
03/11/2025,"35,000","35,000","34,300","34,300",-250,-0.72%,"1,161,500"
31/10/2025,"34,550","35,500","34,550","34,550",-,-,"2,937,600"
30/10/2025,"34,600","34,800","34,400","34,550",+50,0.14%,"793,900"
29/10/2025,"34,100","34,500","34,000","34,500",+450,1.32%,"1,345,200"
28/10/2025,"34,150","34,300","33,850","34,050",-100,-0.29%,"641,700"
27/10/2025,"34,800","34,800","34,150","34,150",-150,-0.44%,"776,900"
24/10/2025,"34,800","34,850","34,250","34,300",+50,0.15%,"1,108,600"
23/10/2025,"34,600","34,950","34,250","34,250",-,-,"1,270,200"
22/10/2025,"33,500","34,500","33,400","34,250",+900,2.70%,"2,047,700"
21/10/2025,"32,800","33,500","32,800","33,350",+650,1.99%,"1,522,900"
20/10/2025,"33,500","33,500","32,500","32,700",-850,-2.53%,"2,222,300"
17/10/2025,"33,700","33,750","33,450","33,550",-150,-0.45%,"1,940,900"
16/10/2025,"33,700","33,900","33,400","33,700",-,-,"1,735,700"
15/10/2025,"33,600","33,900","33,550","33,700",+100,0.30%,"1,660,100"
14/10/2025,"34,050","34,300","33,500","33,600",-450,-1.32%,"1,916,500"
13/10/2025,"33,700","34,050","33,550","34,050",-,-,"1,238,600"
,,,,,,,
10/10/2025,"34,150","34,250","33,950","34,050",-50,-0.15%,"1,171,100"
09/10/2025,"34,000","34,400","33,850","34,100",+150,0.44%,"1,216,800"
08/10/2025,"34,300","34,400","33,900","33,950",+50,0.15%,"1,039,400"
07/10/2025,"34,300","34,350","33,900","33,900",-250,-0.73%,"891,600"
06/10/2025,"34,000","34,150","33,700","34,150",+700,2.09%,"921,500"
03/10/2025,"34,150","34,150","33,300","33,450",-550,-1.62%,"2,004,500"
02/10/2025,"34,150","34,350","34,000","34,000",-150,-0.44%,"1,039,500"
01/10/2025,"34,200","34,450","34,150","34,150",-50,-0.15%,"696,000"
30/09/2025,"34,750","34,800","34,000","34,200",-550,-1.58%,"1,610,600"
29/09/2025,"35,200","35,300","34,650","34,750",-50,-0.14%,"1,020,300"
26/09/2025,"35,300","35,300","34,800","34,800",-250,-0.71%,"804,600"
25/09/2025,"35,150","35,300","35,050","35,050",+50,0.14%,"1,032,600"
24/09/2025,"34,800","35,050","34,600","35,000",+250,0.72%,"1,194,300"
23/09/2025,"35,000","35,200","34,750","34,750",-100,-0.29%,"1,169,300"
22/09/2025,"35,400","35,550","34,850","34,850",-500,-1.41%,"1,866,700"
19/09/2025,"35,550","35,750","35,300","35,350",-250,-0.70%,"2,152,000"
18/09/2025,"36,100","36,150","35,550","35,600",-500,-1.39%,"1,609,700"
17/09/2025,"36,150","36,650","36,000","36,100",+150,0.42%,"1,910,400"
16/09/2025,"36,000","36,300","35,800","35,950",+200,0.56%,"2,344,000"
15/09/2025,"36,000","36,050","35,600","35,750",+150,0.42%,"1,254,400"
12/09/2025,"35,400","36,000","35,250","35,600",+250,0.71%,"1,759,700"
11/09/2025,"35,600","35,700","34,850","35,350",-50,-0.14%,"2,030,600"
10/09/2025,"35,600","35,850","35,250","35,400",-50,-0.14%,"951,800"
09/09/2025,"35,550","35,700","35,150","35,450",-50,-0.14%,"1,657,600"
08/09/2025,"36,500","36,600","35,500","35,500","-1,100",-3.01%,"3,117,400"
05/09/2025,"36,800","37,200","36,600","36,600",-50,-0.14%,"2,740,600"
04/09/2025,"36,600","37,000","36,500","36,650",+100,0.27%,"1,443,500"
03/09/2025,"36,400","36,950","36,300","36,550",+450,1.25%,"1,410,600"
29/08/2025,"36,500","36,500","36,050","36,100",-50,-0.14%,"1,694,600"
28/08/2025,"36,450","36,800","36,100","36,150",-250,-0.69%,"1,883,600"
,,,,,,,
27/08/2025,"36,350","36,850","36,150","36,400",+50,0.14%,"1,392,400"
26/08/2025,"36,000","36,400","35,900","36,350",+500,1.39%,"1,245,400"
25/08/2025,"36,100","36,500","35,750","35,850",-100,-0.28%,"2,063,900"
22/08/2025,"36,700","36,850","35,850","35,950",-950,-2.57%,"3,927,900"
21/08/2025,"37,000","37,400","36,700","36,900",-100,-0.27%,"2,486,700"
20/08/2025,"38,300","38,350","36,650","37,000","-1,350",-3.52%,"4,907,300"
19/08/2025,"38,800","39,300","38,350","38,350",-450,-1.16%,"4,029,200"
18/08/2025,"39,200","39,350","38,450","38,800",+300,0.78%,"3,223,300"
15/08/2025,"38,000","39,750","37,700","38,500",+600,1.58%,"7,512,200"
14/08/2025,"38,400","38,400","37,550","37,900",-100,-0.26%,"2,328,900"
13/08/2025,"38,650","38,950","37,500","38,000",-500,-1.30%,"3,546,500"
12/08/2025,"38,000","38,850","37,650","38,500",+550,1.45%,"4,940,600"
11/08/2025,"38,250","38,500","37,650","37,950",-250,-0.65%,"2,344,600"
08/08/2025,"37,100","38,500","37,100","38,200","+1,100",2.96%,"6,375,200"
07/08/2025,"37,500","37,550","37,000","37,100",-350,-0.93%,"2,324,500"
06/08/2025,"36,800","37,600","36,700","37,450",+850,2.32%,"2,980,400"
05/08/2025,"36,900","37,100","36,200","36,600",-,-,"3,923,500"
04/08/2025,"36,300","36,850","36,000","36,600",+800,2.23%,"2,611,700"
01/08/2025,"36,250","36,300","35,650","35,800",-450,-1.24%,"3,046,700"
31/07/2025,"36,600","37,100","36,150","36,250",-50,-0.14%,"2,104,500"
30/07/2025,"37,000","37,000","36,200","36,300",-200,-0.55%,"3,099,700"
29/07/2025,"37,900","38,500","36,500","36,500","-1,350",-3.57%,"7,470,400"
28/07/2025,"38,150","38,200","37,700","37,850",-250,-0.66%,"3,965,000"
25/07/2025,"38,200","38,600","38,000","38,100",-,-,"2,922,100"
24/07/2025,"37,350","38,200","37,300","38,100",+850,2.28%,"4,400,700"
23/07/2025,"37,250","37,500","37,000","37,250",+100,0.27%,"2,046,600"
22/07/2025,"37,100","37,150","36,900","37,150",+50,0.13%,"1,523,400"
21/07/2025,"37,550","37,600","37,100","37,100",-200,-0.54%,"1,174,400"
18/07/2025,"37,150","37,600","37,150","37,300",+200,0.54%,"2,295,400"
17/07/2025,"37,250","37,350","37,050","37,100",-150,-0.40%,"1,791,300"
,,,,,,,
16/07/2025,"37,300","37,500","37,050","37,250",-50,-0.13%,"1,734,200"
15/07/2025,"37,500","37,700","37,300","37,300",-200,-0.53%,"1,511,400"
14/07/2025,"37,900","37,900","37,300","37,500",-200,-0.53%,"1,239,200"
11/07/2025,"37,900","37,950","37,600","37,700",-200,-0.53%,"1,223,000"
10/07/2025,"37,500","38,350","37,450","37,900",+450,1.20%,"1,682,800"
09/07/2025,"37,500","37,850","37,350","37,450",+150,0.40%,"1,348,500"
08/07/2025,"37,100","37,350","37,100","37,300",+200,0.54%,"1,229,900"
07/07/2025,"37,250","37,300","37,000","37,100",-150,-0.40%,"984,200"
04/07/2025,"37,000","37,300","37,000","37,250",+250,0.68%,"937,200"
03/07/2025,"37,200","37,400","37,000","37,000",+50,0.14%,"781,500"
02/07/2025,"36,900","37,100","36,850","36,950",+50,0.14%,"678,300"
01/07/2025,"37,250","37,250","36,900","36,900",-350,-0.94%,"1,078,100"
30/06/2025,"37,300","37,500","37,000","37,250",-50,-0.13%,"930,200"
27/06/2025,"37,100","37,600","36,950","37,300",+250,0.67%,"573,000"
26/06/2025,"37,300","37,700","36,850","37,050",-250,-0.67%,"1,507,600"
25/06/2025,"38,000","38,400","37,100","37,300",-750,-1.97%,"1,860,000"
24/06/2025,"37,800","38,900","37,800","38,050","-2,150",-5.35%,"2,964,800"
23/06/2025,"41,850","41,850","40,000","40,200","+1,050",2.68%,"3,038,400"
20/06/2025,"39,550","39,800","38,650","39,150",-400,-1.01%,"1,434,800"
19/06/2025,"39,150","39,900","38,250","39,550",+550,1.41%,"2,533,800"
18/06/2025,"40,000","40,200","39,000","39,000",-50,-0.13%,"2,508,200"
17/06/2025,"40,350","40,350","38,950","39,050","-1,250",-3.10%,"2,712,900"
16/06/2025,"40,000","40,300","38,650","40,300","+2,600",6.90%,"5,736,900"
13/06/2025,"36,100","37,700","36,100","37,700","+2,450",6.95%,"5,447,600"
12/06/2025,"35,450","35,700","35,200","35,250",+300,0.86%,"600,800"
11/06/2025,"35,500","35,500","34,950","34,950",-550,-1.55%,"897,800"
10/06/2025,"35,800","35,800","35,300","35,500",-300,-0.84%,"651,600"
09/06/2025,"36,235","36,235","35,364","35,799",-400,-1.07%,"2,188,700"
06/06/2025,"35,074","36,574","35,074","36,187","+1,300",3.60%,"3,673,900"
05/06/2025,"35,267","35,316","34,784","34,929",+50,0.14%,"1,411,300"
,,,,,,,
04/06/2025,"34,638","35,558","34,590","34,880",+400,1.12%,"2,128,200"
03/06/2025,"34,590","34,687","34,445","34,493",+50,0.14%,"1,206,000"
02/06/2025,"33,768","34,445","33,574","34,445","+1,100",3.19%,"1,837,700"
30/05/2025,"33,574","33,913","33,381","33,381",-400,-1.15%,"760,700"
29/05/2025,"34,397","34,397","33,671","33,768",-600,-1.69%,"1,258,000"
28/05/2025,"33,913","34,929","33,913","34,348",+750,2.16%,"1,771,500"
27/05/2025,"33,719","34,009","33,526","33,622",+50,0.14%,"1,033,800"
26/05/2025,"33,139","33,671","32,268","33,574",+350,1.02%,"1,114,500"
23/05/2025,"33,671","33,816","32,994","33,235",-450,-1.29%,"1,026,400"
22/05/2025,"34,155","34,155","33,526","33,671",-500,-1.42%,"813,800"
21/05/2025,"33,816","34,445","33,719","34,155",+500,1.44%,"907,400"
20/05/2025,"33,961","34,009","33,622","33,671",-300,-0.85%,"847,600"
19/05/2025,"34,542","34,590","33,913","33,961",-650,-1.82%,"1,050,100"
16/05/2025,"34,445","34,929","34,397","34,590",+200,0.56%,"1,451,300"
15/05/2025,"34,542","34,784","34,251","34,397",-150,-0.42%,"1,228,900"
14/05/2025,"34,542","35,074","34,445","34,542",+150,0.42%,"2,599,300"
13/05/2025,"34,832","34,832","34,397","34,397",+50,0.14%,"1,535,800"
12/05/2025,"34,009","34,542","34,009","34,348",+350,1.00%,"1,724,800"
09/05/2025,"34,542","34,638","33,864","34,009",-550,-1.54%,"1,594,600"
08/05/2025,"32,123","34,638","32,123","34,542","+2,200",6.57%,"4,092,900"
07/05/2025,"31,929","32,703","31,929","32,413",-400,-1.18%,"2,037,600"
06/05/2025,"32,800","33,477","32,607","32,800",+250,0.74%,"1,536,800"
05/05/2025,"32,655","32,655","32,123","32,558",-250,-0.74%,"657,900"
29/04/2025,"32,703","32,897","32,703","32,800",+100,0.30%,"501,900"
28/04/2025,"33,139","33,139","32,558","32,703",-450,-1.31%,"607,800"
25/04/2025,"32,607","33,332","32,558","33,139",+600,1.78%,"1,458,100"
24/04/2025,"32,510","33,139","32,510","32,558",+200,0.60%,"934,400"
23/04/2025,"32,607","32,703","32,074","32,365",+350,1.06%,"794,900"
22/04/2025,"32,703","32,703","30,429","32,026",-700,-2.07%,"1,192,700"
21/04/2025,"32,897","33,139","32,413","32,703",-200,-0.59%,"417,900"
,,,,,,,
18/04/2025,"33,139","33,332","32,897","32,897",+150,0.44%,"607,000"
17/04/2025,"31,881","32,800","31,687","32,752",+850,2.58%,"801,800"
16/04/2025,"32,510","32,994","31,929","31,929",-600,-1.79%,"1,204,700"
15/04/2025,"33,381","33,622","32,510","32,510","-1,250",-3.59%,"1,652,500"
14/04/2025,"34,155","34,203","33,284","33,719",-500,-1.41%,"1,580,500"
11/04/2025,"34,251","34,251","32,365","34,203","+2,250",6.80%,"3,676,400"
10/04/2025,"32,026","32,026","32,026","32,026","+2,150",6.95%,"241,400"
09/04/2025,"29,946","32,026","29,946","29,946","-2,300",-6.92%,"2,654,100"
08/04/2025,"32,365","33,768","32,171","32,171","-2,450",-6.86%,"1,900,200"
04/04/2025,"33,671","34,542","33,671","34,542","-1,700",-4.55%,"4,400,600"
03/04/2025,"36,961","37,928","36,187","36,187","-2,800",-6.97%,"2,895,800"
02/04/2025,"39,089","39,089","38,702","38,896",-100,-0.25%,"349,700"
01/04/2025,"38,557","38,992","38,412","38,992",+750,1.90%,"565,000"
31/03/2025,"38,315","38,364","37,783","38,267",-250,-0.63%,"1,019,000"
