Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"46,950","46,950","46,500","46,700",-350,-0.74%,"542,300"
20/11/2025,"47,400","47,500","46,950","47,050",+50,0.11%,"776,700"
19/11/2025,"47,200","47,200","46,900","47,000",-200,-0.42%,"665,000"
18/11/2025,"47,300","47,500","46,800","47,200",-50,-0.11%,"623,200"
17/11/2025,"47,100","47,600","47,100","47,250",+150,0.32%,"1,032,700"
14/11/2025,"47,400","47,550","47,050","47,100",-300,-0.63%,"842,800"
13/11/2025,"47,100","47,550","46,850","47,400",+450,0.96%,"1,122,200"
12/11/2025,"46,800","47,100","46,600","46,950",+150,0.32%,"753,600"
11/11/2025,"45,950","47,250","45,900","46,800",+800,1.74%,"1,271,900"
10/11/2025,"46,200","46,350","46,000","46,000",-100,-0.22%,"515,600"
07/11/2025,"45,900","46,400","45,900","46,100",-50,-0.11%,"560,000"
06/11/2025,"46,000","46,300","45,900","46,150",-50,-0.11%,"543,600"
05/11/2025,"46,300","46,350","45,950","46,200",-50,-0.11%,"566,500"
04/11/2025,"46,450","46,450","45,500","46,250",-50,-0.11%,"851,500"
03/11/2025,"45,800","46,650","45,750","46,300",+450,0.98%,"858,900"
31/10/2025,"45,850","45,900","45,600","45,850",+150,0.33%,"575,000"
30/10/2025,"45,900","45,900","45,400","45,700",-50,-0.11%,"623,700"
29/10/2025,"45,800","46,000","45,450","45,750",+300,0.66%,"762,700"
28/10/2025,"45,450","45,650","45,350","45,450",-,-,"405,600"
27/10/2025,"45,500","45,750","45,200","45,450",+300,0.66%,"691,600"
24/10/2025,"45,500","45,500","45,000","45,150",-300,-0.66%,"354,200"
23/10/2025,"44,800","45,650","44,550","45,450",+650,1.45%,"730,200"
22/10/2025,"44,450","44,800","44,250","44,800",+350,0.79%,"390,300"
21/10/2025,"44,150","44,500","44,000","44,450",+450,1.02%,"806,800"
20/10/2025,"45,050","45,250","44,000","44,000","-1,250",-2.76%,"961,100"
17/10/2025,"45,200","45,500","44,900","45,250",+50,0.11%,"825,800"
16/10/2025,"45,300","45,600","45,100","45,200",-50,-0.11%,"467,500"
15/10/2025,"45,450","45,700","45,250","45,250",-150,-0.33%,"544,100"
14/10/2025,"45,800","45,950","45,400","45,400",-550,-1.20%,"579,100"
13/10/2025,"45,500","45,950","45,350","45,950",+100,0.22%,"521,600"
,,,,,,,
10/10/2025,"45,600","45,950","45,550","45,850",+250,0.55%,"481,500"
09/10/2025,"46,000","46,050","45,550","45,600",-350,-0.76%,"557,300"
08/10/2025,"46,300","46,400","45,950","45,950",-50,-0.11%,"517,900"
07/10/2025,"46,450","46,450","45,900","46,000",-150,-0.33%,"690,800"
06/10/2025,"46,050","46,200","45,700","46,150",+600,1.32%,"894,200"
03/10/2025,"45,450","45,800","45,400","45,550",+150,0.33%,"425,600"
02/10/2025,"45,400","45,750","45,400","45,400",+100,0.22%,"696,400"
01/10/2025,"45,300","45,550","45,200","45,300",+100,0.22%,"324,100"
30/09/2025,"45,500","45,600","45,150","45,200",-300,-0.66%,"553,000"
29/09/2025,"45,700","45,700","45,350","45,500",-150,-0.33%,"571,100"
26/09/2025,"46,050","46,050","45,650","45,650",-200,-0.44%,"480,800"
25/09/2025,"46,150","46,250","45,750","45,850",-250,-0.54%,"468,600"
24/09/2025,"45,900","46,100","45,500","46,100",+300,0.66%,"503,600"
23/09/2025,"45,800","46,100","45,650","45,800",+100,0.22%,"447,500"
22/09/2025,"46,100","46,450","45,500","45,700",-300,-0.65%,"1,354,200"
19/09/2025,"46,950","46,950","46,000","46,000",-800,-1.71%,"1,385,500"
18/09/2025,"47,450","47,550","46,700","46,800",-500,-1.06%,"1,010,400"
17/09/2025,"47,800","48,150","47,300","47,300",-500,-1.05%,"983,000"
16/09/2025,"46,950","48,150","46,600","47,800","+1,100",2.36%,"2,744,100"
15/09/2025,"46,950","47,000","46,650","46,700",+50,0.11%,"507,500"
12/09/2025,"46,300","47,400","46,300","46,650",+250,0.54%,"1,050,800"
11/09/2025,"46,400","46,500","45,700","46,400",+150,0.32%,"705,600"
10/09/2025,"46,500","46,600","46,150","46,250",-50,-0.11%,"506,700"
09/09/2025,"46,750","46,800","46,200","46,300",-500,-1.07%,"858,200"
08/09/2025,"47,500","47,550","46,750","46,800",-500,-1.06%,"869,100"
05/09/2025,"47,250","47,500","47,100","47,300",+200,0.42%,"1,242,400"
04/09/2025,"46,500","47,200","46,350","47,100",+750,1.62%,"1,013,000"
03/09/2025,"46,600","46,600","46,250","46,350",-200,-0.43%,"558,900"
29/08/2025,"46,800","46,900","46,550","46,550",-,-,"788,100"
28/08/2025,"46,000","46,650","46,000","46,550",+550,1.20%,"545,500"
,,,,,,,
27/08/2025,"46,100","46,300","45,850","46,000",+100,0.22%,"1,209,900"
26/08/2025,"45,600","45,900","45,450","45,900",+300,0.66%,"696,900"
25/08/2025,"45,800","46,000","45,500","45,600",-200,-0.44%,"990,900"
22/08/2025,"46,500","46,600","45,700","45,800",-800,-1.72%,"1,847,600"
21/08/2025,"46,550","46,900","46,300","46,600",-150,-0.32%,"1,406,200"
20/08/2025,"47,150","47,150","46,550","46,750",-400,-0.85%,"1,212,700"
19/08/2025,"47,250","47,350","47,050","47,150",-,-,"1,046,500"
18/08/2025,"47,550","47,750","47,150","47,150",-350,-0.74%,"962,200"
15/08/2025,"47,950","47,950","47,400","47,500",-400,-0.84%,"1,553,000"
14/08/2025,"48,100","48,100","47,750","47,900",-50,-0.10%,"1,143,800"
13/08/2025,"48,450","48,450","47,850","47,950",-350,-0.72%,"1,126,700"
12/08/2025,"48,400","48,550","48,200","48,300",+100,0.21%,"1,258,100"
11/08/2025,"48,000","48,550","48,000","48,200",+350,0.73%,"1,467,500"
08/08/2025,"47,700","48,150","47,600","47,850",+150,0.31%,"930,800"
07/08/2025,"48,000","48,000","47,550","47,700",-100,-0.21%,"860,100"
06/08/2025,"47,600","48,150","47,350","47,800",+300,0.63%,"980,700"
05/08/2025,"48,100","48,200","47,400","47,500",-600,-1.25%,"2,101,200"
04/08/2025,"48,000","48,100","47,650","48,100",+150,0.31%,"804,800"
01/08/2025,"47,700","48,050","47,700","47,950",+300,0.63%,"1,031,600"
31/07/2025,"47,700","48,400","47,500","47,650",+50,0.11%,"1,914,100"
30/07/2025,"47,400","47,800","47,350","47,600",+250,0.53%,"2,020,500"
29/07/2025,"49,300","49,500","47,350","47,350","-1,950",-3.96%,"2,638,000"
28/07/2025,"49,350","49,500","48,900","49,300",+200,0.41%,"2,668,300"
25/07/2025,"49,000","49,100","48,850","49,100",+100,0.20%,"1,335,000"
24/07/2025,"48,950","50,000","48,700","49,000",+400,0.82%,"2,245,700"
23/07/2025,"47,850","48,900","47,500","48,600",+800,1.67%,"2,660,200"
22/07/2025,"47,750","47,900","47,500","47,800",+100,0.21%,"797,900"
21/07/2025,"48,050","48,350","47,700","47,700",-500,-1.04%,"1,645,300"
18/07/2025,"48,550","48,550","48,000","48,200",-200,-0.41%,"1,338,400"
17/07/2025,"48,050","48,700","47,850","48,400",+400,0.83%,"2,042,400"
,,,,,,,
16/07/2025,"48,050","48,150","47,650","48,000",-50,-0.10%,"1,366,400"
15/07/2025,"48,000","48,900","47,950","48,050",+50,0.10%,"2,151,700"
14/07/2025,"48,150","48,350","47,650","48,000",-150,-0.31%,"1,272,000"
11/07/2025,"48,100","48,250","47,500","48,150",+50,0.10%,"2,444,000"
10/07/2025,"47,700","48,350","47,700","48,100",+450,0.94%,"2,150,900"
09/07/2025,"47,000","47,750","46,900","47,650",+800,1.71%,"2,602,200"
08/07/2025,"46,450","46,850","46,450","46,850",+450,0.97%,"1,639,400"
07/07/2025,"46,500","46,650","46,300","46,400",-,-,"1,320,400"
04/07/2025,"46,600","46,600","46,300","46,400",+150,0.32%,"848,400"
03/07/2025,"46,400","46,600","46,250","46,250",-150,-0.32%,"1,535,400"
02/07/2025,"46,500","46,500","46,100","46,400",-150,-0.32%,"1,099,500"
01/07/2025,"47,000","47,000","46,500","46,550",-450,-0.96%,"904,400"
30/06/2025,"47,600","47,750","46,900","47,000",-600,-1.26%,"1,923,100"
27/06/2025,"47,599","47,882","47,317","47,599",+100,0.20%,"3,074,500"
26/06/2025,"47,694","47,788","47,317","47,505",+200,0.40%,"1,366,600"
25/06/2025,"46,424","47,505","46,424","47,317",+650,1.31%,"1,835,000"
24/06/2025,"46,565","46,706","46,424","46,706",+400,0.81%,"857,200"
23/06/2025,"46,283","46,518","46,188","46,330",-250,-0.51%,"1,207,000"
20/06/2025,"46,565","46,659","46,377","46,565",+50,0.10%,"1,058,600"
19/06/2025,"46,753","46,894","46,283","46,518",-50,-0.10%,"1,097,900"
18/06/2025,"46,988","47,129","46,565","46,565",-450,-0.90%,"1,444,100"
17/06/2025,"46,659","47,788","46,612","46,988",+400,0.81%,"1,578,900"
16/06/2025,"46,094","46,753","46,094","46,612",+450,0.92%,"1,123,600"
13/06/2025,"46,471","46,471","46,000","46,188",-350,-0.71%,"1,034,900"
12/06/2025,"46,188","46,659","46,188","46,518",+450,0.92%,"778,300"
11/06/2025,"46,000","46,188","45,953","46,094",+150,0.31%,"420,400"
10/06/2025,"46,330","46,330","45,906","45,953",-,-,"991,500"
09/06/2025,"46,141","46,471","45,953","45,953",-200,-0.41%,"996,500"
06/06/2025,"46,565","46,800","46,141","46,141",-450,-0.91%,"901,000"
05/06/2025,"47,035","47,223","46,565","46,565",-600,-1.20%,"1,665,000"
,,,,,,,
04/06/2025,"46,659","47,694","46,612","47,129",+600,1.21%,"1,590,800"
03/06/2025,"46,283","46,612","46,283","46,565",+350,0.71%,"761,000"
02/06/2025,"45,859","46,424","45,671","46,235",+400,0.82%,"676,400"
30/05/2025,"46,330","46,377","45,812","45,859",-500,-1.02%,"1,845,100"
29/05/2025,"46,565","46,847","46,330","46,330",-200,-0.40%,"880,000"
28/05/2025,"46,659","46,753","46,330","46,518",-,-,"670,900"
27/05/2025,"46,800","46,800","46,471","46,518",-,-,"697,800"
26/05/2025,"46,941","46,941","45,812","46,518",-,-,"788,800"
23/05/2025,"46,706","46,753","46,377","46,518",-200,-0.40%,"503,500"
22/05/2025,"46,659","46,753","46,471","46,706",+50,0.10%,"866,900"
