Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"34,500","34,500","33,500","34,250",-350,-1.01%,"8,560,200"
20/11/2025,"34,850","35,000","34,600","34,600",-200,-0.57%,"6,941,100"
19/11/2025,"35,400","35,400","34,750","34,800",-550,-1.56%,"6,830,700"
18/11/2025,"35,200","35,350","34,950","35,350",+200,0.57%,"8,594,800"
17/11/2025,"35,100","35,250","34,700","35,150",+50,0.14%,"9,499,500"
14/11/2025,"34,800","35,350","34,700","35,100",-,-,"5,603,100"
13/11/2025,"34,650","35,500","34,600","35,100",+100,0.29%,"12,530,800"
12/11/2025,"33,700","35,000","33,600","35,000","+1,350",4.01%,"12,025,800"
11/11/2025,"33,450","34,000","33,350","33,650",+250,0.75%,"11,239,700"
10/11/2025,"33,300","33,600","32,950","33,400",+400,1.21%,"8,793,300"
07/11/2025,"33,600","33,950","33,000","33,000",-600,-1.79%,"16,083,600"
06/11/2025,"34,150","34,500","33,500","33,600",-500,-1.47%,"13,684,100"
05/11/2025,"34,900","34,900","34,050","34,100",-900,-2.57%,"11,242,500"
04/11/2025,"33,600","35,200","33,450","35,000","+1,400",4.17%,"16,062,100"
03/11/2025,"35,100","35,500","33,600","33,600","-1,500",-4.27%,"16,737,200"
31/10/2025,"35,700","36,200","35,100","35,100",-600,-1.68%,"12,256,900"
30/10/2025,"36,500","36,600","35,600","35,700",-700,-1.92%,"10,507,900"
29/10/2025,"35,900","36,900","35,650","36,400",+400,1.11%,"13,116,300"
28/10/2025,"35,050","36,400","34,000","36,000",+950,2.71%,"26,134,800"
27/10/2025,"36,300","36,500","35,050","35,050","-1,050",-2.91%,"15,906,600"
24/10/2025,"37,000","37,000","36,050","36,100","-1,150",-3.09%,"23,396,700"
23/10/2025,"38,050","38,050","36,800","37,250",-750,-1.97%,"15,619,200"
22/10/2025,"38,100","38,150","36,400","38,000",+350,0.93%,"15,701,400"
21/10/2025,"38,100","38,450","36,500","37,650",-200,-0.53%,"28,577,600"
20/10/2025,"40,650","40,650","37,850","37,850","-2,800",-6.89%,"30,048,800"
