Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"59,100","59,200","58,700","59,000",-400,-0.67%,"3,452,400"
20/11/2025,"59,600","59,700","59,200","59,400",-,-,"2,259,400"
19/11/2025,"59,900","60,100","59,300","59,400",-500,-0.83%,"2,896,200"
18/11/2025,"60,400","60,400","59,800","59,900",-300,-0.50%,"2,158,800"
17/11/2025,"60,000","60,400","59,900","60,200",+200,0.33%,"1,585,600"
14/11/2025,"59,800","60,400","59,400","60,000",+200,0.33%,"2,069,600"
13/11/2025,"59,500","60,000","59,200","59,800",+300,0.50%,"2,113,500"
12/11/2025,"59,100","59,700","59,000","59,500",+600,1.02%,"2,012,700"
11/11/2025,"59,100","59,600","58,800","58,900",+100,0.17%,"2,540,900"
10/11/2025,"59,400","59,700","58,800","58,800",-500,-0.84%,"2,316,500"
07/11/2025,"60,000","60,000","59,000","59,300","-1,000",-1.66%,"3,586,300"
06/11/2025,"60,900","61,300","60,200","60,300",-500,-0.82%,"2,821,200"
05/11/2025,"60,000","61,100","59,900","60,800",+700,1.16%,"4,601,700"
04/11/2025,"59,200","60,400","59,100","60,100",+800,1.35%,"2,952,400"
03/11/2025,"60,000","60,300","59,300","59,300",-300,-0.50%,"2,800,100"
31/10/2025,"60,800","60,800","59,600","59,600","-1,000",-1.65%,"2,117,800"
30/10/2025,"61,000","61,200","60,300","60,600",-100,-0.16%,"1,946,600"
29/10/2025,"60,000","61,000","59,800","60,700",+700,1.17%,"3,716,000"
28/10/2025,"59,200","60,200","59,100","60,000",+800,1.35%,"2,789,700"
27/10/2025,"60,000","60,000","59,200","59,200",-300,-0.50%,"2,640,000"
24/10/2025,"59,800","59,900","58,800","59,500",-300,-0.50%,"4,372,700"
23/10/2025,"58,900","60,300","58,900","59,800",+200,0.34%,"4,227,100"
22/10/2025,"60,100","60,200","58,500","59,600",+300,0.51%,"4,664,800"
21/10/2025,"59,700","60,700","59,300","59,300",-100,-0.17%,"8,416,700"
20/10/2025,"61,800","62,200","58,600","59,400","-2,500",-4.04%,"12,115,600"
17/10/2025,"62,900","62,900","61,800","61,900","-1,000",-1.59%,"5,405,900"
16/10/2025,"62,700","63,000","62,500","62,900",+400,0.64%,"4,634,400"
15/10/2025,"63,100","63,400","62,500","62,500",-600,-0.95%,"5,218,800"
14/10/2025,"63,500","64,000","62,900","63,100",-,-,"7,008,900"
13/10/2025,"63,400","63,800","62,800","63,100","-1,100",-1.71%,"7,992,500"
,,,,,,,
10/10/2025,"63,900","64,400","63,600","64,200",+400,0.63%,"4,985,600"
09/10/2025,"64,500","65,200","63,800","63,800",-800,-1.24%,"5,734,200"
08/10/2025,"64,200","64,900","63,600","64,600",+900,1.41%,"8,113,800"
07/10/2025,"64,100","64,100","63,300","63,700",-300,-0.47%,"4,229,300"
06/10/2025,"62,800","64,000","62,800","64,000","+2,300",3.73%,"7,461,700"
03/10/2025,"62,000","62,000","61,400","61,700",-,-,"2,821,100"
02/10/2025,"61,947","62,642","61,649","61,649",-300,-0.48%,"3,757,500"
01/10/2025,"62,245","62,245","61,550","61,947",+400,0.65%,"3,227,000"
30/09/2025,"62,344","62,444","61,352","61,550",-600,-0.96%,"4,294,100"
29/09/2025,"62,444","62,444","61,947","62,146",-400,-0.63%,"3,220,900"
26/09/2025,"62,742","62,940","62,444","62,543",-,-,"4,021,900"
25/09/2025,"62,841","62,940","62,245","62,543",+300,0.48%,"4,075,300"
24/09/2025,"61,947","62,245","61,352","62,245",+500,0.80%,"3,919,200"
23/09/2025,"61,947","62,642","61,749","61,749",+200,0.32%,"3,806,300"
22/09/2025,"62,543","62,742","61,352","61,550","-1,000",-1.59%,"6,101,300"
19/09/2025,"63,734","64,032","62,543","62,543",-900,-1.41%,"7,137,700"
18/09/2025,"64,429","64,429","63,139","63,436",-900,-1.39%,"8,803,400"
17/09/2025,"65,025","65,323","64,330","64,330",-800,-1.22%,"6,266,800"
16/09/2025,"65,521","66,117","65,124","65,124",-200,-0.30%,"6,820,401"
15/09/2025,"65,521","65,521","65,025","65,323",-,-,"12,016,900"
12/09/2025,"65,720","65,720","64,528","65,323",+100,0.15%,"5,694,200"
11/09/2025,"65,124","65,521","63,734","65,223",-100,-0.15%,"6,631,100"
10/09/2025,"65,124","65,521","64,330","65,323",+900,1.39%,"5,006,400"
09/09/2025,"65,025","65,720","64,032","64,429",-400,-0.61%,"6,437,300"
08/09/2025,"66,613","67,010","64,826","64,826","-2,200",-3.26%,"11,249,800"
05/09/2025,"68,996","69,095","67,010","67,010","-1,400",-2.03%,"11,292,800"
04/09/2025,"67,010","68,499","66,415","68,400","+1,900",2.84%,"9,032,100"
03/09/2025,"68,301","68,301","66,514","66,514","-1,600",-2.33%,"14,561,900"
29/08/2025,"68,698","69,592","68,003","68,102",-400,-0.58%,"14,696,101"
28/08/2025,"68,996","70,088","68,202","68,499",-100,-0.14%,"9,344,400"
,,,,,,,
27/08/2025,"64,528","68,599","64,528","68,599","+4,500",6.97%,"33,198,100"
26/08/2025,"63,139","64,528","62,444","64,131","+1,000",1.57%,"8,201,400"
25/08/2025,"65,323","65,323","62,940","63,139","-1,000",-1.55%,"7,867,800"
22/08/2025,"63,536","66,713","63,238","64,131",+400,0.62%,"19,157,300"
21/08/2025,"62,841","64,528","62,841","63,734","+1,200",1.90%,"9,909,300"
20/08/2025,"64,032","64,131","61,749","62,543","-1,200",-1.87%,"10,750,600"
19/08/2025,"64,032","64,926","63,734","63,734",-300,-0.47%,"9,408,400"
