Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"96,100","99,300","96,100","99,300","+1,500",1.53%,"3,947,400"
20/11/2025,"96,700","98,400","96,000","97,800",+900,0.93%,"3,350,300"
19/11/2025,"96,900","96,900","95,300","96,900",-100,-0.10%,"3,741,200"
18/11/2025,"95,700","97,000","94,000","97,000","+2,000",2.11%,"3,666,000"
17/11/2025,"94,000","96,300","94,000","95,000","+1,100",1.17%,"4,096,000"
14/11/2025,"93,000","93,900","90,500","93,900",+600,0.64%,"3,280,400"
13/11/2025,"94,500","94,900","91,600","93,300",-700,-0.74%,"4,292,000"
12/11/2025,"90,100","95,000","90,100","94,000","+4,000",4.44%,"4,720,500"
11/11/2025,"86,900","91,400","86,900","90,000","+3,100",3.57%,"8,465,600"
10/11/2025,"90,200","92,000","86,900","86,900","-5,100",-5.54%,"6,349,200"
07/11/2025,"97,500","98,000","92,000","92,000","-6,900",-6.98%,"9,791,200"
06/11/2025,"99,600","101,500","97,600","98,900",-700,-0.70%,"4,590,300"
05/11/2025,"101,200","101,700","99,500","99,600",-600,-0.60%,"3,054,600"
04/11/2025,"98,400","102,000","98,400","100,200","+1,700",1.73%,"4,564,100"
03/11/2025,"99,600","101,400","97,800","98,500",-700,-0.71%,"5,083,100"
31/10/2025,"103,800","103,800","99,200","99,200","-4,800",-4.62%,"6,461,300"
30/10/2025,"103,800","105,000","100,800","104,000",+200,0.19%,"3,691,300"
29/10/2025,"107,100","107,100","102,700","103,800","-3,200",-2.99%,"3,681,700"
28/10/2025,"104,200","107,000","99,100","107,000",+500,0.47%,"13,561,200"
27/10/2025,"115,000","116,000","106,500","106,500","-8,000",-6.99%,"7,164,300"
24/10/2025,"114,600","116,800","112,500","114,500",-500,-0.43%,"5,136,500"
23/10/2025,"113,000","117,100","111,200","115,000","+2,000",1.77%,"6,383,900"
22/10/2025,"112,000","113,000","104,000","113,000","+2,100",1.89%,"7,701,600"
21/10/2025,"109,000","115,000","106,900","110,900","+2,900",2.69%,"8,238,300"
20/10/2025,"114,000","115,000","108,000","108,000","-8,000",-6.90%,"11,634,800"
17/10/2025,"122,000","122,000","114,600","116,000","-6,000",-4.92%,"12,213,500"
16/10/2025,"123,800","123,800","120,400","122,000","-2,000",-1.61%,"9,475,900"
15/10/2025,"127,500","127,600","122,600","124,000","-3,000",-2.36%,"7,059,300"
14/10/2025,"124,500","131,500","124,500","127,000","+2,800",2.25%,"13,660,200"
13/10/2025,"123,000","126,000","122,100","124,200","+1,200",0.98%,"12,312,200"
,,,,,,,
10/10/2025,"118,000","123,000","116,000","123,000","+8,000",6.96%,"9,026,200"
09/10/2025,"108,300","115,000","108,100","115,000","+7,500",6.98%,"12,892,200"
08/10/2025,"103,500","107,500","101,200","107,500","+4,400",4.27%,"8,989,300"
07/10/2025,"103,000","104,600","102,200","103,100",+400,0.39%,"6,428,600"
06/10/2025,"103,900","103,900","100,500","102,700","+2,700",2.70%,"5,972,800"
03/10/2025,"98,600","100,000","96,000","100,000","+1,400",1.42%,"4,683,200"
02/10/2025,"101,200","102,000","98,600","98,600","-2,600",-2.57%,"5,821,100"
01/10/2025,"103,000","104,500","100,800","101,200","-1,800",-1.75%,"3,503,500"
30/09/2025,"102,500","105,800","102,100","103,000","+1,100",1.08%,"4,878,500"
29/09/2025,"98,900","105,300","97,600","101,900","+2,900",2.93%,"6,464,700"
26/09/2025,"99,800","101,500","98,500","99,000",-500,-0.50%,"3,791,000"
25/09/2025,"97,000","99,900","96,100","99,500","+1,500",1.53%,"4,715,400"
24/09/2025,"97,800","98,400","95,300","98,000",-700,-0.71%,"4,722,500"
23/09/2025,"98,200","99,100","96,500","98,700",-800,-0.80%,"3,232,500"
22/09/2025,"101,800","103,200","94,600","99,500","-2,200",-2.16%,"10,796,100"
19/09/2025,"104,000","104,200","99,800","101,700","-1,800",-1.74%,"7,550,700"
18/09/2025,"104,100","108,200","102,500","103,500",+600,0.58%,"5,719,900"
17/09/2025,"102,000","104,400","101,200","102,900",+200,0.19%,"3,422,000"
16/09/2025,"104,700","104,700","102,700","102,700","-1,800",-1.72%,"2,008,200"
15/09/2025,"104,000","104,700","102,500","104,500","-1,000",-0.95%,"2,942,600"
12/09/2025,"104,100","106,000","103,000","105,500",-400,-0.38%,"2,393,700"
11/09/2025,"100,900","106,000","100,100","105,900","+4,100",4.03%,"4,046,000"
10/09/2025,"101,500","102,400","99,700","101,800",+400,0.39%,"3,897,900"
09/09/2025,"100,000","101,400","98,800","101,400","+1,400",1.40%,"2,851,500"
08/09/2025,"99,000","101,000","98,800","100,000",-,-,"3,227,000"
05/09/2025,"100,500","103,500","100,000","100,000","-2,300",-2.25%,"4,185,500"
04/09/2025,"102,000","102,500","99,200","102,300",-400,-0.39%,"5,504,100"
03/09/2025,"103,100","103,700","101,000","102,700","-1,800",-1.72%,"3,215,200"
29/08/2025,"104,600","104,800","102,500","104,500",-100,-0.10%,"4,250,800"
28/08/2025,"104,600","106,000","101,800","104,600",-,-,"3,292,800"
,,,,,,,
27/08/2025,"105,300","106,900","102,100","104,600",-600,-0.57%,"3,023,700"
26/08/2025,"98,400","105,200","97,000","105,200","+6,800",6.91%,"6,413,000"
