Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"226,200","231,100","222,000","229,700","+1,700",0.75%,"2,778,400"
20/11/2025,"220,900","230,000","220,000","228,000","+7,500",3.40%,"2,828,600"
19/11/2025,"220,000","225,000","219,000","220,500",+500,0.23%,"2,328,900"
18/11/2025,"217,000","221,000","215,500","220,000","+3,000",1.38%,"3,027,200"
17/11/2025,"212,000","221,100","212,000","217,000","+6,000",2.84%,"3,889,800"
14/11/2025,"210,800","211,300","208,100","211,000",-200,-0.09%,"2,083,100"
13/11/2025,"210,000","215,800","209,200","211,200",-,-,"3,061,500"
12/11/2025,"199,600","211,200","199,600","211,200","+10,200",5.07%,"3,885,100"
11/11/2025,"199,000","203,900","198,700","201,000","+2,000",1.01%,"4,226,300"
10/11/2025,"198,800","204,000","193,300","199,000",-700,-0.35%,"2,785,800"
07/11/2025,"205,000","207,900","199,700","199,700","-8,100",-3.90%,"3,701,700"
06/11/2025,"206,000","211,500","203,800","207,800","+1,300",0.63%,"4,605,200"
05/11/2025,"201,000","208,000","198,500","206,500","+5,500",2.74%,"2,136,600"
04/11/2025,"198,000","204,900","196,100","201,000","+5,600",2.87%,"2,514,100"
03/11/2025,"191,100","199,500","186,000","195,400","+4,400",2.30%,"3,627,000"
31/10/2025,"202,000","203,700","191,000","191,000","-13,100",-6.42%,"7,461,600"
30/10/2025,"210,500","211,800","201,500","204,100","-7,900",-3.73%,"3,772,500"
29/10/2025,"219,000","219,000","211,900","212,000","-8,100",-3.68%,"2,739,200"
28/10/2025,"213,500","220,600","199,100","220,100","+6,100",2.85%,"5,205,500"
27/10/2025,"222,900","226,500","214,000","214,000","-5,000",-2.28%,"3,889,100"
24/10/2025,"215,400","222,900","215,100","219,000","+4,000",1.86%,"3,412,900"
23/10/2025,"202,900","215,500","200,000","215,000","+12,000",5.91%,"4,761,200"
22/10/2025,"204,000","204,000","193,000","203,000",-400,-0.20%,"4,196,300"
21/10/2025,"202,000","204,900","193,700","203,400","+8,500",4.36%,"3,700,400"
20/10/2025,"200,000","204,500","190,000","194,900","-9,100",-4.46%,"5,671,000"
17/10/2025,"214,100","214,600","199,900","204,000","-9,100",-4.27%,"5,615,100"
16/10/2025,"210,000","217,600","205,900","213,100","+3,600",1.72%,"5,217,400"
15/10/2025,"214,100","214,900","206,000","209,500","-2,400",-1.13%,"3,752,400"
14/10/2025,"215,900","219,700","206,900","211,900","+6,500",3.16%,"8,065,500"
13/10/2025,"193,900","205,400","193,900","205,400","+13,400",6.98%,"7,178,300"
,,,,,,,
10/10/2025,"178,500","192,000","178,500","192,000","+12,500",6.96%,"4,294,700"
09/10/2025,"177,000","181,600","176,300","179,500","+1,400",0.79%,"4,131,300"
08/10/2025,"179,000","180,900","175,200","178,100","-1,900",-1.06%,"3,256,600"
07/10/2025,"181,100","182,000","178,000","180,000",+300,0.17%,"2,368,100"
06/10/2025,"186,800","186,800","176,500","179,700","+3,200",1.81%,"2,398,200"
03/10/2025,"172,000","179,300","171,100","176,500","+5,500",3.22%,"4,892,400"
02/10/2025,"168,800","175,700","168,800","171,000","+1,000",0.59%,"2,381,100"
01/10/2025,"174,900","175,000","167,800","170,000","-4,900",-2.80%,"2,643,100"
30/09/2025,"173,500","183,000","173,500","174,900","+2,100",1.22%,"4,674,600"
29/09/2025,"162,300","174,800","161,000","172,800","+8,800",5.37%,"2,445,600"
26/09/2025,"158,000","164,900","156,000","164,000","+6,000",3.80%,"2,709,300"
25/09/2025,"149,000","158,000","146,900","158,000","+9,000",6.04%,"2,820,700"
24/09/2025,"149,000","152,000","145,600","149,000",-200,-0.13%,"1,753,900"
23/09/2025,"148,000","150,100","145,600","149,200",+400,0.27%,"1,426,200"
22/09/2025,"149,700","154,200","143,900","148,800","-4,400",-2.87%,"5,112,200"
19/09/2025,"145,000","153,200","143,000","153,200","+8,200",5.66%,"5,615,300"
18/09/2025,"143,500","149,900","141,500","145,000","+1,900",1.33%,"4,389,200"
17/09/2025,"133,500","143,900","133,400","143,100","+8,100",6.00%,"3,984,900"
16/09/2025,"137,800","137,800","133,900","135,000","-2,800",-2.03%,"2,920,100"
15/09/2025,"137,700","137,800","134,800","137,800",-,-,"2,142,000"
12/09/2025,"136,000","138,100","134,100","137,800","+1,800",1.32%,"1,964,200"
11/09/2025,"130,000","137,500","129,100","136,000","+5,100",3.90%,"3,017,000"
10/09/2025,"129,200","131,000","127,000","130,900","+1,700",1.32%,"1,985,100"
09/09/2025,"125,000","129,600","124,100","129,200","+4,200",3.36%,"2,659,700"
08/09/2025,"125,100","128,000","125,000","125,000",-,-,"2,203,500"
05/09/2025,"125,200","129,800","125,000","125,000",-,-,"2,141,000"
04/09/2025,"125,000","126,000","123,000","125,000",-,-,"1,988,700"
03/09/2025,"127,100","128,200","124,500","125,000","-3,300",-2.57%,"2,287,100"
