Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"60,300","60,700","59,700","59,900",-800,-1.32%,"4,191,100"
20/11/2025,"61,400","61,600","60,500","60,700",-200,-0.33%,"2,656,100"
19/11/2025,"60,700","61,900","60,500","60,900",+200,0.33%,"4,458,500"
18/11/2025,"62,000","62,300","60,500","60,700","-1,400",-2.25%,"5,559,900"
17/11/2025,"62,900","63,300","61,800","62,100",-700,-1.11%,"4,198,400"
14/11/2025,"61,700","63,300","61,600","62,800","+1,000",1.62%,"10,146,900"
13/11/2025,"59,800","62,000","59,700","61,800","+2,000",3.34%,"9,741,800"
12/11/2025,"58,800","60,000","58,500","59,800",+900,1.53%,"5,161,900"
11/11/2025,"57,000","59,000","57,000","58,900","+1,900",3.33%,"5,152,700"
10/11/2025,"57,700","57,900","57,000","57,000",-600,-1.04%,"2,675,800"
07/11/2025,"57,600","58,400","57,500","57,600",-400,-0.69%,"3,251,100"
06/11/2025,"58,000","58,500","57,600","58,000",-,-,"2,241,200"
05/11/2025,"57,300","58,500","57,100","58,000",+700,1.22%,"3,831,600"
04/11/2025,"57,600","57,900","56,300","57,300",-,-,"4,175,200"
03/11/2025,"57,700","58,300","57,300","57,300",-300,-0.52%,"2,642,700"
31/10/2025,"57,400","57,700","57,100","57,600",+500,0.88%,"2,641,500"
30/10/2025,"57,800","57,900","57,000","57,100",-400,-0.70%,"1,905,200"
29/10/2025,"57,500","57,900","57,100","57,500",+100,0.17%,"1,973,000"
28/10/2025,"57,200","57,400","56,800","57,400",+400,0.70%,"2,079,100"
27/10/2025,"58,400","58,400","57,000","57,000","-1,100",-1.89%,"2,998,800"
24/10/2025,"56,900","58,100","56,100","58,100","+1,500",2.65%,"3,959,900"
23/10/2025,"56,500","57,100","56,300","56,600",+300,0.53%,"2,327,300"
22/10/2025,"57,100","57,300","55,700","56,300",-200,-0.35%,"3,846,700"
21/10/2025,"56,100","58,000","56,100","56,500","+1,500",2.73%,"7,068,100"
20/10/2025,"58,800","58,800","58,800","58,800","-3,800",-6.46%,"8,737,700"
17/10/2025,"61,000","61,200","58,800","58,800","-2,400",-3.92%,"6,187,800"
16/10/2025,"60,800","61,200","60,200","61,200",+400,0.66%,"5,158,400"
15/10/2025,"60,941","61,514","60,750","60,750",+100,0.16%,"4,645,400"
14/10/2025,"61,514","61,514","60,463","60,654",-500,-0.78%,"5,359,800"
13/10/2025,"59,412","61,227","59,030","61,132","+1,600",2.56%,"6,305,000"
,,,,,,,
10/10/2025,"60,558","60,558","59,603","59,603",-500,-0.79%,"4,972,200"
09/10/2025,"60,558","60,654","59,794","60,081",-500,-0.79%,"3,297,300"
08/10/2025,"59,508","60,654","58,935","60,558","+2,000",3.26%,"5,919,700"
