Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
,,,,,,,
21/11/2025,"28,350","28,700","28,000","28,550",-,-,"18,164,600"
20/11/2025,"28,250","28,750","28,000","28,550",+450,1.60%,"19,548,400"
19/11/2025,"28,700","28,750","28,100","28,100",-700,-2.43%,"16,825,600"
18/11/2025,"28,300","28,800","28,150","28,800",+700,2.49%,"18,859,400"
17/11/2025,"27,950","28,400","27,850","28,100",+300,1.08%,"12,074,200"
14/11/2025,"27,600","28,200","27,600","27,800",+50,0.18%,"11,783,400"
13/11/2025,"28,300","28,350","27,750","27,750",-250,-0.89%,"12,863,200"
12/11/2025,"27,650","28,300","27,500","28,000",+500,1.82%,"16,274,200"
11/11/2025,"27,750","27,800","27,400","27,500",-,-,"14,818,100"
10/11/2025,"27,400","28,200","27,400","27,500",-,-,"16,818,300"
07/11/2025,"28,450","28,500","27,300","27,500","-1,000",-3.51%,"23,937,800"
06/11/2025,"29,200","29,200","28,400","28,500",-750,-2.56%,"13,235,900"
05/11/2025,"29,000","29,450","28,800","29,250",-250,-0.85%,"13,066,000"
04/11/2025,"27,550","29,500","27,250","29,500","+1,900",6.88%,"31,974,700"
03/11/2025,"29,050","29,050","27,600","27,600","-1,100",-3.83%,"23,165,800"
31/10/2025,"29,200","29,350","28,650","28,700",-500,-1.71%,"15,506,600"
30/10/2025,"30,250","30,250","28,950","29,200",-650,-2.18%,"19,085,200"
29/10/2025,"29,700","30,300","29,450","29,850",+400,1.36%,"25,082,900"
28/10/2025,"28,200","29,450","28,050","29,450","+1,150",4.06%,"26,721,300"
27/10/2025,"29,500","29,800","28,300","28,300",-900,-3.08%,"23,908,400"
24/10/2025,"29,900","29,900","29,000","29,200",-800,-2.67%,"23,926,000"
23/10/2025,"30,500","30,800","30,000","30,000",-450,-1.48%,"14,351,400"
22/10/2025,"30,450","30,450","29,400","30,450",+100,0.33%,"26,715,100"
21/10/2025,"29,500","30,650","28,350","30,350",+600,2.02%,"54,104,300"
20/10/2025,"31,550","31,800","29,750","29,750","-2,200",-6.89%,"52,634,700"
17/10/2025,"33,200","33,350","31,900","31,950","-1,250",-3.77%,"50,287,200"
16/10/2025,"33,800","33,900","33,200","33,200",-500,-1.48%,"30,745,500"
15/10/2025,"32,750","34,650","32,750","33,700","+1,200",3.69%,"92,652,500"
14/10/2025,"31,900","32,850","31,900","32,500",+800,2.52%,"57,074,600"
13/10/2025,"31,600","31,850","31,250","31,700",-400,-1.25%,"35,739,000"
,,,,,,,
10/10/2025,"32,300","32,350","31,700","32,100",-,-,"34,643,000"
09/10/2025,"31,300","32,100","31,100","32,100","+1,000",3.22%,"39,130,900"
08/10/2025,"31,400","31,650","30,700","31,100",+50,0.16%,"25,369,900"
07/10/2025,"31,900","31,900","30,900","31,050",-500,-1.58%,"26,704,000"
06/10/2025,"30,250","31,550","30,000","31,550","+2,050",6.95%,"42,838,700"
03/10/2025,"30,150","30,200","29,500","29,500",-650,-2.16%,"30,206,400"
02/10/2025,"31,100","31,500","30,150","30,150",-750,-2.43%,"31,474,300"
01/10/2025,"31,100","31,550","30,850","30,900",-200,-0.64%,"16,624,800"
30/09/2025,"31,250","31,250","30,300","31,100",-,-,"28,902,200"
29/09/2025,"30,500","31,200","30,050","31,100",+700,2.30%,"33,075,500"
26/09/2025,"30,950","31,100","30,400","30,400",-550,-1.78%,"25,508,600"
25/09/2025,"31,700","31,850","30,900","30,950",-650,-2.06%,"30,534,200"
24/09/2025,"30,100","31,600","29,550","31,600","+1,700",5.69%,"40,528,600"
23/09/2025,"29,600","30,650","29,600","29,900",+400,1.36%,"27,129,500"
22/09/2025,"30,350","30,400","29,300","29,500",-900,-2.96%,"54,206,200"
19/09/2025,"30,900","30,950","30,000","30,400",-400,-1.30%,"28,454,900"
18/09/2025,"31,100","31,250","30,300","30,800",-200,-0.65%,"26,645,900"
17/09/2025,"31,700","31,950","31,000","31,000",-700,-2.21%,"26,679,300"
16/09/2025,"31,550","32,850","31,500","31,700",+150,0.48%,"70,212,600"
15/09/2025,"31,500","32,200","30,950","31,550",-50,-0.16%,"64,130,100"
12/09/2025,"32,100","32,300","31,550","31,600",-650,-2.02%,"23,141,700"
11/09/2025,"32,050","32,350","30,450","32,250",-200,-0.62%,"44,389,200"
10/09/2025,"32,850","32,950","31,800","32,450",+50,0.15%,"22,042,300"
09/09/2025,"31,500","32,550","31,350","32,400","+1,200",3.85%,"39,698,200"
08/09/2025,"33,300","33,350","31,200","31,200","-2,300",-6.87%,"58,073,200"
05/09/2025,"35,500","35,500","33,500","33,500","-1,400",-4.01%,"37,902,100"
04/09/2025,"34,700","35,000","33,800","34,900",+400,1.16%,"44,836,900"
03/09/2025,"35,150","35,400","34,350","34,500",-500,-1.43%,"28,617,800"
29/08/2025,"34,000","36,300","33,650","35,000","+1,000",2.94%,"65,834,600"
28/08/2025,"33,100","34,200","32,600","34,000",+700,2.10%,"37,019,300"
,,,,,,,
27/08/2025,"34,500","34,700","32,500","33,300","-1,000",-2.92%,"57,247,900"
26/08/2025,"33,050","34,350","32,750","34,300",+800,2.39%,"47,968,700"
25/08/2025,"35,950","36,000","33,450","33,500","-2,450",-6.82%,"67,974,200"
22/08/2025,"38,000","38,250","35,950","35,950","-2,700",-6.99%,"75,347,200"
21/08/2025,"37,000","38,900","36,700","38,650","+2,100",5.75%,"51,427,900"
20/08/2025,"35,600","36,550","33,700","36,550","+2,350",6.87%,"75,558,800"
19/08/2025,"32,700","34,200","32,700","34,200","+2,200",6.88%,"21,644,900"
18/08/2025,"32,050","32,550","31,600","32,000",+900,2.89%,"46,632,900"
